run	log_F	b5H1_log_P	b5H1_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
fit	-0.26783551192318833	-2.555218978386026	1.0	-1.1830019930257418	1.0	-4.55725364767518	1.0	-4.072302752746602	1.0	-2.240488345996477	1.0	-2.7412055255509395	1.0	-1.2228472726881154	1.0	-5.024708393080454	1.0
samp_00	-0.304485779339042	-2.563296699296245	2.0		0.0	-4.565068576494603	1.0	-4.080169071754443	2.0	-2.248683739871468	1.0	-2.749253335799825	1.0	-1.2315671626044493	1.0		0.0
samp_01	-0.3239202353989946		0.0		0.0	-4.569146932704934	2.0	-4.084272420499901	2.0	-2.2529518668180626	1.0	-2.7534481843082492	2.0	-1.2361005506224534	1.0		0.0
samp_02	-0.26694490932284537		0.0	-1.182789336198303	3.0	-4.557061670153094	2.0	-4.072108649322402	2.0		0.0		0.0		0.0	-5.02451790739777	1.0
samp_03	-0.284102275432725		0.0		0.0	-4.560742497099758	4.0	-4.075812583631157	1.0	-2.2441484495626223	2.0		0.0	-1.226743345835941	1.0		0.0
samp_04	-0.33161649014096073	-2.569159398129781	1.0	-1.197929353546434	1.0	-4.570750373149525	2.0	-4.085885442752419	3.0		0.0		0.0	-1.2378733372360855	1.0		0.0
samp_05	-0.406570482442965		0.0	-1.2146354044508765	2.0		0.0	-4.101213204432899	2.0	-2.2705364048876553	2.0		0.0	-1.2547217033055043	2.0		0.0
samp_06	-0.304458441493852		0.0		0.0	-4.565063798503889	1.0		0.0	-2.2486755735190367	5.0	-2.7492476904514414	2.0		0.0		0.0
samp_07	-0.2096101980697966	-2.5420142986930587	2.0	-1.16880407541573	1.0	-4.544505884630691	2.0	-4.059467036052454	1.0		0.0	-2.7280553411097617	2.0		0.0		0.0
samp_08	-0.18856002561746954	-2.537129422826967	1.0	-1.1635334427000867	1.0	-4.539796846092812	1.0		0.0		0.0	-2.723189748683158	1.0	-1.203235802660458	1.0	-5.0073891007333895	3.0
samp_09	-0.2237017012377962	-2.5452515305093164	1.0	-1.1722911714270887	2.0	-4.547628615794745	2.0		0.0	-2.230373932418153	1.0	-2.7312778061356333	1.0	-1.2120591948802395	1.0		0.0
samp_10	-0.3267435355731486		0.0	-1.1968053969849335	2.0		0.0	-4.084864620019614	2.0	-2.2535682465982796	1.0		0.0	-1.2367531564970453	1.0	-5.037098400137251	2.0
samp_11	-0.24223035252553496	-2.549468192648333	1.0	-1.1768261023036228	1.0	-4.551698450768344	1.0	-4.066708781185828	1.0	-2.2346512610715688	1.0	-2.7354766556615027	2.0		0.0	-5.019194135651811	1.0
samp_12	-0.4124283156790901		0.0	-1.2159038662040635	1.0	-4.587151421920805	1.0	-4.102382273622312	3.0	-2.2717517144346573	1.0		0.0	-1.2560004864095973	2.0		0.0
samp_13	-0.3297976486067103	-2.56877136051833	1.0		0.0	-4.5703713592787	2.0	-4.085504331283187	2.0	-2.254232268177886	2.0		0.0	-1.2374596101281867	1.0		0.0
samp_14	-0.1781765621812725	-2.534696747202156	2.0		0.0	-4.537455150167925	1.0		0.0		0.0	-2.7207659527013908	1.0	-1.2005899238665063	1.0	-5.005065802712611	3.0
samp_15	-0.30122528859660896	-2.5625846928946756	1.0		0.0		0.0	-4.07947462183302	1.0	-2.2479596519372045	4.0		0.0		0.0	-5.031780729043624	2.0
samp_16	-0.18058320884548457	-2.535259552452779	1.0		0.0	-4.537998502122825	3.0		0.0	-2.2202287103878073	1.0	-2.7213321755506175	1.0		0.0	-5.0056052405176	2.0
samp_17	-0.3468266572039541		0.0	-1.201384740343816	2.0		0.0	-4.089050570523681	1.0	-2.2579175467372017	2.0		0.0	-1.2413690755734292	2.0	-5.041229556994224	1.0
samp_18	-0.2640815147196366		0.0	-1.1821025176738604	3.0	-4.556447020697867	1.0	-4.071489591714384	1.0	-2.239636102490647	1.0	-2.7403703838311806	2.0		0.0		0.0
samp_19	-0.32187026410447794	-2.5670618764000337	1.0		0.0	-4.5687175251555034	1.0	-4.083840702136634	2.0	-2.2525039739528476	3.0		0.0		0.0	-5.036088303763298	1.0
samp_20	-0.3921615353632427	-2.5819024855656454	1.0		0.0	-4.583115796465617	1.0	-4.0983190330225385	3.0	-2.2675353360802974	1.0		0.0	-1.2515505462238332	2.0		0.0
samp_21	-0.22397090605476408	-2.545314361971171	1.0		0.0	-4.54768890147021	1.0		0.0		0.0	-2.7313399351870165	2.0	-1.2121245924184605	2.0	-5.01521621360786	2.0
samp_22	-0.31651514991557106	-2.5659069085916046	1.0		0.0	-4.567598900883111	1.0	-4.082713428781034	1.0	-2.2513311928333053	2.0		0.0	-1.234380428951385	2.0	-5.034975957754248	1.0
samp_23	-0.27337575985867896	-2.556451000711469	1.0	-1.1843229167992195	1.0	-4.55844460811994	1.0	-4.073501835818893	2.0	-2.241739879548914	1.0		0.0		0.0	-5.025889984904788	2.0
samp_24	-0.3634359328410374		0.0		0.0	-4.577300892238795	1.0	-4.092475308487209	1.0	-2.2614737278252717	2.0		0.0	-1.2451371626345955	3.0	-5.044610429279756	1.0
samp_25	-0.23870357530198463	-2.548671328840276	1.0	-1.175967591795712	1.0	-4.550927464997209	2.0	-4.065932997794937	1.0		0.0	-2.734683661771837	1.0	-1.2157610525494966	1.0	-5.018429031036487	1.0
samp_26	-0.24571808061318057	-2.5502570658986974	1.0	-1.1776757156037068	1.0	-4.552459878151257	1.0		0.0	-2.235453994792916	2.0	-2.7362625922829307	1.0	-1.2174787964060714	1.0	-5.019950128887609	1.0
samp_27	-0.17388006138412168	-2.5336853983250727	3.0	-1.1598133428455073	1.0	-4.536480460602755	1.0		0.0	-2.2186293049120804	1.0	-2.7197607881096473	1.0		0.0	-5.004100543232165	1.0
samp_28	-0.24188039270037268	-2.5493887235533035	1.0	-1.1767412766236596	1.0	-4.5516205094379565	1.0		0.0	-2.2345763809014367	1.0		0.0	-1.2165408888191707	2.0	-5.019120074313303	2.0
samp_29	-0.17388006138412168	-2.5336853983250727	3.0	-1.1598133428455073	1.0	-4.536480460602755	1.0		0.0	-2.2186293049120804	1.0	-2.7197607881096473	1.0		0.0	-5.004100543232165	1.0
samp_30	-0.29577611588877806	-2.5613920093867057	1.0	-1.1896182081934805	1.0	-4.563227818335384	1.0	-4.078311819451938	1.0	-2.2467513337227647	1.0		0.0	-1.2295134811378914	2.0	-5.030634987389291	1.0
samp_31	-0.2979788877495106	-2.561874499373213	1.0		0.0	-4.563693518713836	1.0	-4.078784135106743	1.0	-2.2472404043253116	2.0	-2.747836588655044	2.0	-1.2300329945973207	1.0		0.0
samp_32	-0.25839433193307965	-2.553110722531097	1.0	-1.1807368674659422	1.0	-4.555215184926845	2.0	-4.070249997708937	1.0	-2.238348859910594	1.0		0.0	-1.220565489141202	1.0	-5.022683558861286	1.0
samp_33	-0.2851499686871428		0.0	-1.1871178943951604	1.0	-4.560965938557765	3.0	-4.076039377616933	2.0		0.0		0.0	-1.2269915032264045	1.0	-5.0283915141848325	1.0
samp_34	-0.32679702577482034	-2.5681263244035293	1.0		0.0	-4.569746816702387	1.0	-4.084875924951839	1.0	-2.253579208021619	2.0	-2.7540654623147343	1.0	-1.2367671969415086	2.0		0.0
samp_35	-0.24549058592551684		0.0	-1.1776191694789007	1.0	-4.552410395867314	2.0		0.0	-2.235402074957026	3.0	-2.736212965438574	1.0		0.0	-5.019896885247247	1.0
samp_36	-0.2665767665465424	-2.5549380925917515	2.0	-1.1827005460985143	2.0		0.0	-4.0720297588770755	2.0		0.0	-2.740925642527182	2.0		0.0		0.0
samp_37	-0.35896783238004365		0.0	-1.204122543889393	1.0		0.0	-4.091557274615538	3.0	-2.260520749445461	2.0		0.0		0.0	-5.04370434088626	2.0
samp_38	-0.18213226871055832	-2.5356250287519577	3.0	-1.161908757974446	2.0		0.0		0.0		0.0	-2.7216907600271805	1.0	-1.2016001378030179	1.0	-5.0059521178129165	1.0
samp_39	-0.34280845256089226		0.0	-1.2004722288969436	1.0	-4.573067418413071	2.0	-4.088217862979889	1.0	-2.257049660645636	1.0		0.0	-1.24045088355818	3.0		0.0
samp_40	-0.23480103107161074		0.0	-1.175016798761831	1.0	-4.550072216584065	2.0	-4.06507145893317	1.0		0.0		0.0	-1.2147988911598544	1.0	-5.017580784734736	3.0
samp_41	-0.27084215259438427	-2.5558878210608285	1.0	-1.18371960215504	1.0		0.0	-4.07295419115637	1.0	-2.2411674993465196	2.0	-2.7418718915412605	2.0		0.0	-5.025349806441403	1.0
samp_42	-0.24633737606512301	-2.550396190558908	1.0	-1.17782577712026	2.0	-4.552594993250781	1.0	-4.067611080515947	1.0		0.0	-2.736401270056844	1.0	-1.2176296139093503	1.0	-5.020083768470643	1.0
samp_43	-0.33983731832428876	-2.570919263500428	1.0		0.0		0.0	-4.087599832793271	2.0	-2.256409794301942	2.0	-2.756847537204664	1.0	-1.2397706337411627	1.0	-5.039792978706366	1.0
samp_44	-0.23599692282791865	-2.5480559824387283	1.0	-1.1753087345253819	1.0		0.0		0.0	-2.2332198916773804	2.0		0.0	-1.215094586227858	1.0	-5.017841545674316	3.0
samp_45	-0.3152391843464764		0.0	-1.1941535104756347	1.0	-4.56733065481891	2.0	-4.082444936026231	2.0	-2.25105104334409	1.0		0.0	-1.234081692963717	1.0	-5.034710223215038	1.0
samp_46	-0.2616003802660219		0.0	-1.1815085782118118	2.0	-4.555908283939222	1.0	-4.070947449937541	1.0		0.0	-2.7398202913889946	2.0	-1.2213409033628415	1.0	-5.023371408889617	1.0
samp_47	-0.2159294878170797	-2.5434702053232816	2.0	-1.1703700617629464	1.0	-4.5459099234508376	1.0		0.0		0.0	-2.7295058773342333	1.0	-1.2101228458716566	2.0	-5.013452638121944	1.0
samp_48	-0.27449546942277453	-2.556699722794249	1.0	-1.1845907391366188	1.0	-4.558686005416717	1.0	-4.073744159612127	1.0		0.0	-2.742680574027394	1.0	-1.2244476725866151	2.0	-5.026128641339721	1.0
samp_49	-0.3701746210268941		0.0	-1.2066288168887065	2.0	-4.57867015613008	1.0	-4.093855628619844	2.0	-2.262905384720443	1.0		0.0	-1.2466529819633263	2.0		0.0
samp_50	-0.2582480518410137	-2.5530788055290174	1.0	-1.1807017117751109	1.0	-4.555182747872864	1.0	-4.070218155140515	1.0	-2.2383156870738423	1.0		0.0	-1.2205301713593255	1.0	-5.022652845040508	2.0
samp_51	-0.2876516978616485		0.0		0.0	-4.561499570171233	1.0	-4.076576134970764	2.0	-2.2449411375079085	1.0	-2.7455769601138624	2.0		0.0	-5.028921487276403	2.0
samp_52	-0.16828075617626123	-2.5323627286349617	3.0	-1.1583931089201258	1.0		0.0		0.0		0.0		0.0	-1.1980453770601407	1.0	-5.002842473230966	3.0
samp_53	-0.2280231617705184	-2.5462392744091806	1.0		0.0	-4.548582051778169	1.0		0.0	-2.2313769014938427	1.0	-2.732263337632333	3.0	-1.213129300633998	1.0	-5.016102703101395	1.0
samp_54	-0.24906177290026646		0.0		0.0	-4.553188068415438	2.0		0.0	-2.2362191110092855	1.0	-2.737014367808636	1.0	-1.2182963237046782	2.0	-5.020672926672586	2.0
samp_55	-0.2623905514024368	-2.554002726014899	1.0	-1.1816983026724692	2.0	-4.5560791540564125	1.0	-4.071120537099527	2.0		0.0	-2.7399941797974665	1.0		0.0	-5.023541973126703	1.0
samp_56	-0.31363089968374247		0.0		0.0	-4.566993608373399	1.0	-4.082104783308994	1.0	-2.2506972698917944	3.0		0.0	-1.2337072722907898	1.0	-5.034375288899139	2.0
samp_57	-0.2770685511186538	-2.55727092529571	1.0	-1.1852026947019152	2.0		0.0	-4.07430027788573	1.0	-2.2425695597776993	1.0	-2.743249710059444	1.0	-1.2250628147478555	1.0	-5.02667728107791	1.0
samp_58	-0.26590274057220836		0.0	-1.1825391711879611	2.0	-4.556837268884341	1.0	-4.071883226843125	1.0	-2.2400508403643027	2.0		0.0		0.0	-5.0242935136082325	2.0
samp_59	-0.24234198212535119		0.0	-1.1768536898348056	2.0	-4.551722832886651	2.0	-4.066734878131668	1.0		0.0		0.0	-1.2166532229506186	1.0	-5.019218874653701	2.0
samp_60	-0.2497626402825479	-2.5511691997181285	2.0	-1.1786547064781612	1.0		0.0		0.0	-2.236379676276879	2.0	-2.7371714312385405	2.0	-1.2184677404786988	1.0		0.0
samp_61	-0.29082369565779737	-2.5603066669590775	1.0	-1.1884548365536658	1.0	-4.562173711073784	1.0		0.0	-2.2456473203524556	1.0	-2.7462741094438776	1.0	-1.2283408372824176	3.0		0.0
samp_62	-0.23851415258023026	-2.548628765326611	1.0	-1.1759213544619949	1.0	-4.550885215243396	1.0	-4.065891178479301	1.0		0.0	-2.73464132388751	1.0	-1.215714606317959	1.0	-5.018388581812009	2.0
samp_63	-0.2964300774196833		0.0	-1.1897708559356721	1.0	-4.563364868098662	1.0		0.0	-2.246897175755034	1.0	-2.7474992734601607	1.0	-1.2296672786702123	3.0	-5.030772886267947	1.0
samp_64	-0.36216043873845233	-2.5756474321323526	1.0		0.0		0.0	-4.092213521514344	4.0	-2.261201904744774	1.0		0.0		0.0	-5.044352319812772	2.0
samp_65	-0.2839308600608426		0.0		0.0	-4.560705715825883	2.0	-4.075777422149276	1.0	-2.2441093267477847	2.0		0.0	-1.226702370573714	1.0	-5.028133288788672	2.0
samp_66	-0.2593311683142264		0.0	-1.1809637772413641	1.0	-4.555417222772271	2.0	-4.0704540880487246	2.0		0.0	-2.739313526866009	1.0		0.0	-5.022884058737152	2.0
samp_67	-0.2672134787945892	-2.555081146429096	1.0	-1.182852074617309	2.0	-4.557118184468556	2.0	-4.072167835463912	1.0	-2.240349485068183	1.0		0.0	-1.222694534492615	1.0		0.0
samp_68	-0.4225220416411548		0.0	-1.2180790322476227	1.0	-4.589145135434913	1.0	-4.104388270434298	4.0	-2.273825047453898	1.0		0.0	-1.2581939175024313	1.0		0.0
samp_69	-0.3289030081743576		0.0	-1.1973018506559472	2.0	-4.570185526139878	1.0	-4.085316979255848	3.0		0.0	-2.754516627163301	2.0		0.0		0.0
samp_70	-0.2570589271232804	-2.5528085744508955	3.0	-1.180418595299385	1.0		0.0	-4.069959714146829	1.0	-2.238045879819325	1.0	-2.7388056507951033	1.0	-1.2202365757703448	1.0		0.0
