run	log_tsat	log_tbg	log_F	b5A8_log_P	b5A8_weight	b5B2_log_P	b5B2_weight	b5B3_log_P	b5B3_weight	b5B5_log_P	b5B5_weight	b5B7_log_P	b5B7_weight	b5B8_log_P	b5B8_weight	b5B9_log_P	b5B9_weight	b5C1_log_P	b5C1_weight	b5C2_log_P	b5C2_weight	b5C3_log_P	b5C3_weight	b5C4_log_P	b5C4_weight	b5C5_log_P	b5C5_weight	b5C7_log_P	b5C7_weight	b5C8_log_P	b5C8_weight	b5C9_log_P	b5C9_weight	b5D1_log_P	b5D1_weight	b5D2_log_P	b5D2_weight	b5D3_log_P	b5D3_weight	b5D4_log_P	b5D4_weight	b5D5_log_P	b5D5_weight	b5D6_log_P	b5D6_weight	b5D7_log_P	b5D7_weight	b5E4_log_P	b5E4_weight	b5F2_log_P	b5F2_weight	b5F3_log_P	b5F3_weight	b5F5_log_P	b5F5_weight	b5F6_log_P	b5F6_weight	b5F7_log_P	b5F7_weight	b5F8_log_P	b5F8_weight	b5G1_log_P	b5G1_weight	b5G3_log_P	b5G3_weight	b5G4_log_P	b5G4_weight	b5G6_log_P	b5G6_weight	b5G9_log_P	b5G9_weight	b5H1_log_P	b5H1_weight	b5H2_log_P	b5H2_weight	b5H3_log_P	b5H3_weight	b5H4_log_P	b5H4_weight	b5H5_log_P	b5H5_weight	b5H6_log_P	b5H6_weight	b5H7_log_P	b5H7_weight
samp_38	3.095733012989119	-5.945543960798013	3.234026190010636	-5.648691906647072	2.0	-6.275357119240974	2.0	-5.855166824584257	1.0		0.0		0.0		0.0	-8.873694420093374	1.0	-9.232632082252957	1.0	-9.445061035326685	4.0		0.0	-10.473934154572468	1.0		0.0	-30.27146741090954	3.0		0.0	-8.743742573639041	1.0		0.0		0.0		0.0	-8.483269029436476	3.0	-7.624746170840163	1.0		0.0		0.0	-1.531357956232535	2.0	-1.5838592200279271	1.0	-1.922530512279181	2.0		0.0	-6.185863263255816	1.0		0.0	-6.103019131252406	2.0		0.0	-7.408707071580447	2.0	-4.918806873746248	1.0	-6.853097015382588	1.0		0.0	-2.805540013875636	1.0	-3.039154602731157	3.0		0.0	-5.391588478854369	2.0	-6.822082459280053	1.0	-1.7276357265889202	1.0	-2.5908661023691737	1.0
samp_39	4.9437813414887435	-6.033477157890369	3.283892449342892	-7.4647083884834196	1.0	-8.092485439770389	1.0	-7.670412758706462	1.0	-9.42848236587752	4.0		0.0	-6.077099455310074	1.0		0.0	-10.974431406002173	1.0	-11.16077463598544	2.0		0.0	-12.003002321307617	1.0	-21.71580418942478	2.0	-14.337395193977924	2.0	-11.086678882076908	1.0		0.0		0.0		0.0		0.0		0.0	-9.429048862770284	2.0	-22.537962648343164	2.0	-12.787533143999498	1.0	-3.441081679571995	1.0		0.0	-3.7992185474058022	3.0	-8.674331092524831	1.0	-8.007198349446012	1.0	-4.051020248179999	1.0	-7.923808588178347	1.0	-7.28939612403577	3.0	-9.228517436629103	2.0	-6.741178975459	1.0		0.0	-7.216457900644044	1.0	-4.6574621719911375	1.0		0.0		0.0	-7.213490152436215	1.0	-8.643864462652875	1.0		0.0	-4.448492332995878	1.0
samp_40	4.024312378624095	-6.059730678744673	3.1586068820826427		0.0	-7.181419336464127	1.0	-6.763155374075874	2.0	-8.460129359680698	1.0	-11.272065559276804	3.0	-5.201967194354421	2.0	-9.716995816996885	2.0	-10.031927181356286	2.0		0.0		0.0	-11.004869159996803	2.0	-21.78330347568775	1.0	-12.903965523041757	1.0	-10.13635847983571	1.0	-9.56336850221421	1.0		0.0	-13.225547063800041	1.0		0.0	-9.318169307510898	1.0	-8.47747394142815	3.0		0.0		0.0	-2.558572652797855	2.0	-2.6095787367789796	1.0	-2.9250829257081907	2.0	-7.766758171790357	1.0	-7.107766348688911	1.0		0.0	-7.024501065511222	1.0	-6.4084487811121305	1.0	-8.319553983428687	1.0	-5.859159989296364	1.0		0.0	-6.326045972629844	1.0	-3.7873380721597036	1.0	-4.015321692271946	1.0		0.0	-6.327298704535362	2.0	-7.737061429949442	1.0		0.0		0.0
samp_41	8.280762672052646	-6.183783429191928	3.009810142645229	-10.825569531178495	2.0	-11.4282543814142	2.0		0.0	-12.582089487874901	2.0		0.0		0.0	-13.901007098137203	1.0		0.0	-14.296478836831641	1.0	-9.010365390357034	1.0		0.0	-21.84259680466893	4.0	-16.05765436549424	1.0		0.0		0.0	-13.282812901197207	1.0		0.0	-15.390659813244882	1.0	-13.469021400263555	2.0	-12.636523393036594	2.0	-22.57564831708457	1.0	-15.511455604262526	3.0	-6.9244292208524225	1.0	-6.974198012359982	1.0		0.0	-12.019189357208928	1.0	-11.375207103912262	1.0	-7.522709340651599	1.0	-11.291971665460457	1.0		0.0	-12.567618528118649	2.0	-10.155382509827174	1.0		0.0	-10.608432042189643	2.0	-8.12223116327406	1.0		0.0		0.0	-10.616526299484761	1.0	-11.990933052871265	3.0	-7.102485278260251	1.0		0.0
samp_42	3.236306703674198	-5.99202583251942	3.1548760204938158	-5.792143752466017	1.0	-6.412963680359001	1.0		0.0	-7.719762508458268	2.0	-10.760674276769361	2.0		0.0		0.0		0.0		0.0	-3.9013981698442826	3.0	-10.428617124352582	1.0	-21.779202325733507	1.0	-22.816260662826874	2.0	-9.434919848815081	2.0		0.0		0.0		0.0	-11.314530836662595	2.0	-8.5809962392253	2.0	-7.728774657428552	1.0		0.0	-11.413287282759521	2.0		0.0	-1.7797643074265443	1.0	-2.111720578198782	1.0	-6.994586126859225	2.0	-6.333473170363515	1.0		0.0	-6.250499146109393	1.0		0.0	-7.548727115168337	1.0	-5.079538873735198	1.0		0.0		0.0	-2.987393061519355	2.0	-3.2189170616196714	1.0	-4.613286017755177	1.0	-5.549098845319057	2.0	-6.964555575968186	2.0	-1.920794683172304	1.0	-2.774562890046934	2.0
samp_43	12.395610613249502	-6.3221452262183915	3.030518359451674		0.0		0.0	-15.09259304905374	6.0		0.0		0.0	-13.608279844906816	1.0	-17.93177733886109	3.0		0.0		0.0	-13.110281209696751	1.0		0.0	-20.97699753156888	2.0	-19.65866360864169	1.0	-18.24992266752781	1.0		0.0		0.0	-19.70827382829549	2.0	-19.17699535043676	1.0	-17.49054729340515	1.0		0.0	-23.051518443562	2.0	-19.293655776973548	1.0	-11.029304547066122	1.0	-11.079010880166392	1.0		0.0		0.0		0.0	-11.62712479716546	2.0	-15.375245950310141	1.0	-14.803163283808939	2.0	-16.64510311760747	1.0		0.0	-16.011347682411554	2.0	-14.696054095177466	1.0	-12.225184857045624	3.0		0.0		0.0	-14.707765258048498	1.0		0.0		0.0	-12.019616957040391	4.0
samp_44	3.7989719371876514	-6.244975763712736	3.121551663986214	-6.299061475693677	1.0	-6.908089937841289	2.0	-6.492728456101481	1.0		0.0		0.0	-4.974962851952672	4.0	-9.372054209462148	3.0		0.0		0.0	-4.470165255459817	1.0		0.0	-21.691851450894813	1.0	-11.3046933819052	2.0		0.0	-9.188313176993795	2.0	-8.76862635733123	2.0		0.0	-10.765208236658419	2.0		0.0		0.0	-22.544060202794928	1.0	-10.858676355298584	2.0	-2.3412142619003413	2.0	-2.3923241896512994	3.0		0.0	-7.503461390619788	3.0	-6.853604615875821	1.0	-2.968464264048473	1.0	-6.769643515938188	1.0	-6.179094951221485	1.0		0.0	-5.623360394441438	1.0		0.0	-6.079874749838844	1.0		0.0		0.0		0.0	-6.088135445190681	1.0		0.0	-2.5277865144763365	1.0	-3.3628595427736525	1.0
samp_45	3.42157134384802	-6.111138119599026	3.1097229513487488		0.0		0.0	-6.1541011708306765	2.0	-7.806340192688824	2.0		0.0	-4.611307369760125	3.0	-9.081448530096377	1.0	-9.379416594990412	1.0	-9.527822375432867	1.0	-4.101569504489026	2.0		0.0	-21.85061407684417	2.0	-11.678800810159029	1.0		0.0	-8.913020136003011	1.0	-8.453777373615777	3.0	-11.844519645173714	3.0	-10.798587526740837	2.0		0.0	-7.836725540290861	1.0	-22.644993889374852	2.0	-10.894710947521737	1.0		0.0	-2.001497866249205	1.0		0.0		0.0		0.0		0.0		0.0	-5.817264957841925	3.0		0.0	-5.265396500397182	1.0		0.0	-5.727718403814461	2.0	-3.195995830948893	1.0		0.0		0.0		0.0	-7.130270573810403	2.0	-2.140037127784446	2.0	-2.985008825768307	1.0
samp_46	8.065835451603384	-6.007414264568404	3.2224572023684517		0.0	-11.230297508126307	1.0	-10.81059207730006	1.0	-12.554980585224241	1.0		0.0	-9.2272304286913	3.0	-13.793023290537866	1.0	-14.127588257483437	1.0		0.0	-8.71363320495359	2.0	-15.207754893708136	2.0	-21.925093311795585	1.0		0.0		0.0		0.0	-13.144789513926511	2.0		0.0	-16.036807715312197	1.0		0.0	-12.558374787876454	4.0		0.0	-16.097138904276427	1.0		0.0		0.0	-6.961292000594279	2.0	-11.81117517361013	2.0		0.0	-7.209437297956405	1.0	-11.064133516794897	1.0	-10.43440947953073	2.0	-12.365174601498905	2.0		0.0	-11.800658269668967	1.0	-10.360696440532074	2.0	-7.813913617928098	1.0	-8.039767197121476	2.0	-9.42197941115599	1.0	-10.358268559018478	1.0	-11.780990294666408	2.0		0.0		0.0
samp_47	4.327459511766394	-6.174212874710709	3.0615161499881847		0.0	-7.46763204349097	2.0		0.0	-8.650765175184208	1.0	-11.256346293780659	2.0	-5.535495292462904	1.0	-9.949318111843036	1.0	-10.228491538057176	1.0	-10.357472467642669	1.0	-5.031247309592001	1.0		0.0	-21.759601062435422	1.0	-12.153275325311782	1.0	-10.315320317243627	1.0	-9.763439279790644	1.0	-9.331696227160917	1.0	-12.254898231816114	2.0		0.0	-9.528763492467135	1.0	-8.696779086868675	1.0		0.0	-11.582942065127405	3.0	-2.91963821122127	2.0	-2.9702383539625665	1.0		0.0	-8.058968783750112	1.0		0.0		0.0	-7.327200906990948	1.0	-6.7354156045863105	1.0	-8.608578856048924	1.0	-6.1829737911969245	1.0	-8.000514076548416	1.0		0.0	-4.136566195651208	1.0		0.0	-5.727548227919676	1.0	-6.646426910750573	1.0	-8.0303004694932	1.0	-3.1025810015817568	3.0	-3.928662950026399	3.0
