run	log_tbg	log_alphap	log_betap	b3G3_log_P	b3G3_weight	b8A2_log_P	b8A2_weight	b8A3_log_P	b8A3_weight	b8A4_log_P	b8A4_weight	b8A5_log_P	b8A5_weight	b8A6_log_P	b8A6_weight	b8A7_log_P	b8A7_weight	b8A8_log_P	b8A8_weight	b8A9_log_P	b8A9_weight	b8B1_log_P	b8B1_weight	b8B2_log_P	b8B2_weight	b8B3_log_P	b8B3_weight	b8B5_log_P	b8B5_weight	b8B6_log_P	b8B6_weight	b8B7_log_P	b8B7_weight	b8B8_log_P	b8B8_weight	b8B9_log_P	b8B9_weight	b8C1_log_P	b8C1_weight	b8C2_log_P	b8C2_weight	b8C3_log_P	b8C3_weight	b8C6_log_P	b8C6_weight	b8C7_log_P	b8C7_weight	b18H6_log_P	b18H6_weight	b18H7_log_P	b18H7_weight	b18H9_log_P	b18H9_weight	b18I4_log_P	b18I4_weight	b18I6_log_P	b18I6_weight	b18I7_log_P	b18I7_weight	b19A3_log_P	b19A3_weight	b19A4_log_P	b19A4_weight	b19A5_log_P	b19A5_weight	b19A8_log_P	b19A8_weight
samp_68	-5.5272697045188695	2.8752751115907045	-0.3606479610009449	-4.630118460778545	1.0	-5.72943616123999	2.0		0.0	-6.650743743463431	2.0	-5.785493792929026	1.0	-1.3642125877144229	1.0		0.0	-9.739916037921283	2.0		0.0	-10.080823352370048	3.0		0.0	-9.903370846930963	1.0	-11.854471966802112	1.0	-4.9368448818624175	1.0		0.0	-5.5984712158420065	1.0	-5.563614996615373	1.0		0.0	-6.586854498355646	2.0	-5.435285815476571	1.0	-5.694139089929422	1.0	-5.245236558096727	1.0	-5.232660852219925	1.0		0.0		0.0		0.0	-2.3024430597921106	1.0	-5.45043183974424	1.0		0.0	-8.672680081228343	2.0	-1.8377121708230855	3.0	-3.9176754422479716	2.0
samp_69	-5.504067986978416	2.785110872347481	-0.2836407967576974		0.0	-5.725657933251055	1.0	-9.670042363307216	3.0		0.0	-5.7817606267910735	1.0	-1.3790026293487874	1.0	-10.869638099119022	2.0		0.0		0.0		0.0		0.0	-9.907041234674153	4.0		0.0	-4.93557112025436	3.0	-4.8505888475611	2.0		0.0	-5.560202372905263	1.0	-4.9303351256347945	1.0	-6.582600549627204	2.0		0.0		0.0	-5.242858956839586	1.0		0.0		0.0		0.0	-5.416148815879727	2.0	-2.317327534581727	1.0	-5.447685890699203	1.0	-5.32020721020144	1.0		0.0	-1.8580860338391652	1.0	-3.922450834790411	4.0
samp_70	-5.537918050044459	2.6299365170493383	-0.1297966117412666	-4.639073798350999	1.0	-5.727153653718723	1.0	-9.650995940338193	1.0		0.0	-5.783110354589986	1.0	-1.4162240476431736	1.0		0.0	-9.718542084184312	1.0		0.0	-10.059781963118605	1.0	-9.00717552004681	2.0		0.0		0.0	-4.941949321445525	1.0		0.0	-5.59685969376206	2.0		0.0	-4.93656670915736	2.0	-6.580547128499696	2.0	-5.435337073529182	1.0	-5.692672351795158	1.0	-5.24716138733829	2.0		0.0		0.0	-0.5738619031638265	2.0		0.0	-2.353446967899975	1.0	-5.451036095996216	3.0	-5.324303045670025	1.0	-8.656985522655903	4.0	-1.9051529333281627	1.0		0.0
samp_71	-6.02131063806386	2.5999299967127536	-0.16361076167596508	-4.6021655583677985	2.0	-5.679165886330241	1.0	-9.364436436419423	1.0	-6.567677852401205	1.0	-5.733560489651275	1.0	-1.4022898367424514	4.0	-10.289842390925672	1.0		0.0	-10.356022279539456	1.0		0.0	-8.780611397193438	1.0	-9.508341728581994	1.0	-10.927790531727275	1.0	-4.902527091469356	1.0		0.0		0.0	-5.516737890369611	2.0		0.0	-6.509723399035191	3.0	-5.390893180909419	1.0	-5.643770772293375	1.0	-5.204663239539046	1.0		0.0	-4.855453646355566	1.0	-0.5625703905269308	1.0	-5.37436202583799	2.0	-2.3324139098297185	1.0		0.0	-5.280363891002558	1.0		0.0	-1.8885316009084643	1.0	-3.906830461473198	1.0
samp_72	-5.504324805615726	2.669161813995658	-0.1719423557539049	-4.635702968469062	1.0	-5.72607956333121	1.0		0.0	-6.64566962590956	2.0		0.0	-1.4050434560860425	1.0	-10.865174921660762	1.0	-9.738135524401974	1.0		0.0	-10.08138685720342	2.0	-9.017692833917602	1.0		0.0		0.0		0.0		0.0	-5.595552223264614	2.0	-5.561130943661358	1.0	-4.933918380229924	2.0	-6.581528260215156	2.0	-5.433711618578069	1.0	-5.691562502984269	1.0	-5.245141254113166	1.0		0.0	-4.8915771987137475	2.0	-0.5652408850241041	1.0	-5.4180598748093125	1.0	-2.342750011146801	2.0		0.0	-5.322420764474059	1.0	-8.666990392869836	4.0	-1.891455817950354	1.0		0.0
samp_73	-5.426910302876504	2.9372991122993724	-0.4044555013334766		0.0		0.0	-9.740260902604703	1.0	-6.672156640998186	1.0	-5.798336402860163	2.0	-1.3575930111001029	1.0		0.0	-9.827096272651751	2.0		0.0		0.0	-9.078417517296796	2.0	-9.995908613925392	1.0		0.0	-4.9448898083875745	1.0	-4.8588862131611545	2.0		0.0	-5.575065593078891	1.0		0.0	-6.60657731481569	1.0		0.0	-5.706567739512558	4.0	-5.254975580271144	3.0	-5.2423174851342225	1.0	-4.896737126891402	3.0		0.0		0.0		0.0		0.0		0.0	-8.72637691577189	2.0	-1.8278829512725574	3.0	-3.9196434908763638	1.0
samp_74	-6.031369971720463	2.684381037837798	-0.23184201228913578	-4.605167571584559	1.0		0.0	-9.374310776126785	1.0	-6.575001833006898	1.0	-5.73996645159029	1.0		0.0	-10.298922159905128	1.0		0.0	-10.363508982612267	1.0		0.0	-8.790106183943914	3.0		0.0	-10.933295396245343	2.0	-4.906725304996125	1.0		0.0	-5.557333900926201	3.0		0.0	-4.901639496160412	1.0	-6.517075756771775	1.0		0.0	-5.649896327862513	2.0	-5.2098152859000555	2.0	-5.19768729032747	1.0		0.0		0.0	-5.379768257725496	2.0	-2.3195238175728043	2.0		0.0		0.0	-8.451316065630333	2.0	-1.8687388775510516	1.0	-3.905848171773838	3.0
samp_75	-6.172332509831239	2.3847599830750084	-0.041176128224363	-4.56520660159913	2.0		0.0		0.0	-6.510261275591196	1.0	-5.68582480404801	1.0	-1.4291430802156793	1.0	-10.082495911898283	2.0	-9.188467543769473	1.0	-10.220438435974108	3.0	-9.534638117166526	2.0	-8.662330335169983	3.0	-9.3314582315223	1.0		0.0	-4.862323720333042	1.0	-4.779795750104649	1.0	-5.504910376483441	1.0	-5.4708121485961	1.0		0.0		0.0		0.0	-5.596796360284302	1.0	-5.161557873086959	1.0		0.0		0.0		0.0	-5.3298769554363465	1.0	-2.341778540297897	2.0	-5.360598781087501	2.0	-5.236718046871804	2.0	-8.332527000788255	1.0		0.0	-3.880063619004442	1.0
samp_76	-5.513526066877605	2.7979298966662696	-0.2732279611132311	-4.641133959323473	1.0	-5.737420571060028	2.0		0.0	-6.659368713548963	1.0	-5.79355490735562	1.0	-1.3828549698013557	1.0	-10.878969788876331	5.0	-9.759432236584505	1.0		0.0		0.0	-9.037437500851478	1.0		0.0		0.0	-4.946749054482729	2.0		0.0	-5.606522992107594	2.0		0.0		0.0	-6.595111040991271	2.0		0.0	-5.7024774711453	1.0	-5.254266972605335	1.0		0.0	-4.898879943703759	2.0		0.0		0.0	-2.3234909728558817	2.0		0.0	-5.331680922631606	2.0	-8.686656613749863	2.0	-1.862512282315738	1.0	-3.932441722691986	2.0
samp_77	-5.730456336479272	2.5724386097825893	-0.08693796203745638		0.0	-5.713638619518589	1.0		0.0	-6.617767447817366	1.0	-5.768906768863728	2.0	-1.4268185482524238	1.0	-10.590005665687322	1.0	-9.58092229441161	3.0	-10.553557645934008	1.0	-9.918300536504965	1.0	-8.922282508821608	1.0		0.0		0.0		0.0	-4.849656199827395	3.0		0.0	-5.550134071124175	3.0	-4.927979524636274	3.0		0.0		0.0		0.0	-5.236683886497836	1.0	-5.2237313556045635	1.0	-4.885974746773394	2.0	-0.582256885714972	1.0	-5.4078816727920165	1.0	-2.3608202168973205	1.0		0.0	-5.313178773990126	1.0		0.0		0.0	-3.9362682592301925	3.0
