run	log_tbg	log_alphap	log_betap	b3C7_log_P	b3C7_weight	b7D8_log_P	b7D8_weight	b7D9_log_P	b7D9_weight	b7E1_log_P	b7E1_weight	b7E2_log_P	b7E2_weight	b7E3_log_P	b7E3_weight	b7E4_log_P	b7E4_weight	b7E5_log_P	b7E5_weight	b7E6_log_P	b7E6_weight	b7E7_log_P	b7E7_weight	b7E8_log_P	b7E8_weight	b7E9_log_P	b7E9_weight	b7F1_log_P	b7F1_weight	b7F2_log_P	b7F2_weight	b7F3_log_P	b7F3_weight	b7F6_log_P	b7F6_weight	b7F7_log_P	b7F7_weight	b7F8_log_P	b7F8_weight	b7G1_log_P	b7G1_weight	b7G2_log_P	b7G2_weight	b7G3_log_P	b7G3_weight
samp_09	-7.009257476404331	3.439897790593355	0.02864987693192385	-4.409430155370933	3.0	-2.9764915566333126	2.0	-5.558775520529758	1.0		0.0		0.0	-5.930844443120007	1.0		0.0	-2.058649534825614	1.0		0.0		0.0	-9.042215279395185	1.0	-10.596180774124724	1.0		0.0	-3.3006081723729324	1.0	-11.503091790643115	2.0		0.0		0.0	-2.4059175118706153	5.0	-5.345135333569689	1.0	-7.3777559972753	2.0		0.0
samp_10	-7.889431707125075	1.8293477888233736	1.3626283944063076	-4.375146407899666	1.0	-3.136198147415564	1.0	-5.460879481536973	2.0	-8.356970597346425	1.0	-4.7466536922317575	1.0	-5.820281768950016	1.0	-9.503056770499775	2.0		0.0	-10.423542672540147	3.0		0.0	-8.721329153379456	1.0	-10.016317632066004	1.0	-4.424713413361095	1.0	-3.4328644938528012	1.0		0.0	-8.295146626808132	1.0	-5.975089186188609	4.0		0.0		0.0		0.0		0.0
samp_11	-6.573591738547922	2.7418411811250305	0.4975672347455173		0.0	-3.0156693142249327	1.0	-5.475246338329278	1.0		0.0	-4.739968593507655	2.0	-5.84301957880235	4.0		0.0		0.0		0.0	-4.509525487999613	2.0	-8.98357402038923	3.0		0.0	-4.410491873134897	2.0		0.0	-11.441680008039647	1.0		0.0		0.0	-2.515050563408284	1.0	-5.26369783486723	2.0		0.0	-9.409895525281899	2.0
samp_12	-7.083904137521638	-10.895911105201023	14.091363946845773	-4.410301612890446	1.0		0.0		0.0	-8.451110011662337	1.0		0.0	-5.837655375675017	1.0	-9.665179149718613	1.0		0.0	-10.553249259735749	1.0		0.0		0.0	-10.306177107490328	4.0	-4.458581942710707	3.0	-3.5399252575614493	1.0	-11.22821586318913	3.0		0.0		0.0		0.0	-5.271159459606127	2.0	-7.238171371284678	2.0	-9.225278153658532	1.0
samp_13	-7.385660421135236	3.0405128526656426	0.1276335986240802	-4.301503991333288	1.0		0.0		0.0		0.0	-4.682731603055674	1.0	-5.7885994609888325	2.0	-9.577249211979312	1.0	-2.0799649459867617	1.0	-10.486943476432444	2.0	-4.447843673099434	1.0		0.0	-10.166597431299635	1.0	-4.353001653589341	1.0		0.0		0.0	-8.315851113939738	2.0		0.0	-2.4023243532967395	2.0	-5.212768666405033	2.0	-7.208413203082351	1.0	-9.133713832143254	3.0
samp_14	-7.007431734347644	3.422139279938978	0.024609207418768424	-4.400984622658803	2.0		0.0		0.0		0.0	-4.790268164603735	2.0	-5.920454361241961	1.0	-9.883179705963169	1.0	-2.057503555532684	1.0	-10.761094441864925	1.0	-4.546466531071655	2.0		0.0		0.0	-4.453827225087541	1.0	-3.2954408003637554	1.0		0.0	-8.530548595420733	1.0	-6.087518699864609	1.0	-2.4035395891336417	1.0	-5.335263213584867	3.0	-7.366152457262597	1.0	-9.441712415609414	2.0
samp_15	-7.644653643958451	1.7748484220689253	1.2671016782351148		0.0	-3.0653383089680633	2.0		0.0		0.0	-4.67264392053568	2.0	-5.746082085025639	2.0	-9.443661405191678	2.0		0.0	-10.354947266445336	2.0		0.0	-8.657737924990649	2.0	-9.973380316505867	1.0		0.0	-3.3609709810369695	2.0	-10.907407319299278	1.0	-8.226885395011008	1.0	-5.900699164972571	1.0		0.0		0.0	-7.142530175665716	2.0	-9.006593701547787	1.0
samp_16	-7.1584928131265615	3.1634658039347126	-0.040441336276863055	-4.2709979970703795	1.0		0.0	-5.396714736755503	1.0	-8.389687654472983	2.0		0.0	-5.763441091011053	2.0	-9.592562931436927	1.0	-2.0324502581218793	3.0	-10.487121357341533	1.0		0.0	-8.771689343689326	3.0	-10.210821231362132	1.0	-4.322585523434936	1.0		0.0	-11.138532053649161	1.0	-8.310897295401242	1.0	-5.928282063378532	2.0		0.0	-5.186083636167765	1.0		0.0		0.0
samp_17	-7.362695553658017	-11.396284208110538	14.365126907082272	-4.294580397942425	2.0	-3.155973537991426	3.0		0.0	-8.276461010743208	2.0	-4.659696700104716	1.0		0.0	-9.442985102460447	2.0		0.0	-10.344358638848066	1.0	-4.447302800515644	1.0	-8.646912357559497	1.0	-10.005110840275217	1.0	-4.342890036223975	1.0		0.0	-10.935290703256706	2.0		0.0		0.0		0.0	-5.155252948031469	2.0		0.0	-9.005955006937484	2.0
samp_18	-6.651945703621618	3.069054754418513	0.10845169196486373		0.0	-2.930953822494068	1.0	-5.431823987841797	1.0	-8.518011403275029	2.0		0.0	-5.800617037800557	3.0		0.0	-2.0751375123169535	2.0		0.0	-4.452186990894564	3.0	-8.915659363274004	2.0	-10.446680374032164	1.0	-4.357138089942668	2.0		0.0	-11.356890158140352	1.0	-8.412760469881066	1.0		0.0	-2.3992732489900854	1.0	-5.220076473340974	1.0		0.0		0.0
samp_19	-7.782849290779313	2.8916150551611968	0.28009506072826	-4.313517998773111	1.0	-2.9576177803872983	3.0	-5.4286044193561285	1.0		0.0		0.0	-5.792313446619063	1.0		0.0	-2.1286176419969873	1.0	-10.426113721754227	2.0	-4.461191022453135	1.0	-8.718526924864166	2.0		0.0		0.0	-3.275523833835652	1.0	-10.976028257922708	1.0	-8.288382130363296	1.0		0.0	-2.442115001606652	2.0	-5.218969966814003	1.0	-7.203290730114135	2.0	-9.06661439386772	1.0
samp_20	-6.035991646875456	3.7049610477699284	-0.08836687017138344	-4.452761376508769	1.0	-2.981375818619305	3.0	-5.634027760100124	1.0	-9.070581770153947	1.0	-4.851173255500032	2.0		0.0	-10.26456451047564	1.0	-2.0342371612662378	3.0		0.0	-4.597897410641746	1.0		0.0		0.0		0.0		0.0		0.0	-8.877906045754736	1.0	-6.188265116875242	1.0	-2.39120680779886	1.0	-5.4141183100882415	2.0	-7.534628003575765	2.0	-9.929406354709032	1.0
samp_21	-6.7399389940339685	3.1335259057436224	0.08189580111129957		0.0	-2.935240663518574	1.0		0.0	-8.524876553499045	2.0		0.0	-5.816649649193352	1.0	-9.76171601774671	2.0	-2.068751557598411	2.0		0.0	-4.464640042427338	2.0	-8.922246814080808	2.0		0.0	-4.37013861851756	1.0	-3.2538246886148454	1.0	-11.358954081727246	1.0		0.0	-5.979906958344373	1.0	-2.3970604511988647	2.0	-5.235746265852718	2.0		0.0	-9.336820471192624	1.0
samp_22	-7.011468625356779	3.270965520931004	0.10351116732421553	-4.381706880767988	2.0	-2.9724498427121975	4.0		0.0	-8.57676148884134	1.0	-4.768356832722865	1.0	-5.8896021284093045	1.0	-9.82301174044381	1.0	-2.0778213718447645	2.0	-10.702890138140559	1.0	-4.528223338790704	2.0	-8.973553391263003	1.0	-10.503331367679836	1.0		0.0		0.0		0.0		0.0	-6.0546358286393565	1.0	-2.4168666220641715	2.0	-5.307248185100952	1.0		0.0		0.0
samp_23	-7.4083402117755295	2.961106196230455	0.03535410138515383		0.0	-2.8744091792881084	1.0	-5.339734242090496	2.0	-8.284220944635736	1.0		0.0		0.0	-9.452680332140602	1.0	-2.0447347527459114	4.0	-10.35732088908118	1.0		0.0	-8.655640382671109	3.0		0.0	-4.275985502973761	1.0		0.0	-10.944621230384495	1.0	-8.215424408147909	1.0	-5.866819472909336	1.0	-2.3584028383317133	1.0		0.0	-7.118896360078923	1.0	-9.014211890288465	2.0
samp_24	-7.660164669497278	3.3448599553894094	0.09206061410759075	-4.403004632358456	1.0	-2.981854008885903	3.0	-5.5436221173929034	1.0		0.0		0.0		0.0		0.0	-2.074724497231929	1.0	-10.645918101531896	2.0	-4.5490178215363954	1.0		0.0		0.0	-4.455601371392562	1.0	-3.3063970556590103	1.0	-11.265982087682566	1.0	-8.446148388046918	1.0		0.0	-2.4183332696056077	3.0	-5.331557553758202	3.0	-7.340069750122027	1.0	-9.260344256764185	1.0
samp_25	-6.289461393300445	3.0053955398946264	0.4334266866901714	-4.439916532079947	1.0		0.0		0.0		0.0	-4.826236509460308	1.0	-5.9465117161711785	1.0	-10.055318778628548	2.0		0.0		0.0	-4.590747003583654	1.0	-9.230329766906916	2.0	-10.816405866267845	1.0	-4.491974534158068	2.0	-3.3800513790284756	2.0		0.0	-8.67142426795101	2.0	-6.105912435720754	1.0		0.0	-5.358741576469234	2.0	-7.409225327423509	1.0	-9.681970556920145	2.0
samp_26	-6.146354382180394	3.1673064840071112	0.2980912003931798	-4.439555352105574	2.0	-3.030143572564008	1.0	-5.582987759287368	1.0		0.0	-4.82872431250673	2.0	-5.959615693516107	2.0	-10.109389556247795	1.0		0.0		0.0	-4.589678424113746	1.0	-9.298193394129301	2.0		0.0		0.0	-3.3586505427648365	3.0		0.0	-8.727117618339726	1.0	-6.12026132711986	2.0		0.0	-5.367285893454173	1.0	-7.436243344265161	1.0	-9.753045354537868	1.0
samp_27	-7.075136468329929	3.2453596229476225	0.09822442265450769		0.0	-2.9652341602220598	2.0		0.0		0.0		0.0		0.0	-9.781848950679574	3.0	-2.0759518286883356	1.0	-10.669155437339578	1.0	-4.5154973824312	1.0	-8.937309720970585	3.0	-10.448793551719156	1.0		0.0		0.0	-11.366657801665763	1.0		0.0	-6.0388407043755015	2.0	-2.4129787199504675	1.0		0.0	-7.30925772103789	5.0		0.0
samp_28	-7.422495439268566	2.7812979384898746	0.14075048297270967		0.0		0.0		0.0	-8.240108843159149	3.0	-4.576698036406128	1.0	-5.670878149767417	2.0		0.0	-2.0692147774279466	3.0	-10.30215135444635	1.0		0.0	-8.609158976354433	3.0	-9.94654792342857	1.0	-4.250842781347807	2.0	-3.17942298029548	1.0	-10.874652770615493	2.0		0.0		0.0	-2.370367834028128	1.0	-5.099156477481996	1.0		0.0		0.0
samp_29	-6.050367179169314	3.500138877403554	0.005686830210989465	-4.425199556503108	1.0	-2.9804513879504935	2.0	-5.589111540556857	1.0		0.0	-4.819088341005444	3.0	-5.970660507147769	1.0		0.0	-2.0542407151950433	1.0		0.0	-4.571963059946997	1.0	-9.363460693426555	2.0	-10.96066872426679	1.0		0.0	-3.30543407538012	1.0		0.0		0.0	-6.135757913225705	1.0	-2.404360657991513	3.0		0.0		0.0	-9.82039541772767	3.0
samp_30	-7.269007246184907	-10.102271952814165	13.28231172275455		0.0		0.0	-5.469717314148122	2.0	-8.414294570469968	2.0	-4.7669868951816765	3.0		0.0	-9.61178723693674	1.0		0.0	-10.514077499769787	1.0	-4.5546850254228515	1.0		0.0	-10.221720738050838	1.0	-4.450377576900683	2.0	-3.531802321671185	1.0	-11.155403210176617	2.0		0.0	-5.97852319257055	2.0		0.0	-5.262531664272711	1.0	-7.224537954336413	1.0	-9.169156676868843	1.0
samp_31	-7.121345596276596	3.0948749654113765	0.3599987446888817	-4.436755256617195	2.0	-3.0394225138929403	1.0	-5.567536012477269	3.0		0.0	-4.822507858397467	3.0	-5.935915911307903	1.0	-9.859685624619768	2.0		0.0		0.0		0.0		0.0		0.0	-4.488884679290288	2.0	-3.3670786661675858	3.0	-11.456304234833045	1.0		0.0	-6.098393200765825	1.0		0.0		0.0	-7.368566103912812	2.0		0.0
samp_32	-7.353209843858595	3.359262954963604	0.017611418076312703	-4.373490887489255	1.0	-2.957523782825031	2.0	-5.514204467097599	1.0		0.0		0.0	-5.883415785751807	1.0	-9.738298631664394	1.0	-2.0548316281391883	3.0	-10.652132973413421	2.0		0.0	-8.904470355537887	1.0	-10.368905282324496	1.0	-4.425988379363031	1.0	-3.279076368505915	2.0	-11.31097455973956	1.0		0.0	-6.050297746629923	1.0		0.0	-5.301999410422318	1.0	-7.316590260903954	1.0	-9.288016973462362	1.0
samp_33	-6.879848882577653	3.2894626710630743	0.0033412103973837247	-4.341369807939746	1.0		0.0	-5.478620709470226	1.0		0.0	-4.726874709147695	1.0	-5.848651843524413	2.0	-9.790095218460689	3.0	-2.0498235972373413	2.0		0.0	-4.48654167572762	3.0	-8.945173195097219	1.0		0.0	-4.393592014084544	1.0	-3.2582568016686424	1.0	-11.38169555893901	1.0	-8.451308437656753	2.0		0.0		0.0	-5.2662311737243925	1.0		0.0	-9.356579604145228	1.0
samp_34	-7.030036373697786	3.2753302649881055	0.09279083071891427		0.0	-2.9692510424197702	1.0	-5.516192159486776	3.0	-8.568801554832067	1.0		0.0		0.0	-9.813061859187393	4.0	-2.0747450195624992	1.0	-10.695134715900723	1.0		0.0		0.0	-10.490004577586939	1.0	-4.4305559932866565	1.0		0.0	-11.403353006498577	1.0	-8.477320337640863	1.0	-6.051086866238133	3.0		0.0	-5.303724534951187	1.0	-7.323979006047731	1.0	-9.37130230841689	1.0
samp_35	-7.244844218197896	3.0671379564110377	0.21276486284207033	-4.3535346752159985	1.0	-2.9720346058086133	1.0	-5.47912193746841	1.0		0.0	-4.736649410781818	2.0	-5.845828569398835	2.0	-9.69084956033207	1.0	-2.1093524353950746	1.0	-10.593862530825364	1.0	-4.501010968529715	1.0		0.0	-10.321850751962064	1.0		0.0	-3.293432101726806	1.0	-11.254746448022875	2.0	-8.39608417974523	2.0		0.0		0.0	-5.2680628568289665	3.0		0.0	-9.244881445566989	1.0
samp_36	-6.827533998931777	3.1139618280447126	0.1153492869091757	-4.326329107761033	1.0	-2.943863382458159	1.0	-5.4546907772996605	1.0		0.0	-4.709641165852782	2.0	-5.8232002351606775	1.0	-9.751868118760267	1.0	-2.0786801761518654	2.0		0.0		0.0	-8.911692467237096	2.0	-10.432835798966382	2.0	-4.3781296267862375	1.0	-3.2631578646307977	2.0	-11.341495282529444	2.0		0.0		0.0	-2.4065191834621427	1.0		0.0		0.0	-9.32150402744011	2.0
samp_37	-7.093066005738368	3.136156307443758	0.021685756791840736	-4.289740241222411	2.0		0.0	-5.4157325935201195	2.0	-8.421363977784415	3.0	-4.671673048850034	1.0		0.0	-9.633272353499807	1.0	-2.049960258831632	3.0	-10.52292969170484	1.0	-4.434955350101977	1.0	-8.80643951448608	1.0	-10.267158310320394	1.0		0.0	-3.228367794165289	1.0	-11.19088694653693	1.0		0.0	-5.946957328678986	1.0		0.0	-5.2048642722650476	1.0		0.0	-9.192861763388668	1.0
samp_38	-7.553499183267585	2.3715223683298396	0.7242090393658626	-4.306457732151994	1.0	-3.010887171809148	1.0	-5.404810799492932	1.0	-8.32960540662543	1.0		0.0	-5.766318529564002	1.0		0.0		0.0	-10.407536173950163	2.0	-4.456740745803244	1.0	-8.699499116041576	2.0	-10.04596898192071	1.0	-4.356766200400673	1.0	-3.3204048194974227	2.0	-10.985710129644207	1.0	-8.262456230133612	1.0	-5.923774518697919	1.0	-2.5568510725335476	1.0	-5.196110529187982	1.0	-7.170424483638437	1.0	-9.055020883973143	1.0
samp_39	-7.337738126920024	2.741640932194193	0.33576527264496053	-4.277866928451451	2.0		0.0	-5.387514044300046	2.0	-8.34052366222861	2.0		0.0	-5.751067876819847	1.0		0.0	-2.143443276189456	1.0	-10.426840799667795	1.0		0.0	-8.715624906469937	1.0	-10.105145313640962	1.0	-4.32875842186857	1.0	-3.25672905777751	2.0	-11.039917229148362	3.0	-8.26827542608024	1.0		0.0	-2.444138790350083	1.0	-5.178036365851174	1.0		0.0	-9.081868693449008	1.0
samp_40	-7.597850488852494	2.555406945183228	0.5436577831521185	-4.298795962579943	2.0	-2.982552052458397	1.0		0.0	-8.326960665248606	1.0		0.0	-5.764407954165564	1.0	-9.489233881450168	1.0		0.0	-10.403054476409775	2.0	-4.448241482506498	2.0		0.0	-10.033880236202691	1.0		0.0	-3.2955176211254735	3.0		0.0	-8.26081870341738	1.0	-5.923240527302245	1.0	-2.5057849312649374	2.0	-5.193300643981403	1.0		0.0	-9.04961979483795	2.0
samp_41	-7.461084314767319	2.9369858848095616	0.07780900122543945		0.0		0.0	-5.349523798381342	1.0	-8.289811620228392	1.0	-4.613601135286105	2.0	-5.713459251065996	1.0	-9.45583534902943	1.0	-2.0576878005677712	2.0	-10.362761009997334	1.0		0.0	-8.660423565355813	4.0		0.0	-4.286233222484339	1.0		0.0	-10.943703371357767	2.0		0.0		0.0	-2.3704335941673484	2.0		0.0	-7.1275347353492755	2.0	-9.017161317705716	1.0
samp_42	-7.4476702268230035	2.80334022720256	0.3541603747508609		0.0	-2.9669284978236736	2.0		0.0	-8.375678469758316	2.0	-4.6922188162589356	2.0	-5.789436501929651	2.0	-9.55735950738889	2.0	-2.1540782223959103	1.0	-10.46937622875893	1.0	-4.461344539363412	1.0	-8.750252882815325	1.0		0.0		0.0	-3.2840780180897324	1.0	-11.07668735718895	1.0	-8.30502256607128	1.0	-5.950161888520702	2.0		0.0	-5.215794657283901	1.0	-7.202858983234315	1.0		0.0
samp_43	-6.986431834997731	3.514389511278963	-0.07407270637139948	-4.388025022049293	2.0	-2.9540942013058484	1.0		0.0		0.0	-4.777831694252075	1.0	-5.913054240766167	1.0	-9.8833184969921	2.0	-2.034515988159651	3.0		0.0	-4.531855614855684	1.0		0.0	-10.577055031485497	1.0	-4.441000637122546	1.0		0.0	-11.483739756611964	2.0	-8.529240054725806	2.0	-6.081773358259216	1.0	-2.382158091228913	1.0		0.0	-7.362626706037536	2.0		0.0
samp_44	-7.23607768769018	2.8926626065640333	0.2548640246418316		0.0	-2.947416075014191	2.0		0.0		0.0	-4.682492157729097	1.0	-5.783664223013834	4.0	-9.59407993991816	2.0	-2.1193569343667304	1.0	-10.494223172762185	1.0	-4.45011628506272	1.0	-8.775477789667411	2.0	-10.204137596946579	2.0	-4.353682956240733	1.0		0.0	-11.13604182457929	2.0		0.0		0.0	-2.4324425907391167	1.0		0.0	-7.202324410400224	1.0		0.0
samp_45	-7.408354282860882	2.1117725930553943	0.706898378162683	-4.1794613173533435	1.0	-2.9122932727094524	1.0	-5.270377569714922	1.0	-8.183328566645002	2.0		0.0		0.0		0.0	-2.2438016953698954	1.0	-10.231812277129336	1.0	-4.329477980097986	1.0	-8.549793030689598	2.0	-9.86879941808812	1.0	-4.229297446704625	1.0		0.0	-10.790103419367432	2.0	-8.116955755077727	2.0		0.0		0.0		0.0	-7.030264838407783	1.0	-8.900412361894173	4.0
samp_46	-6.646339151052484	3.3939947117039306	0.0026824368337630762	-4.381342863500331	1.0	-2.9594241909679506	1.0	-5.528494336477681	3.0	-8.677593812344933	1.0	-4.770065795369447	1.0		0.0	-9.934781825818554	1.0	-2.0518475117877997	2.0		0.0	-4.5268372685837726	1.0		0.0	-10.657318735307491	1.0	-4.434059339610509	1.0	-3.281375185768757	1.0	-11.5553867254669	1.0	-8.560956976100194	2.0	-6.067852143404355	2.0	-2.395366960094832	1.0		0.0		0.0	-9.520929168966195	1.0
samp_47	-7.447630271639265	2.433853491083193	0.7121852358398202	-4.328580864945881	2.0	-3.0252410531906726	3.0		0.0	-8.369852211311214	1.0	-4.704678764326267	1.0	-5.7914566805235586	3.0	-9.549556689925842	1.0		0.0	-10.460972583468287	1.0	-4.478932641784021	1.0	-8.74376571931082	1.0		0.0		0.0		0.0	-11.0663179193944	1.0	-8.299255907188721	1.0	-5.9491217622144505	1.0	-2.5637084020735266	1.0	-5.220287218828038	1.0	-7.198550527248075	1.0	-9.10729823429748	1.0
samp_48	-6.956965855567146	3.52124061438136	-0.0632690097370352	-4.395629612844034	2.0		0.0		0.0		0.0		0.0	-5.922254318023954	1.0		0.0	-2.0371439224839243	2.0		0.0	-4.539686286134091	2.0		0.0		0.0	-4.448682211624972	2.0		0.0	-11.50923599756808	2.0	-8.545533954883409	1.0	-6.0909401909940915	1.0	-2.3855675880644336	2.0	-5.33517876351688	2.0	-7.373528174199798	2.0	-9.467352105892557	2.0
samp_49	-6.18421050847952	3.4466919454012306	0.006226509043149311		0.0	-2.9710877475878763	1.0	-5.56177185173296	2.0	-8.8687979240655	3.0	-4.796592315731674	1.0		0.0	-10.090195987156184	2.0	-2.0538591115210227	1.0		0.0		0.0		0.0	-10.864656480102397	1.0	-4.458022946150211	1.0		0.0		0.0		0.0		0.0	-2.400832868629073	2.0	-5.345355590415921	4.0	-7.422869488326387	1.0	-9.728850800834156	2.0
samp_50	-6.829656386979427	2.6542312631496223	0.47063619471119916	-4.307341383097569	1.0	-2.9784592155383574	2.0		0.0	-8.44652947393653	3.0		0.0		0.0		0.0		0.0		0.0		0.0	-8.837241200858621	1.0	-10.334254880721597	1.0		0.0	-3.293520190036169	1.0	-11.247403826656445	2.0	-8.353270538017558	1.0	-5.940703366502587	3.0	-2.4896615921596337	2.0	-5.2066687201586435	1.0	-7.204619474465091	1.0	-9.238693210003138	2.0
samp_51	-6.8585801708126555	3.0056703888328546	0.38198556414615	-4.412140994921719	1.0	-3.0296002454113906	2.0	-5.539144104484369	1.0		0.0		0.0		0.0	-9.873714658619758	3.0		0.0	-10.7353180364782	1.0		0.0	-9.021530428934721	3.0		0.0	-4.4640086104564265	2.0		0.0		0.0	-8.517740107321602	1.0	-6.0690282469786	3.0	-2.4957305908858918	1.0	-5.327024811767704	1.0	-7.3442041427889215	1.0	-9.44215528131409	1.0
samp_52	-7.211591372017505	2.9850693481120243	0.2416091076043935	-4.334259859749718	3.0		0.0	-5.455551494216927	1.0		0.0		0.0	-5.821560438391268	1.0		0.0		0.0	-10.557999412957027	1.0		0.0	-8.831342235231824	1.0		0.0		0.0	-3.28459743966912	2.0	-11.216146312807867	1.0	-8.367993457711458	1.0		0.0	-2.4385479451400056	3.0		0.0	-7.24425563394981	4.0	-9.214341458065736	3.0
