run	log_tbg	log_alphap	log_betap	b3C7_log_P	b3C7_weight	b7D8_log_P	b7D8_weight	b7D9_log_P	b7D9_weight	b7E1_log_P	b7E1_weight	b7E2_log_P	b7E2_weight	b7E3_log_P	b7E3_weight	b7E4_log_P	b7E4_weight	b7E5_log_P	b7E5_weight	b7E6_log_P	b7E6_weight	b7E7_log_P	b7E7_weight	b7E8_log_P	b7E8_weight	b7E9_log_P	b7E9_weight	b7F1_log_P	b7F1_weight	b7F2_log_P	b7F2_weight	b7F3_log_P	b7F3_weight	b7F6_log_P	b7F6_weight	b7F7_log_P	b7F7_weight	b7F8_log_P	b7F8_weight	b7G1_log_P	b7G1_weight	b7G2_log_P	b7G2_weight	b7G3_log_P	b7G3_weight
fit	-7.112365147858142	3.055817325400168	0.1961246644668938	-4.341218862217659	1.0	-2.9627558078492706	1.0	-5.466278469267054	1.0	-8.478718757731059	1.0	-4.724002652701895	1.0	-5.833257951572365	1.0	-9.700910731118316	1.0	-2.103621994223894	1.0	-10.592211125420048	1.0	-4.488546988563606	1.0	-8.866671874328441	1.0	-10.347311979725095	1.0	-4.392925360110483	1.0	-3.2832257242773095	1.0	-11.270602699825098	1.0	-8.394629891340283	1.0	-5.996055273678848	1.0	-2.429214250025117	1.0	-5.255150305584272	1.0	-7.2603348996005	1.0	-9.258262895875061	1.0
samp_00	-7.053062486770061	2.874309078527487	0.3164566092903984		0.0	-2.9693107636579485	1.0	-5.44222118237981	3.0	-8.449773847075729	2.0		0.0	-5.80795954158548	1.0	-9.66789521486984	2.0		0.0	-10.55388382371975	1.0	-4.473509082777274	4.0		0.0	-10.312869787429376	1.0		0.0	-3.2878628890567283	1.0		0.0		0.0	-5.968804229757774	1.0	-2.454961357435569	2.0		0.0	-7.230838891794546	1.0	-9.228159075518704	1.0
samp_01	-6.947220910657753	2.9582855013464258	0.3183283192811639	-4.361208676732954	2.0	-2.9910709802265596	2.0		0.0	-8.52479428191633	2.0	-4.743654842162004	4.0	-5.850815178298744	1.0		0.0	-2.1451884175054126	1.0	-10.635296397737223	1.0	-4.509846794795845	1.0	-8.918809309265717	1.0	-10.43374437362276	1.0		0.0		0.0		0.0	-8.432201180248539	1.0		0.0		0.0	-5.272311664322663	2.0	-7.280256207002476	2.0		0.0
samp_02	-7.273580472104526	3.0356207886399624	0.16836493430490324	-4.319320858318988	1.0		0.0		0.0		0.0	-4.701113249027656	1.0		0.0		0.0	-2.0935650403004353	1.0	-10.531247274293033	2.0	-4.466191741161869	1.0	-8.805676507873319	3.0	-10.240844398470852	1.0	-4.370884660970148	2.0	-3.265395547170531	1.0		0.0	-8.347694559549119	1.0	-5.970831812578075	1.0	-2.4167047928209135	2.0	-5.23126292067712	1.0	-7.230156465817147	1.0	-9.183186921912771	2.0
samp_03	-6.725149391426279	3.229158641261816	0.03770640885962052		0.0		0.0		0.0	-8.563951862990017	1.0	-4.719784502813626	1.0		0.0		0.0	-2.0581630174422587	2.0	-10.658909539233482	1.0	-4.4806977575278975	3.0	-8.9640961208526	1.0		0.0		0.0	-3.2586501216138797	3.0		0.0	-8.45928121114199	1.0		0.0	-2.3920322403544887	1.0	-5.257279466807253	2.0	-7.282709855745041	2.0	-9.383790283918684	3.0
samp_04	-6.187820117774574	3.5709753142173173	-0.09270043555803402		0.0		0.0		0.0	-8.888998441626304	1.0		0.0	-5.947560935450465	1.0	-10.11129493222768	2.0	-2.0318925483186083	1.0		0.0	-4.547666178565012	2.0	-9.295602845511787	3.0	-10.887290994663394	1.0		0.0	-3.2800987573155314	1.0		0.0	-8.725086910338998	1.0	-6.114843767284952	3.0	-2.38200533318231	1.0	-5.350356567259725	1.0	-7.436289312109376	1.0	-9.751142613989384	2.0
samp_05	-7.187785637333437	3.2954185585045126	0.09477694803442094		0.0	-2.9737948315018428	1.0	-5.525213356114607	1.0	-8.554269652905294	1.0	-4.773341373571612	1.0	-5.894566116114635	2.0	-9.790102131093173	1.0	-2.0754236111543234	1.0		0.0	-4.532734309707799	3.0		0.0		0.0	-4.438887575719705	2.0	-3.2972289278235833	1.0	-11.375277591926926	2.0		0.0		0.0	-2.4158247687328256	1.0	-5.312862547668747	4.0		0.0		0.0
samp_06	-7.61639844552617	3.298264225554229	0.019336506463297844	-4.35083116504702	3.0		0.0	-5.486089068077448	2.0		0.0	-4.736022626818756	1.0	-5.853647728437478	2.0	-9.635772688532906	2.0	-2.054101052709408	2.0	-10.562004380996665	2.0		0.0		0.0		0.0	-4.40306283532434	1.0	-3.266110909346073	1.0	-11.168071468145166	1.0	-8.381318570432567	1.0		0.0	-2.3919399520048352	2.0		0.0		0.0	-9.188546861356835	1.0
samp_07	-7.071114300655645	3.3330382474783633	0.011615822180350538	-4.361375020886467	1.0		0.0	-5.501150119171934	1.0		0.0		0.0	-5.871018816596255	1.0	-9.783611997478289	1.0	-2.052914459637541	2.0	-10.670592435559081	1.0		0.0	-8.938650309305547	1.0		0.0	-4.413778351362742	2.0	-3.271220670169664	2.0	-11.368865229433377	1.0		0.0	-6.037254040120849	1.0	-2.39285210740069	1.0	-5.288726800709146	1.0	-7.3092135903514714	2.0	-9.340384186364453	3.0
samp_08	-7.347494783752687	3.123752734886726	0.0661854369346185	-4.305562422177924	1.0		0.0		0.0	-8.405822439275369	1.0	-4.687677082200608	2.0	-5.797239661033146	1.0	-9.600898966205605	2.0	-2.0631258069752825	2.0	-10.509215837471427	2.0	-4.451201005646537	2.0	-8.78454970486306	1.0	-10.20007401335787	2.0	-4.357235020563616	1.0	-3.243886560989961	1.0	-11.1389533417078	1.0	-8.331807112322412	1.0		0.0		0.0		0.0	-7.2201850402013195	1.0		0.0
