run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight	b2B9_log_P	b2B9_weight	b2A7_log_P	b2A7_weight	b2A9_log_P	b2A9_weight	b2A4_log_P	b2A4_weight	b2A8_log_P	b2A8_weight
samp_52	-0.11181370510766511	-4.906178997331666	1.0	-2.1782893859457517	2.0	-4.770382075300999	1.0		0.0		0.0	-4.668433569797204	2.0	-4.656708079693275	1.0	-5.129321280120942	2.0	-1.5226076698008264	1.0	-4.082805135195585	1.0		0.0	-7.714239921986751	1.0		0.0	-0.3526213474634382	1.0		0.0		0.0	-5.219299866272751	1.0		0.0	-9.64120782611114	2.0	-9.885434170275127	1.0	-7.138237507899484	2.0	-5.287623643827782	1.0	-9.811888802679611	3.0
samp_53	0.1524218107844075	-4.952333960100743	1.0		0.0		0.0	-4.576926674178318	1.0		0.0	-4.7123774347705405	2.0	-4.698056590906836	2.0	-5.178250944986889	1.0	-1.5171144790575508	1.0	-4.10425250189565	1.0	-4.587685205249866	1.0	-7.801485384918211	2.0	-4.92050225923534	2.0		0.0	-4.206853574265984	2.0	-4.695924696816517	3.0		0.0		0.0		0.0	-10.0111796506607	2.0	-7.216330473239339	1.0	-5.33932211117051	1.0		0.0
samp_54	-0.17632241304105106		0.0	-2.180499505339117	4.0	-4.758541492165226	3.0	-4.527673082629358	2.0	-0.5923487131187221	3.0	-4.656495928299986	1.0	-4.645406329773467	1.0	-5.116139518467346	1.0	-1.5241069486737944	1.0	-4.076477314481373	1.0		0.0		0.0		0.0	-0.35245408362363817	1.0		0.0	-4.641350582847523	1.0		0.0	-6.211512306334385	1.0	-9.607886447381025	1.0	-9.85245589125202	1.0	-7.117873247365581	1.0		0.0		0.0
samp_55	-0.10965485760081481		0.0		0.0		0.0	-4.538640928165208	1.0	-0.5923613192488457	1.0	-4.668826617651952	2.0	-4.657078173640382	1.0	-5.129751883765838	2.0	-1.5225591845274729	1.0	-4.083010707735395	2.0	-4.552194844908096	2.0	-7.714987364022065	1.0		0.0	-0.3526302347823633	1.0	-4.171992834754389	1.0		0.0	-5.219764427935327	2.0		0.0	-9.642305577506532	1.0	-9.886520878805989	2.0	-7.1389082470119085	2.0	-5.288079154449858	1.0		0.0
samp_56	0.1629668762482066		0.0		0.0	-4.815474771783864	2.0	-4.578309075587665	1.0	-0.5923486170088682	2.0		0.0	-4.6995483935249425	1.0		0.0		0.0	-4.104979284447065	1.0	-4.588944978654599	2.0	-7.804770808500449	3.0		0.0	-0.3531750395737376	1.0	-4.208101205356682	2.0	-4.697482164822704	1.0	-5.274078780221063	1.0	-6.296429324655137	1.0	-9.773210265836633	2.0		0.0	-7.219258597608923	2.0		0.0	-9.939976359807494	1.0
samp_57	0.6103443741622896		0.0	-2.1579657024765218	1.0		0.0		0.0	-0.5922191875619675	4.0		0.0		0.0	-5.244941312636613	1.0	-1.5098576445252816	1.0		0.0		0.0	-7.930212122343835	1.0	-4.983529879558387	2.0	-0.3537526940863005	1.0	-4.25216618757662	2.0	-4.753048802895319	2.0	-5.345214545811997	4.0	-6.3873177142968105	1.0	-9.952101235574807	1.0	-10.192262643839372	1.0	-7.330501239795882	1.0		0.0		0.0
samp_58	-0.15782689786060403	-4.897315278284807	3.0		0.0		0.0	-4.530761742670003	1.0	-0.5923503618904334	1.0		0.0	-4.648693633379544	5.0	-5.119967926555306	1.0	-1.5236775156134275	1.0	-4.078339315274434	1.0	-4.544834680358631	2.0	-7.69813877478798	1.0	-4.864946007191417	1.0	-0.3525000174913798	1.0		0.0	-4.644746953214071	1.0		0.0		0.0	-9.617527844463156	1.0	-9.86200318416546	1.0	-7.123760910473111	1.0		0.0	-9.78890305596091	1.0
samp_59	0.018319075829083622	-4.92990870329929	2.0	-2.174002721252119	2.0	-4.792797789543467	1.0	-4.558279564437328	2.0	-0.5923678111882992	2.0		0.0	-4.678050437736679	1.0		0.0	-1.5197746732166615	3.0	-4.094240514033231	1.0		0.0	-7.75833559858257	1.0	-4.897840437574139	2.0		0.0	-4.189913666061288	2.0		0.0	-5.2463373173938885	1.0		0.0	-9.705772992321165	2.0		0.0	-7.177779065273668	1.0		0.0		0.0
samp_60	-0.21716339814446461	-4.885514159813478	1.0	-2.181937076406161	1.0	-4.750787302106852	4.0	-4.520688834420393	2.0		0.0		0.0		0.0		0.0	-1.525082278464106	3.0	-4.072235027689518	2.0	-4.535395514731526	2.0	-7.676999843640764	1.0		0.0	-0.35233575696267694	2.0		0.0		0.0	-5.195940024469442	1.0	-6.200359422113204	1.0	-9.586336582411196	1.0	-9.831118030236041	1.0	-7.104721126443005	1.0		0.0		0.0
samp_61	-0.14986508188784392		0.0		0.0		0.0	-4.532083008484723	2.0	-0.5923567537341018	1.0		0.0	-4.650099527051471	1.0	-5.12160578094449	1.0		0.0	-4.079131943064051	2.0	-4.546071654230309	2.0		0.0	-4.866511875342552	2.0	-0.35252718985254267	1.0	-4.165987029323876	1.0		0.0	-5.211014477685851	1.0	-6.218628223566786	1.0	-9.621653101537682	5.0	-9.866086526758018	1.0	-7.126284006534891	2.0		0.0		0.0
