run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight
fit	-4.010925258805103	-5.260688412755152	1.0	-2.483631705812366	1.0	-4.991573279680337	1.0	-4.832477958556356	1.0	-0.7096368779254068	1.0	-5.006822444159983	1.0	-5.0223167003229285	1.0	-5.3427229865393295	1.0	-1.8220764851667277	1.0	-4.2949920907229835	1.0	-4.775271568770981	1.0	-7.289514124732992	1.0	-4.538964255447406	1.0	-0.1628588501809916	1.0	-3.7283020049542204	1.0	-4.238093328325415	1.0	-4.763819156998242	1.0	-5.916423016418455	1.0
samp_00	-3.75771407619125	-5.347098926188524	1.0		0.0	-5.076677555744279	1.0	-4.917013814860214	2.0	-0.7442968358662355	2.0	-5.091972730698735	1.0	-5.107681977554233	1.0	-5.429445884774885	1.0		0.0		0.0	-4.859592632877508	1.0	-7.382480783388537	1.0		0.0	-0.21252086896035574	1.0		0.0	-4.321328737356221	2.0	-4.847883105967518	1.0	-6.002627958055317	3.0
samp_01	-3.653710362834499		0.0		0.0		0.0		0.0	-0.7564089858122816	1.0	-5.12880648582448	3.0	-5.144613778977124	1.0		0.0		0.0	-4.412567749574612	3.0	-4.896010054682977	1.0		0.0		0.0	-0.23118405643528278	1.0	-3.8461571912886217	1.0	-4.35716051887327	4.0	-4.884188268709271	2.0	-6.040139773955069	1.0
samp_02	-4.16725390198406	-5.210923471817956	1.0	-2.4440654049717576	1.0		0.0	-4.783635813395471	2.0	-0.6854038156991198	1.0		0.0	-4.973063029947204	1.0		0.0	-1.7887505071150347	3.0	-4.247298523444374	1.0		0.0	-7.237360908884262	2.0	-4.490510763123004	2.0	-0.1298151107069238	3.0		0.0		0.0		0.0	-5.867017304168692	1.0
samp_03	-4.394106075990614	-5.143886937088572	1.0	-2.3888838364769973	2.0	-4.876179823947007	1.0	-4.717667057500472	1.0	-0.6477577337879024	1.0		0.0	-4.906618753922895	2.0		0.0	-1.7407806872485772	1.0	-4.182665038134178	3.0	-4.660681783900925	1.0	-7.168679626992374	2.0	-4.424962478057309	1.0		0.0	-3.6149719386815975	1.0		0.0	-4.649539023762293	1.0		0.0
samp_04	-3.8807852266876033	-5.304236833241817	1.0		0.0		0.0	-4.875120804203464	1.0		0.0	-5.049760135311008	3.0		0.0	-5.386418236514667	1.0	-1.8495479253638607	1.0	-4.336511280762733	2.0	-4.817807931120327	1.0	-7.335978929391115	1.0	-4.581209354565467	1.0	-0.1890743766356154	1.0	-3.7700059343322345	1.0	-4.280140907815924	3.0	-4.806236360800136	1.0		0.0
samp_05	-4.545641315075928	-5.102633285883092	1.0	-2.353894903575486	2.0	-4.8353300458235555	2.0	-4.6769733693473095	1.0	-0.6217460426011532	2.0	-4.850523067956442	1.0		0.0		0.0	-1.7095784138982326	3.0	-4.142675776913308	2.0	-4.620048864016864	1.0		0.0		0.0		0.0		0.0	-4.0839087761149875	1.0	-4.609008797625839	2.0		0.0
samp_06	-4.009213898956021		0.0		0.0	-4.992125745041053	3.0		0.0		0.0		0.0	-5.022872134830159	1.0		0.0	-1.8224361307409729	1.0	-4.295527269749794	5.0	-4.77581646768519	1.0	-7.290111526964061	1.0	-4.539500044570314	1.0		0.0	-3.7288346539684176	2.0		0.0	-4.764358389136383	1.0	-5.916977381417834	2.0
samp_07	-4.686633409520673	-5.066834193846564	2.0	-2.3229194583888173	1.0	-4.7998396618519505	1.0	-4.641600653077627	2.0	-0.5974191231370821	1.0	-4.815028245540115	2.0	-4.830110000231716	1.0		0.0	-1.6814973465419512	1.0	-4.107845474474371	1.0	-4.58472126816119	3.0	-7.091991721560474	2.0		0.0		0.0	-3.539085830448658	1.0		0.0		0.0		0.0
samp_08	-3.8347478532170545	-5.3200878813274874	1.0		0.0		0.0	-4.890615819035815	2.0		0.0		0.0	-5.081015969211081	1.0	-5.402327440515794	3.0	-1.8591468457503522	1.0		0.0	-4.8332732853553875	1.0	-7.353076795611898	2.0		0.0	-0.19806303402289085	2.0	-3.7851233529925565	1.0	-4.295385440657941	2.0	-4.821644668840471	1.0	-5.975617321019148	1.0
