run	log_tbg	log_alphap	log_betap	b9E5_log_P	b9E5_weight	b9E8_log_P	b9E8_weight	b9F3_log_P	b9F3_weight	b9F4_log_P	b9F4_weight	b9F5_log_P	b9F5_weight	b9F6_log_P	b9F6_weight	b18F3_log_P	b18F3_weight	b18F8_log_P	b18F8_weight	b18F9_log_P	b18F9_weight	b18G1_log_P	b18G1_weight	b18G2_log_P	b18G2_weight	b18G6_log_P	b18G6_weight	b18G7_log_P	b18G7_weight	b18G9_log_P	b18G9_weight	b18H1_log_P	b18H1_weight	b18H3_log_P	b18H3_weight	b17E2_log_P	b17E2_weight
samp_48	-6.058558923813743	1.766085000070553	-0.03269541011220903	-0.5454252840487537	1.0		0.0	-9.116442038696372	1.0		0.0		0.0	-7.197229493510526	3.0	-6.354004773295334	2.0	-8.139508502929894	2.0	-3.120762895931547	1.0	-7.439021835795632	3.0		0.0	-1.216657527250361	1.0		0.0	-5.152089646314184	1.0	-4.669069975915334	1.0		0.0	-5.545351213646256	1.0
samp_49	-7.828776074470382	-13.867663351064552	15.37457158152214		0.0	-9.401861573176308	1.0	-8.624707403870179	3.0		0.0		0.0	-7.007670781945175	1.0	-6.2011501222445276	1.0	-7.777205845418585	4.0	-3.082883359734335	1.0	-7.188787206518842	1.0		0.0		0.0	-6.301134866513695	1.0	-5.041769235232194	2.0		0.0	-3.634768680482954	1.0	-5.423391515224419	1.0
samp_50	-8.661262900655428	1.4956647972209998	0.04552813992714761	-0.542567982172171	2.0		0.0	-8.598894206981022	3.0		0.0		0.0		0.0		0.0	-7.76914581162317	1.0	-3.0383053419746826	1.0	-7.190534261130179	2.0	-3.54299528646372	1.0	-1.2172810299078642	2.0	-6.309209729298996	2.0		0.0		0.0	-3.597206364393208	2.0	-5.429347703830096	1.0
samp_51	-7.821354354321652	2.051139822816404	-0.359279699296903		0.0	-9.515907823976246	1.0	-8.726730385146812	1.0		0.0	-8.906926004709613	2.0	-7.099546893202466	1.0		0.0	-7.87374268673705	1.0		0.0		0.0		0.0	-1.0915775289429062	2.0	-6.387705998299706	3.0	-5.111998458847178	1.0	-4.6330889195783	2.0	-3.6375945267697896	1.0	-5.500607558656478	2.0
samp_52	-6.762514893284972	1.74289945147686	0.07987473974378663	-0.5987262600821762	1.0	-9.931923014734574	1.0	-8.964413901455028	1.0	-9.806008717703868	3.0	-9.166480553017923	1.0	-7.199443988702342	1.0	-6.373913803016457	2.0		0.0		0.0		0.0	-3.6745887206006147	2.0		0.0	-6.476814052275024	1.0		0.0	-4.7101977036993175	2.0	-3.728459532596686	1.0	-5.579210276680753	1.0
samp_53	-7.1334766042788065	1.6474167426200528	-0.04183878405277324	-0.5216889459692423	1.0	-9.629812493226975	1.0	-8.757306889041704	1.0	-9.482859678529447	2.0	-8.948054374385912	1.0	-7.071130555559131	1.0		0.0		0.0		0.0	-7.262989316027131	2.0		0.0	-1.1947298222275102	1.0	-6.355655180179757	3.0		0.0	-4.6010476130386575	1.0	-3.622735610547529	2.0	-5.466105088278029	1.0
samp_54	-6.661497828655579	2.0604441010126147	-0.24498217451699628		0.0		0.0	-8.983852575126066	1.0	-9.852712964653545	2.0	-9.18848043574751	1.0	-7.199939730940223	2.0	-6.37095043060321	1.0		0.0	-3.1387645817560097	1.0	-7.410717291775124	2.0		0.0	-1.1432520954410847	1.0		0.0	-5.180674445275914	2.0	-4.698644387976899	2.0	-3.701127093614843	2.0		0.0
samp_55	-7.33189239006359	1.5838892882499687	0.20832472766978888	-0.6488619473262369	1.0	-9.698122011701388	1.0	-8.83971556056142	1.0		0.0	-9.0286436256238	2.0	-7.162543960313665	2.0		0.0	-7.961868378983404	1.0	-3.1605131379619693	1.0	-7.353173759743032	1.0	-3.667072860437146	1.0		0.0	-6.448200245287844	2.0		0.0	-4.695990672964378	3.0		0.0	-5.559961625935674	1.0
samp_56	-7.218146076905816	1.8344370730832111	-0.050723190807576035		0.0	-9.727092665430723	1.0		0.0		0.0	-9.042561819710041	1.0	-7.160952917880546	1.0	-6.343048958575926	1.0		0.0	-3.1397292786863167	2.0	-7.353720773584989	2.0		0.0	-1.214445211416404	1.0		0.0	-5.165203051648065	1.0	-4.686527034603909	3.0	-3.7014649015869687	2.0	-5.55363060982339	2.0
samp_57	-7.060367870490397	2.1895527738207297	-0.24887622972310947		0.0	-9.898554269048526	2.0		0.0		0.0	-9.17434180785619	2.0	-7.248107361328146	2.0		0.0	-8.075076316043159	1.0	-3.188241272739186	3.0		0.0	-3.7013379417766563	1.0	-1.151248884007926	2.0	-6.52692790328369	1.0	-5.238046289440132	1.0		0.0	-3.752377123021777	1.0	-5.629462234004097	1.0
samp_58	-7.212645018174113	1.687346319864335	-0.037724348668694556	-0.5304815299988203	1.0	-9.63505309156669	2.0	-8.77163458688449	1.0	-9.48789119344155	2.0	-8.961225418991642	2.0	-7.091632005238832	1.0	-6.275260385904929	1.0	-7.892050472196101	1.0		0.0	-7.282478928046518	1.0	-3.589160761034452	2.0	-1.2029167856974667	1.0	-6.376617055850126	1.0		0.0		0.0		0.0	-5.487414881833821	1.0
samp_59	-4.990555981552051	2.156951938648056	-0.37353971595302343		0.0		0.0		0.0		0.0		0.0	-7.380028464418973	1.0	-6.47988528221533	2.0	-8.680094802062087	1.0		0.0	-7.771936994320383	3.0	-3.634790321114251	1.0	-1.099125201022909	1.0	-6.598927610536131	2.0	-5.2016163709566134	2.0		0.0	-3.6866597451182654	1.0	-5.6123323157565785	3.0
samp_60	-7.781516285232947	1.43527328236139	0.19699789308106355	-0.6210030934526263	2.0		0.0	-8.697235144643217	1.0		0.0	-8.877402857528724	1.0	-7.070916702376408	2.0	-6.260786966231468	2.0	-7.844830192791442	1.0	-3.087666516052059	1.0	-7.252875357929451	2.0		0.0		0.0	-6.361183126303271	2.0	-5.092542644326858	1.0	-4.616996529417337	1.0		0.0	-5.478043560156001	1.0
