run	log_tbg	log_alphap	log_betap	b1A1_log_P	b1A1_weight	b2C6_log_P	b2C6_weight	b2C7_log_P	b2C7_weight	b2C8_log_P	b2C8_weight	b2C9_log_P	b2C9_weight	b2D1_log_P	b2D1_weight	b2D2_log_P	b2D2_weight	b2D3_log_P	b2D3_weight	b2D4_log_P	b2D4_weight	b2D5_log_P	b2D5_weight	b2D6_log_P	b2D6_weight	b2D7_log_P	b2D7_weight	b2D8_log_P	b2D8_weight	b2D9_log_P	b2D9_weight	b2E1_log_P	b2E1_weight	b2E3_log_P	b2E3_weight	b2E6_log_P	b2E6_weight	b2E7_log_P	b2E7_weight	b2E8_log_P	b2E8_weight	b2E9_log_P	b2E9_weight	b2F1_log_P	b2F1_weight	b2F2_log_P	b2F2_weight	b1B8_log_P	b1B8_weight	b1B9_log_P	b1B9_weight	b1C1_log_P	b1C1_weight	b1C2_log_P	b1C2_weight	b1C3_log_P	b1C3_weight	b1C4_log_P	b1C4_weight	b1C5_log_P	b1C5_weight	b1C6_log_P	b1C6_weight	b1C7_log_P	b1C7_weight	b1C8_log_P	b1C8_weight	b1C9_log_P	b1C9_weight	b1D1_log_P	b1D1_weight	b1D2_log_P	b1D2_weight	b1D3_log_P	b1D3_weight	b1D4_log_P	b1D4_weight	b1D5_log_P	b1D5_weight	b1D6_log_P	b1D6_weight	b1D7_log_P	b1D7_weight	b1D8_log_P	b1D8_weight	b1D9_log_P	b1D9_weight	b1E1_log_P	b1E1_weight	b1E2_log_P	b1E2_weight
fit	-5.538029543464994	6.522563124474628	0.03419806389891152	-4.369780771682124	1.0	-8.08780021255669	1.0	-1.5371849069509476	1.0	-5.254858093192849	1.0	-4.94145036925663	1.0	-4.75431373366433	1.0	-7.759480817789416	1.0	-4.4968360032638355	1.0	-5.594992123843787	1.0	-3.725080664806663	1.0	-11.060184504723061	1.0	-11.969924027181898	1.0	-5.957925452589416	1.0	-10.895803662281821	1.0	-4.850888546479542	1.0	-10.56890963064743	1.0	-5.897784927513122	1.0	-6.097912008126743	1.0	-4.02012952540555	1.0	-5.42318879058038	1.0	-11.803604049586426	1.0	-1.9592500056938051	1.0	-10.854419700776157	1.0	-8.784426204158539	1.0	-10.377807533007996	1.0	-5.8495252033885095	1.0	-3.620356216198138	1.0	-8.051165919048604	1.0	-10.551102107799487	1.0	-11.505540457987218	1.0	-9.652631510882419	1.0	-10.840616503280701	1.0	-10.056061070044628	1.0	-7.796528764670311	1.0	-7.928249233882579	1.0	-3.180376536567866	1.0	-11.550001835355006	1.0	-6.269712647048498	1.0	-6.792920342021356	1.0	-10.657391645441521	1.0	-8.516165375481494	1.0	-4.436466907180206	1.0	-10.845024112220338	1.0	-3.816245659975354	1.0
samp_00	-5.631554985913595	6.588165217135826	0.04555740551708313	-4.370404690519527	1.0	-8.120731438031276	3.0	-1.537219490802077	3.0	-5.255401464420588	1.0	-4.943284860720632	1.0	-4.754680855763474	3.0	-7.788464017786312	2.0		0.0		0.0	-3.7250978868323723	1.0	-11.130597985957545	2.0	-12.038825782144313	1.0	-5.962051420257498	1.0	-10.964946852684674	1.0	-4.852628818790806	2.0	-10.637590240523808	1.0	-5.902152790225576	3.0	-6.103612366790713	1.0		0.0	-5.425694855471344	1.0	-11.873498380883035	1.0	-1.9587749109927328	1.0		0.0	-8.828558709519493	1.0		0.0	-5.852514985424348	1.0	-3.62064832287182	1.0	-8.08067616695475	2.0	-10.617010461095413	1.0		0.0		0.0	-10.908881497929594	2.0		0.0		0.0	-7.956045358170148	2.0		0.0		0.0		0.0	-6.805542867314379	1.0		0.0		0.0	-4.437152646553968	1.0	-10.91215065735845	2.0		0.0
samp_01	-5.536739287780791	6.541984401253281	0.058320303749527395	-4.372788710611437	1.0	-8.121076943160437	2.0	-1.5374875296146027	3.0		0.0		0.0		0.0	-7.789270250892829	1.0	-4.500264534574638	1.0	-5.6037230266584865	3.0		0.0		0.0	-12.014317818447877	2.0	-5.9698065977874455	1.0	-10.93860777822054	1.0		0.0	-10.609523410684428	2.0		0.0		0.0	-4.02193294662775	1.0	-5.4309339093144136	2.0	-11.846804134636848	3.0		0.0		0.0	-8.823327304718342	2.0	-10.422735458814874	2.0	-5.860384047823799	1.0	-3.6218656972742034	2.0	-8.085614665889901	1.0		0.0		0.0		0.0	-10.884636877787432	3.0	-10.101194604425054	1.0		0.0	-7.961373004931511	2.0	-3.181279406424421	1.0		0.0	-6.284654765317254	2.0	-6.81357572597021	1.0	-10.703044465420431	1.0		0.0	-4.439668537155681	1.0	-10.89119949102958	1.0		0.0
samp_02	-5.3277572748286905	6.773739755094751	0.014643797180613647	-4.377087701972246	3.0	-8.299423375736781	1.0	-1.5376769495521672	3.0	-5.269925744028087	3.0		0.0	-4.763276654068394	2.0	-7.945316696622831	3.0	-4.5058265280156755	2.0		0.0		0.0		0.0	-12.224442975486381	1.0		0.0	-11.132597865873436	1.0	-4.865191070222237	1.0		0.0	-5.9388978638162	1.0		0.0	-4.020498997128517	1.0	-5.4470273291542854	2.0		0.0	-1.9582953992577137	1.0	-11.091022704575101	1.0		0.0		0.0	-5.8854178847111545	2.0	-3.623863296033263	1.0	-8.278081397354926	1.0		0.0		0.0	-9.906152304566355	1.0	-11.087693503720507	3.0		0.0		0.0	-8.145551876033887	1.0		0.0	-11.79706249119963	1.0		0.0	-6.902340483574706	3.0		0.0	-8.785931791292919	2.0		0.0	-11.109925574259147	2.0	-3.819531268097116	1.0
samp_03	-5.485878026581911	6.711853181654361	0.009024803353010792	-4.371885261812629	1.0	-8.2106611424939	1.0	-1.5372055779971956	1.0	-5.2582128131559145	1.0		0.0	-4.7561107596956385	1.0	-7.86532549110835	2.0	-4.499809292419706	3.0	-5.60274556207097	2.0	-3.7253094898434487	1.0	-11.21647843852047	1.0	-12.14112086461429	2.0		0.0	-11.058664137454858	1.0	-4.8564706918188225	2.0	-10.722081838698884	1.0	-5.9148266247542	1.0	-6.1206310456977135	3.0	-4.017789269656376	1.0	-5.432176997243247	1.0		0.0	-1.9580536025819621	1.0	-11.017132136858589	1.0	-8.933543897934427	2.0		0.0	-5.86282184159585	1.0		0.0	-8.178377226377714	1.0	-10.72523840114869	1.0	-11.67305654176344	1.0	-9.818912166344965	2.0	-11.008898943542563	1.0		0.0		0.0	-8.048633466948477	3.0		0.0		0.0		0.0		0.0	-10.833027179243128	1.0	-8.672347993630352	1.0	-4.4387796009192915	1.0	-11.022948276308353	1.0		0.0
samp_04	-5.6152370046967715	6.406966966496442	0.08567278034098784		0.0		0.0		0.0		0.0	-4.942646277375536	3.0	-4.757687821267713	1.0	-7.714938473155682	1.0	-4.498599793977409	2.0		0.0		0.0	-10.998394628867898	3.0	-11.897006832389845	1.0	-5.955694977813735	1.0	-10.828701621910735	1.0		0.0	-10.50837065426514	1.0	-5.895437716666563	1.0	-6.092862665627448	1.0	-4.024433675457064	2.0	-5.424122918620697	2.0		0.0		0.0		0.0	-8.718426769420994	1.0		0.0	-5.849317092954543	1.0	-3.6215866158301777	2.0	-7.995371613550051	1.0	-10.474350645149785	1.0	-11.435611399096278	3.0		0.0	-10.7691947914989	1.0		0.0	-7.74613269099944	1.0	-7.87594017049507	4.0	-3.181965279880183	1.0	-11.479532433225085	1.0	-6.262327666962057	2.0		0.0	-10.579733021491533	1.0		0.0	-4.438521421885223	1.0	-10.765971380035094	2.0	-3.8181986534315384	1.0
samp_05	-5.6550978131779495	6.373417051602239	0.04445121572367198		0.0	-7.973512404595397	2.0	-1.5370279115155785	1.0	-5.24499562779205	2.0	-4.931586420822575	2.0	-4.748681169383589	1.0		0.0	-4.491206028112455	1.0	-5.578850251385426	2.0		0.0	-10.92688024443906	1.0		0.0		0.0	-10.752365102224976	2.0		0.0		0.0	-5.872019804555577	1.0		0.0	-4.020392156256421	3.0		0.0	-11.658537670940463	3.0		0.0		0.0	-8.645869567638847	1.0	-10.217299346436713	2.0	-5.8267293587593905	3.0		0.0	-7.9309347757639586	1.0	-10.389216014661107	1.0	-11.356958135827597	2.0		0.0	-10.688901157782313	2.0	-9.89169564233812	1.0	-7.684785310187366	2.0	-7.814052369123691	2.0		0.0	-11.400418877460694	2.0	-6.23228995887973	1.0	-6.732947249234447	1.0		0.0		0.0	-4.431591202346222	2.0		0.0		0.0
samp_06	-5.421164420908179	6.721867139805988	-0.006679120927929233		0.0	-8.219852686246258	1.0	-1.5372701466609442	2.0		0.0	-4.947783129200606	1.0	-4.756341342026677	1.0	-7.873457312049121	1.0		0.0		0.0	-3.725352164704634	3.0		0.0		0.0		0.0	-11.056389383531416	3.0		0.0	-10.717852637847969	1.0		0.0	-6.123123907449126	1.0	-4.017737674769637	1.0		0.0		0.0	-1.957976260459968	1.0		0.0	-8.940909516366911	2.0		0.0		0.0	-3.621370392877163	1.0	-8.190714628080295	3.0	-10.726419365071576	2.0	-11.671789567640198	2.0	-9.822374012775244	3.0	-11.008044369030097	2.0	-10.233156220738127	3.0		0.0		0.0		0.0	-11.717179583425137	2.0	-6.300685166537877	3.0	-6.852766057033015	2.0	-10.834321904220518	1.0		0.0		0.0	-11.024428866027884	2.0		0.0
samp_07	-5.385382611002506	6.717632836864643	-0.010318098458940363		0.0		0.0	-1.5372422871205138	1.0		0.0		0.0	-4.757008423358859	1.0	-7.875766571029032	2.0	-4.500509850364151	2.0		0.0	-3.7256026687088406	1.0		0.0	-12.137014133695063	2.0	-5.979248198064146	3.0	-11.050500554519024	1.0		0.0		0.0	-5.918515533766824	1.0	-6.125410440089498	2.0		0.0	-5.434189595698201	1.0	-11.962296604708794	1.0	-1.9580725051891634	1.0	-11.008980694380154	2.0	-8.940903545787384	2.0	-10.547659159207557	1.0		0.0		0.0	-8.194741702517828	1.0	-10.722162620499896	1.0	-11.666380901051058	2.0	-9.819555713835232	2.0	-11.002815997761887	1.0		0.0	-7.931567235983106	2.0		0.0	-3.1801618198772506	1.0	-11.71190528160038	3.0	-6.303380226314225	1.0	-6.856416869620388	1.0	-10.830071645665766	2.0	-8.690976401127719	1.0		0.0	-11.020278491853823	1.0	-3.81698093458087	1.0
samp_08	-5.497925970513242	6.467451718257811	0.051412526351380855	-4.371373203269608	2.0		0.0	-1.5374414522372548	3.0	-5.258664438459009	1.0	-4.943206956623288	1.0	-4.756929591129882	1.0	-7.746680682756056	1.0		0.0	-5.598910086023817	1.0	-3.726305000543171	2.0	-11.02560526418886	1.0	-11.935601192629887	2.0	-5.96080540018413	2.0	-10.861662574212675	1.0		0.0	-10.535229963269215	1.0		0.0		0.0	-4.022617077631658	1.0	-5.4257465966029415	1.0		0.0	-1.9599447794571212	1.0	-10.820354558805276	1.0	-8.762710778396299	1.0	-10.345467730715583	1.0	-5.853052086858572	2.0	-3.621224336429896	2.0		0.0	-10.51818666378949	1.0		0.0		0.0		0.0	-10.025284490376722	2.0	-7.7866432563858385	1.0		0.0	-3.1813035140223542	1.0	-11.515380419763455	2.0	-6.271468342004218	1.0	-6.790895815515389	1.0	-10.624192617987342	1.0	-8.49921747358138	1.0	-4.438127829921961	1.0		0.0	-3.817516751244886	3.0
