run	log_tsat	log_tbg	log_alphap	b1A1_log_P	b1A1_weight	b1B8_log_P	b1B8_weight	b1B9_log_P	b1B9_weight	b1C1_log_P	b1C1_weight	b1C2_log_P	b1C2_weight	b1C3_log_P	b1C3_weight	b1C4_log_P	b1C4_weight	b1C5_log_P	b1C5_weight	b1C6_log_P	b1C6_weight	b1C7_log_P	b1C7_weight	b1C8_log_P	b1C8_weight	b1C9_log_P	b1C9_weight	b1D1_log_P	b1D1_weight	b1D2_log_P	b1D2_weight	b1D3_log_P	b1D3_weight	b1D4_log_P	b1D4_weight	b1D5_log_P	b1D5_weight	b1D6_log_P	b1D6_weight	b1D7_log_P	b1D7_weight	b1D8_log_P	b1D8_weight	b1D9_log_P	b1D9_weight	b1E1_log_P	b1E1_weight	b1E2_log_P	b1E2_weight	b2C6_log_P	b2C6_weight	b2C7_log_P	b2C7_weight	b2C8_log_P	b2C8_weight	b2C9_log_P	b2C9_weight	b2D1_log_P	b2D1_weight	b2D2_log_P	b2D2_weight	b2D3_log_P	b2D3_weight	b2D4_log_P	b2D4_weight	b2D5_log_P	b2D5_weight	b2D6_log_P	b2D6_weight	b2D7_log_P	b2D7_weight	b2D8_log_P	b2D8_weight	b2D9_log_P	b2D9_weight	b2E1_log_P	b2E1_weight	b2E3_log_P	b2E3_weight	b2E6_log_P	b2E6_weight	b2E7_log_P	b2E7_weight	b2E8_log_P	b2E8_weight	b2E9_log_P	b2E9_weight	b2F1_log_P	b2F1_weight	b2F2_log_P	b2F2_weight
samp_31	2.7731716423398614	-5.197893862136846	6.63259994820136	-4.432980469303603	2.0		0.0		0.0		0.0		0.0	-3.6785144625312203	1.0		0.0		0.0		0.0	-9.823860976324752	2.0		0.0		0.0	-8.001333751337656	1.0	-8.123800767587548	1.0	-3.2371264711923273	2.0		0.0	-6.388492327884349	3.0	-6.9398292972225235	1.0	-10.825025585232773	3.0	-8.7371494473298	2.0	-4.500383111343444	1.0	-11.015250078680296	1.0		0.0		0.0	-1.6001714334927561	1.0	-5.332824954258902	1.0	-5.012892210441552	1.0	-4.822115681307496	3.0		0.0	-4.561535503105812	2.0	-5.683528179287371	1.0	-3.7834516281071147	2.0		0.0	-12.132614703977712	3.0	-6.061042143480033	1.0	-11.03882060997896	1.0	-4.920765622215927	4.0		0.0		0.0	-6.207078677358382	1.0	-4.079428244099266	1.0		0.0	-11.953785134738164	1.0	-2.0184205538451856	1.0
samp_32	2.762994038901802	-5.482812622177391	6.557818605613087	-4.413186256017294	2.0	-10.900082676174815	1.0		0.0	-10.42777103692544	2.0	-5.89733487797625	3.0	-3.6634410443549372	1.0		0.0		0.0		0.0	-9.704502782030596	1.0		0.0	-10.107893720271322	2.0	-7.854877736221367	1.0	-7.985228657018924	2.0		0.0	-11.596623875960047	4.0	-6.319437331709082	1.0	-6.845097444343258	1.0	-10.70734208287648	1.0	-8.576830309145704	1.0	-4.479946711230912	1.0	-10.89518829311314	1.0	-3.8593484227734107	1.0	-8.142349047173667	1.0		0.0	-5.300341123596636	1.0		0.0	-4.798394446157856	4.0	-7.812641630421505	1.0	-4.54036818417346	1.0		0.0	-3.7681865224353612	2.0	-11.103644785696895	1.0	-12.017684325380618	1.0	-6.006102823141931	1.0	-10.941432138214644	1.0	-4.894954866447818	1.0	-10.612440418407648	1.0		0.0	-6.146576231297644	1.0		0.0		0.0		0.0	-2.006334822798437	1.0
samp_33	2.758705685806103	-5.497585307473006	6.6378427954472885	-4.40969563338786	1.0		0.0		0.0		0.0	-5.89872436654663	3.0		0.0	-8.156465824356912	2.0	-10.676373732298702	3.0		0.0	-9.77459201986035	1.0	-10.96217593073115	2.0	-10.181905918941379	1.0		0.0		0.0	-3.219117192045917	1.0	-11.671269471386507	1.0	-6.327003298749554	1.0		0.0	-10.783455005639963	1.0	-8.635985169524194	1.0	-4.4765528109330495	1.0	-10.97229220865487	1.0		0.0	-8.189948614759967	2.0	-1.5818701429748683	1.0	-5.297339715633199	1.0	-4.983970476543561	1.0	-4.794738901377065	2.0	-7.853352949878566	2.0	-4.537289948409291	2.0	-5.6406727465147455	1.0		0.0	-11.174576211690907	1.0	-12.092945238331508	1.0	-6.009230222930734	1.0	-11.014149247461006	1.0	-4.893054336322613	1.0	-10.681796128457599	2.0	-5.948617200985862	1.0	-6.152136452142041	3.0	-4.057859435081472	1.0		0.0		0.0		0.0
samp_34	2.8491490797989525	-5.939786105153565	6.212398248340112	-4.492979515403425	1.0		0.0	-8.56096082249872	2.0		0.0	-5.926696589602209	1.0	-3.749361966888337	3.0	-7.886054633241698	1.0		0.0	-11.246333734084718	1.0		0.0	-10.563582306698137	1.0	-9.731498846996056	1.0	-7.655178468854813	2.0		0.0		0.0		0.0		0.0	-6.777228801667775	3.0		0.0	-8.272081124294155	3.0	-4.558718324983008	2.0		0.0	-3.9462879702208395	1.0		0.0		0.0	-5.366276583862446	1.0	-5.050732612796408	1.0	-4.875946144672879	1.0	-7.6463267973835425	1.0	-4.617004311566683	1.0	-5.68968631349943	2.0	-3.855943801270144	1.0	-10.853269438503364	1.0		0.0	-6.024855980798284	2.0		0.0		0.0	-10.365429738792903	1.0	-5.96672779144572	1.0	-6.151221229228299	2.0	-4.157715145516264	3.0	-5.518771230913574	1.0	-11.56052287004814	3.0		0.0
samp_35	2.8114630994747527	-5.620988235951659	6.307134462101589	-4.458285257941603	1.0		0.0	-8.658411413451416	1.0	-10.201128188328587	2.0	-5.913928394059791	2.0		0.0	-7.962117219860348	1.0	-10.371138142455825	1.0		0.0	-9.491238926657402	1.0		0.0	-9.878022976240663	1.0	-7.723659142128345	2.0		0.0		0.0		0.0	-6.310610363118469	3.0		0.0		0.0	-8.385294971027314	2.0		0.0	-10.656974903254879	1.0	-3.908547780055243	2.0		0.0		0.0	-5.3389950743318915	1.0	-5.022116697920768	2.0	-4.8428946896929945	1.0		0.0	-4.583565680747269	1.0		0.0	-3.8178553641383575	1.0	-10.91465847745529	1.0	-11.796598367341172	1.0	-6.015718682279757	2.0		0.0	-4.932332733161377	2.0	-10.428679598252858	1.0	-5.9562148872562215	1.0	-6.146800935521821	2.0	-4.11772098615219	4.0	-5.496930300651535	1.0	-11.641590412248657	3.0		0.0
samp_36	2.737456311202094	-5.616629799267404	6.577990154308157	-4.382854863623001	2.0		0.0	-8.798319028770884	1.0	-10.402738692654246	1.0	-5.85641198347374	1.0	-3.6349661065257752	1.0	-8.057543421073536	2.0		0.0	-11.536126598212855	1.0		0.0	-10.86948527085498	1.0	-10.077934745604802	1.0	-7.800097661205792	2.0	-7.9345062123524945	2.0	-3.19543686689563	1.0	-11.580365382706908	2.0	-6.27559113280182	1.0		0.0	-10.682962524693217	1.0		0.0	-4.449378154398687	2.0		0.0		0.0	-8.098153857573259	3.0	-1.5558593984144542	1.0		0.0	-4.953235065001725	1.0	-4.765887740921605	1.0	-7.770012520247412	1.0	-4.509710921093177	1.0	-5.602810026489995	1.0		0.0	-11.093623854509785	1.0	-11.999081642218682	1.0	-5.964787411388469	2.0	-10.926639382109434	3.0		0.0	-10.601528225108725	1.0		0.0	-6.104783722532429	1.0	-4.0330829953415	2.0	-5.432854316499314	1.0		0.0	-1.9763818581328931	1.0
samp_37	2.646432893940055	-5.3071096989028455	6.7461372031954205		0.0		0.0		0.0		0.0		0.0		0.0	-8.159882804929692	2.0		0.0	-11.634489808325917	1.0		0.0	-10.970454267790375	1.0	-10.200860857417151	5.0	-7.893888615097241	2.0	-8.027591249870742	2.0		0.0		0.0	-6.226784714502062	2.0	-6.7899909901582705	1.0		0.0	-8.666041211622634	3.0		0.0	-10.991944907683214	2.0	-3.738361439648229	1.0	-8.183467833405148	1.0	-1.4446564887171007	3.0	-5.178904439551695	1.0	-4.870456790462425	1.0		0.0	-7.831071518283764	1.0		0.0		0.0		0.0		0.0	-12.10811235923475	2.0	-5.899901883962887	1.0	-11.015802599044246	2.0	-4.779674823352922	2.0	-10.672116685863271	1.0	-5.839746724253566	1.0		0.0	-3.9381712172906482	2.0	-5.355076530818462	1.0		0.0	-1.8706285690021833	3.0
samp_38	2.8891080758326435	-5.704658680503637	6.257338053535244	-4.5432886078736034	1.0	-10.719622849384557	1.0		0.0	-10.212864150164764	1.0	-5.996861977242709	1.0		0.0	-7.999980810300386	1.0	-10.381834669087745	1.0		0.0		0.0	-10.689523293959459	2.0	-9.887655920572854	2.0	-7.766246599760776	2.0	-7.889155292558286	2.0		0.0	-11.40152062313092	1.0	-6.386371321548746	1.0	-6.862661818997537	1.0		0.0	-8.409640753046078	3.0	-4.609628923240646	1.0	-10.66436227862732	1.0	-3.9931195273469826	1.0	-8.042603501928523	1.0		0.0		0.0	-5.106549248940242	2.0	-4.930106906582232	1.0		0.0	-4.668338091102729	1.0		0.0	-3.902363391456271	2.0		0.0		0.0	-6.096485380299525	1.0	-10.760731398791288	2.0	-5.016570015294925	2.0	-10.459257915769468	3.0		0.0	-6.224705458848524	1.0	-4.20586112468472	1.0	-5.5812265921977815	3.0	-11.66431541408333	1.0		0.0
samp_39	2.8126241130559095	-5.5247350584107515	6.445705245639636	-4.464961126021184	3.0	-10.838919546056003	3.0	-8.790482110427408	1.0	-10.359172894060324	1.0	-5.942776619794725	2.0	-3.715404970596085	1.0		0.0	-10.530963288704278	2.0		0.0		0.0		0.0		0.0	-7.8311886043916035	2.0		0.0	-3.2771770653726717	3.0		0.0	-6.354027510881129	2.0	-6.861451650534746	3.0		0.0		0.0	-4.531657317476447	2.0	-10.821974707225667	2.0	-3.9119966719139083	3.0	-8.112854182683716	1.0	-1.6469747002994237	1.0	-5.353193367196561	1.0		0.0	-4.851375465201021	1.0		0.0		0.0	-5.691432890962502	3.0		0.0		0.0		0.0		0.0	-10.880133949735203	1.0	-4.944508169192754	1.0	-10.558743222703134	1.0	-5.987775555377452	1.0	-6.184669133907266	2.0		0.0	-5.51694899747772	1.0		0.0		0.0
samp_40	2.6636702772576126	-5.456099262336165	6.889084640286627	-4.311839830344846	2.0		0.0		0.0		0.0	-5.801626598664121	2.0	-3.5610007283774783	1.0	-8.242160555319716	1.0	-10.840271164959224	2.0	-11.784230842470842	1.0		0.0	-11.120004021359687	1.0	-10.344231736100815	1.0		0.0	-8.104153582060325	1.0	-3.117986685064	1.0	-11.82995905431674	3.0	-6.246000012390939	1.0		0.0		0.0		0.0		0.0	-11.141157450654351	1.0	-3.7557513916730723	1.0	-8.271452644738913	2.0		0.0	-5.193978876583208	1.0	-4.888766371822979	1.0	-4.694142333334072	5.0	-7.9060881254185045	3.0		0.0	-5.5391716711306005	1.0	-3.6642563939479054	1.0	-11.318682167495561	2.0	-12.255233353848812	1.0		0.0		0.0	-4.7980685707845945	1.0		0.0		0.0	-6.066732372454988	2.0	-3.953829524886253	2.0	-5.372667521661036	1.0		0.0	-1.8898077984100041	2.0
