run	log_tsat	log_tbg	log_alphap	b1A1_log_P	b1A1_weight	b1B8_log_P	b1B8_weight	b1B9_log_P	b1B9_weight	b1C1_log_P	b1C1_weight	b1C2_log_P	b1C2_weight	b1C3_log_P	b1C3_weight	b1C4_log_P	b1C4_weight	b1C5_log_P	b1C5_weight	b1C6_log_P	b1C6_weight	b1C7_log_P	b1C7_weight	b1C8_log_P	b1C8_weight	b1C9_log_P	b1C9_weight	b1D1_log_P	b1D1_weight	b1D2_log_P	b1D2_weight	b1D3_log_P	b1D3_weight	b1D4_log_P	b1D4_weight	b1D5_log_P	b1D5_weight	b1D6_log_P	b1D6_weight	b1D7_log_P	b1D7_weight	b1D8_log_P	b1D8_weight	b1D9_log_P	b1D9_weight	b1E1_log_P	b1E1_weight	b1E2_log_P	b1E2_weight	b2C6_log_P	b2C6_weight	b2C7_log_P	b2C7_weight	b2C8_log_P	b2C8_weight	b2C9_log_P	b2C9_weight	b2D1_log_P	b2D1_weight	b2D2_log_P	b2D2_weight	b2D3_log_P	b2D3_weight	b2D4_log_P	b2D4_weight	b2D5_log_P	b2D5_weight	b2D6_log_P	b2D6_weight	b2D7_log_P	b2D7_weight	b2D8_log_P	b2D8_weight	b2D9_log_P	b2D9_weight	b2E1_log_P	b2E1_weight	b2E3_log_P	b2E3_weight	b2E6_log_P	b2E6_weight	b2E7_log_P	b2E7_weight	b2E8_log_P	b2E8_weight	b2E9_log_P	b2E9_weight	b2F1_log_P	b2F1_weight	b2F2_log_P	b2F2_weight
samp_41	2.686560181216331	-5.495786788533039	6.66294335962246	-4.331539690930958	3.0	-10.924176059217466	2.0	-8.842048910416734	1.0	-10.454274719787119	2.0	-5.810703632763673	2.0		0.0		0.0	-10.628718871108083	2.0		0.0		0.0		0.0		0.0	-7.82627371540429	1.0	-7.9625333996994145	1.0	-3.1417068730693103	1.0	-11.623885247677459	1.0	-6.23905646411979	2.0	-6.779321581393231	1.0	-10.736123277169082	2.0	-8.576432962850605	1.0		0.0		0.0	-3.7778391048815387	3.0	-8.125508274823325	1.0		0.0		0.0	-4.904043722227	1.0	-4.714062073613651	1.0	-7.785188403081944	2.0	-4.458927303638345	1.0	-5.553775641962328	3.0		0.0	-11.125495231053911	1.0		0.0	-5.921555970374966	3.0	-10.965674286180203	1.0		0.0		0.0		0.0	-6.0650655127151705	1.0	-3.9787129894419246	1.0	-5.38501071841488	1.0		0.0	-1.9171998539166522	2.0
samp_42	2.777036367667871	-5.7402215108066255	6.355943762698212		0.0	-10.698605447961802	2.0	-8.634238151510653	1.0		0.0	-5.870653113429514	2.0		0.0		0.0		0.0		0.0	-9.474798391342384	2.0	-10.670657970638816	4.0	-9.863431703396023	1.0	-7.6875603560048065	3.0		0.0		0.0	-11.384838923144981	1.0	-6.269242678711209	2.0		0.0	-10.466530751428467	1.0		0.0	-4.485184326899564	1.0	-10.649618794648362	1.0		0.0	-7.975202617194906	1.0	-1.6035053184169625	1.0		0.0	-4.982355736640596	2.0	-4.801721570260826	1.0		0.0		0.0	-5.62612103182074	2.0	-3.7794228550148623	2.0	-10.921752981308968	3.0	-11.798341531271987	1.0	-5.973305901867467	3.0	-10.740005983714275	1.0		0.0	-10.43343031132794	1.0	-5.91457211855178	2.0		0.0		0.0		0.0	-11.646429533836082	2.0	-2.0233447475022155	1.0
samp_43	2.7783016417487136	-5.383882792382095	6.582935684894326	-4.4328144091310415	3.0	-10.945515146165873	1.0	-8.896167189915055	2.0	-10.480851329842816	1.0	-5.928698493665945	3.0	-3.681191453649386	2.0	-8.170277438763591	2.0		0.0		0.0	-9.759511087070186	1.0		0.0		0.0	-7.917727282782373	1.0	-8.045661525062135	1.0	-3.241038991932628	2.0	-11.644776696429657	1.0	-6.356707925630378	1.0	-6.890348910645989	1.0	-10.76090535679261	1.0	-8.646352231218136	1.0		0.0	-10.949493387933103	1.0	-3.8774211804190286	1.0	-8.19827331400551	1.0	-1.605906210422789	3.0	-5.325219911859883	2.0		0.0	-4.819738275632018	2.0		0.0		0.0		0.0	-3.786083987189986	1.0	-11.14494211256255	1.0	-12.068429936593645	2.0	-6.038781541602095	1.0		0.0		0.0		0.0	-5.977135543515269	2.0		0.0	-4.081877584742082	1.0	-5.4951445473262766	2.0		0.0		0.0
samp_44	2.690122782601344	-5.551642485530732	6.708414594547435		0.0	-10.968856222341248	1.0	-8.87224432393077	1.0		0.0	-5.814100554725451	3.0	-3.586413420735015	1.0		0.0	-10.671831807651966	1.0	-11.623886638404352	2.0		0.0		0.0	-10.173966390734515	1.0	-7.842085855817356	1.0	-7.981182870662301	2.0	-3.145254984768985	1.0		0.0	-6.24385368598888	2.0		0.0	-10.779490255916441	1.0		0.0	-4.4018061690738	1.0		0.0	-3.7813447390297616	3.0	-8.147799033626892	3.0	-1.498137232662713	2.0	-5.215548376077993	2.0		0.0		0.0	-7.80456552694178	2.0		0.0	-5.556800700636259	1.0		0.0	-11.17091091009631	1.0	-12.090313775460166	2.0	-5.925451691519458	2.0	-11.01043481685951	1.0	-4.817708511576385	1.0	-10.676408930364406	1.0		0.0		0.0	-3.9815699609390487	3.0	-5.38885914849363	1.0		0.0	-1.9209879460702726	1.0
samp_45	2.741303494959912	-5.302213413145887	6.686013138554961	-4.3961220810949735	2.0		0.0	-8.959844070647442	1.0	-10.554731487393047	2.0		0.0	-3.6434971197382855	1.0	-8.22674105073583	3.0	-10.728897108233278	1.0	-11.670623363891831	2.0	-9.830279529617538	1.0	-11.007349769590649	2.0		0.0	-7.9693608006895005	1.0	-8.09800687441704	1.0	-3.2019643822474673	1.0	-11.716362105689143	2.0	-6.3404062790771025	2.0		0.0	-10.836829578918127	3.0	-8.720597921641625	2.0		0.0	-11.027104501636602	1.0	-3.839403416999725	1.0		0.0		0.0		0.0	-4.97416769734531	2.0	-4.782722159039426	1.0		0.0	-4.524443249505818	2.0	-5.637466350185713	1.0		0.0		0.0	-12.143429381305586	1.0	-6.013802486373145	2.0		0.0	-4.882628566362853	3.0	-10.712520655346955	1.0		0.0		0.0		0.0		0.0		0.0	-1.981055515493728	2.0
samp_46	2.8479093341666575	-5.624335195622175	6.422258275829578	-4.501983792544855	2.0	-10.844726733825146	1.0	-8.788286537914669	1.0		0.0		0.0	-3.7524303795437954	1.0		0.0	-10.526794105792412	1.0	-11.490618288208053	1.0	-9.637143643227706	2.0		0.0	-10.03144305229274	3.0	-7.833896476877582	1.0	-7.960907526275247	3.0	-3.3148224792252514	1.0		0.0	-6.382764843609722	1.0		0.0	-10.631297991788628	1.0	-8.515275008226586	3.0	-4.568664832070741	2.0	-10.816178381065464	1.0		0.0	-8.117262247319632	2.0		0.0	-5.390398271278551	1.0		0.0		0.0	-7.80362612984033	2.0	-4.628375791163492	2.0		0.0	-3.85827260977761	1.0	-11.058586460204122	1.0		0.0	-6.08073751933454	1.0	-10.885994195079935	2.0	-4.980733603738111	2.0	-10.570167518100437	1.0		0.0		0.0	-4.157615656227673	1.0	-5.552314456666739	2.0	-11.791435888367957	1.0		0.0
samp_47	2.678594335143913	-5.531822738605532	6.602644747190018		0.0	-10.855187429300695	1.0		0.0		0.0	-5.792266024409371	1.0		0.0	-8.028745225786922	1.0	-10.554213860101898	1.0	-11.508021337062466	1.0	-9.651218347593593	2.0	-10.842743829120263	2.0		0.0	-7.767857552991896	1.0		0.0	-3.132763618834271	1.0	-11.55268365785987	3.0	-6.214643144797817	1.0	-6.744941173122801	1.0	-10.661061164601081	1.0	-8.503296363706191	1.0	-4.387300327339482	1.0	-10.849552377891936	2.0	-3.768307578295131	1.0	-8.066601629475457	1.0	-1.4838339853995108	1.0	-5.199318305530896	1.0		0.0		0.0		0.0	-4.447774573304441	1.0	-5.537946947520287	1.0	-3.677234435486887	2.0	-11.059566996348147	1.0	-11.973428630638987	2.0	-5.901596157308213	1.0	-10.896655909118765	1.0		0.0	-10.566972711734849	3.0	-5.842580033191816	2.0		0.0	-3.9696229739670885	4.0		0.0		0.0	-1.9080819251330994	1.0
samp_48	2.7960399428374805	-5.447680858322053	6.597586306224542	-4.4511610349608315	1.0	-10.974138354039964	1.0	-8.915371290100405	2.0		0.0		0.0		0.0		0.0	-10.679419585617756	1.0	-11.627436976762457	1.0	-9.782590698646132	3.0		0.0	-10.187628315565687	2.0	-7.930145011377574	2.0		0.0	-3.2597019691998104	1.0		0.0		0.0	-6.906232723738139	1.0	-10.786269073042176	3.0		0.0	-4.518192168784434	4.0	-10.974700972845637	3.0		0.0	-8.215005307943377	1.0		0.0	-5.343598429022669	1.0		0.0	-4.838138222031819	1.0		0.0	-4.578834142448606	2.0	-5.6881781298809075	2.0		0.0		0.0	-12.094656705103615	1.0		0.0	-11.015503449121896	1.0	-4.9351945859551485	2.0	-10.683497759160081	3.0		0.0	-6.198604975761929	2.0	-4.100295130901516	1.0	-5.5134825475359195	1.0	-11.924371279368632	1.0		0.0
samp_49	2.8744017870534	-5.741340273110408	6.240967210817409	-4.525471649263586	2.0	-10.685309879220673	2.0	-8.649950884943449	4.0	-10.172891196980265	3.0		0.0	-3.7787818665323414	1.0		0.0		0.0	-11.324060854598347	1.0	-9.468182755592142	2.0	-10.652751884174569	2.0	-9.846388140464976	3.0	-7.733340155011471	1.0	-7.856445911757345	2.0	-3.343566733762344	1.0	-11.366259487919539	1.0		0.0		0.0	-10.442967942628536	1.0		0.0	-4.591651257671248	2.0	-10.623007304136298	1.0	-3.97630679962694	1.0	-8.010581602988255	1.0		0.0	-5.40631004014414	1.0		0.0		0.0		0.0	-4.650217510692107	1.0		0.0	-3.8856768398741406	2.0	-10.913238907376785	4.0		0.0	-6.072702145368357	1.0	-10.726477675017275	2.0		0.0		0.0		0.0		0.0		0.0	-5.5599226092995115	1.0	-11.630630241415721	1.0		0.0
samp_50	2.7418484085223627	-5.801506427480767	6.4519846993980865	-4.381646047825592	1.0	-10.750943629567976	1.0	-8.656864710809263	1.0		0.0	-5.835679186346549	1.0	-3.6367588925145298	1.0	-7.935707286880544	3.0		0.0	-11.3975012403401	1.0		0.0	-10.723882072418832	1.0		0.0	-7.687173544434508	4.0	-7.819528918177222	2.0	-3.1989488377311623	1.0	-11.440577417261869	3.0	-6.240520060971978	2.0	-6.740951573760946	1.0		0.0		0.0	-4.447744913299739	1.0		0.0		0.0	-7.984163271594453	1.0	-1.5607862462013051	2.0		0.0		0.0	-4.762983475041059	1.0	-7.672922454840446	2.0	-4.5073517800439	1.0	-5.588671630302228	1.0		0.0	-10.973861271341862	1.0		0.0		0.0	-10.792563496286851	1.0	-4.857026692205327	1.0	-10.482495425652855	1.0	-5.88206288358436	1.0		0.0	-4.036313766169129	3.0	-5.420071400213884	2.0	-11.701618854215942	1.0	-1.9817112446497511	1.0
samp_51	2.8247850934153833	-5.79589538101112	6.434946969117121	-4.4733578662541	2.0	-10.818826560820488	1.0	-8.734488906063456	1.0		0.0		0.0		0.0	-8.020919212025278	2.0		0.0	-11.464385794406406	2.0	-9.586103017905986	1.0	-10.791458988341402	1.0		0.0	-7.7761282511820315	3.0		0.0	-3.288700481377659	2.0		0.0		0.0		0.0	-10.58728438634706	2.0		0.0		0.0		0.0	-3.9222385915762135	2.0		0.0	-1.6613828263495063	1.0	-5.355691885098995	1.0	-5.04041303765556	2.0	-4.857936465024987	1.0	-7.758016710037392	2.0	-4.599371276001005	1.0		0.0	-3.831414104499983	2.0	-11.041821508814825	2.0	-11.921259058397704	1.0		0.0	-10.860349667345233	2.0	-4.950313583270801	2.0	-10.551296772425705	2.0	-5.9820000451535895	1.0	-6.175401342153979	1.0	-4.129116204451055	1.0	-5.517776462418404	2.0	-11.768559452552841	1.0		0.0
samp_52	2.8020040527207786	-5.737633361575379	6.529441113970725	-4.450876109345245	2.0	-10.893645525485462	1.0	-8.79943206042405	1.0	-10.397568252168758	2.0		0.0	-3.7027080745695113	2.0	-8.068852812857788	1.0		0.0	-11.542217552642134	1.0	-9.667470183826712	1.0	-10.872175300760196	1.0		0.0	-7.817036832382122	1.0	-7.949666176512651	2.0		0.0	-11.585829415242198	1.0		0.0	-6.847179693784187	1.0		0.0		0.0	-4.517450902986463	1.0	-10.863164472625577	3.0		0.0	-8.113322916514473	1.0		0.0		0.0	-5.0207082521725	1.0		0.0	-7.794316426571348	2.0	-4.577519431930631	1.0	-5.672161473661707	1.0		0.0	-11.109519712312872	6.0	-12.001899379836413	2.0		0.0	-10.935205566736647	1.0	-4.930343872162038	1.0	-10.617731764404047	1.0		0.0	-6.167701295966767	1.0		0.0	-5.500548433385534	3.0	-11.843404741804408	1.0	-2.05082656423576	1.0
samp_53	2.7630260757949756	-5.5509455546781625	6.532951166758741		0.0	-10.871666680638382	1.0	-8.803475258998452	1.0		0.0		0.0	-3.6625518796145418	1.0	-8.073589430036078	2.0	-10.566112326729119	2.0		0.0		0.0		0.0	-10.070968989386904	2.0	-7.820631776799798	3.0		0.0		0.0		0.0	-6.3067377931265645	3.0	-6.826030594857157	2.0	-10.672134550078704	2.0		0.0	-4.477919424583145	1.0	-10.859353561074293	2.0	-3.8583662727236394	1.0	-8.110937612971256	1.0	-1.587055192563612	1.0	-5.295953568855545	1.0		0.0	-4.795769079204125	1.0	-7.785147629695109	2.0	-4.538155979362544	2.0	-5.635294608033483	1.0	-3.767308389824827	1.0	-11.07866954291672	2.0	-11.985612360733468	1.0	-5.9966333291216305	1.0	-10.913031596233077	1.0		0.0	-10.587857542723395	1.0		0.0		0.0		0.0	-5.463316150667596	2.0	-11.820435112113294	2.0	-2.0063240969855225	1.0
samp_54	2.7956805980367676	-5.411989700494009	6.606628434854393		0.0	-10.984589920886323	3.0		0.0	-10.519125317741718	1.0	-5.9505385906697565	1.0		0.0	-8.200113452862729	2.0	-10.69251207970668	1.0	-11.638677229324733	1.0		0.0	-10.975572257899444	1.0		0.0	-7.946147933835056	1.0	-8.074980446308293	2.0		0.0	-11.683761099887214	1.0		0.0		0.0	-10.79947372299646	2.0	-8.677900893265209	2.0	-4.518814750207326	1.0	-10.98817681124987	2.0	-3.8959107941180022	3.0		0.0	-1.6268668688747738	2.0		0.0	-5.027905969293807	1.0	-4.839089667128628	1.0	-7.893849367535939	3.0	-4.5795714214955066	1.0	-5.6910976627732515	2.0	-3.8045569146170175	1.0		0.0		0.0		0.0	-11.025936143259656	1.0	-4.9364540938916335	2.0		0.0	-5.999182989456492	3.0	-6.2036880560830205	1.0	-4.100382334293828	1.0		0.0	-11.935359336698207	1.0		0.0
samp_55	2.748144432037913	-5.687111009010741	6.512736910318583	-4.391909887896376	1.0	-10.82695870743564	1.0	-8.739640399127873	2.0		0.0	-5.857794269637155	1.0	-3.6451247678583614	1.0	-8.00853139957516	2.0	-10.508087427175022	2.0	-11.475591983557997	1.0		0.0		0.0	-10.007249411190198	1.0	-7.755772147020574	1.0		0.0	-3.206457452845936	1.0		0.0		0.0		0.0	-10.613606598293975	1.0		0.0	-4.45827334990951	2.0		0.0	-3.8405845838337656	1.0	-8.052362617759858	1.0	-1.568701513272727	4.0	-5.271161355514474	2.0	-4.959972437196488	1.0	-4.774571464114688	1.0	-7.732306599374552	1.0	-4.518264227004115	1.0	-5.607174524460839	2.0	-3.749708168569687	1.0	-11.040997729338065	1.0		0.0	-5.964343719410969	1.0		0.0	-4.870037712224626	1.0	-10.54973913951032	1.0	-5.905277738629022	1.0	-6.101837270752729	3.0	-4.044340324499924	1.0		0.0	-11.776240742865083	1.0	-1.9889533436737152	2.0
samp_56	2.7261282720504125	-5.3051000240212245	6.7808872757140115	-4.381087522154299	1.0		0.0	-9.026003011483922	4.0		0.0	-5.888915234943541	2.0	-3.6280676134567096	2.0	-8.281434240068178	2.0	-10.808748498841535	1.0	-11.749422088953091	2.0		0.0	-11.085833194368718	1.0	-10.317930933064286	2.0		0.0	-8.149083321347543	1.0		0.0	-11.7953981298706	2.0		0.0		0.0		0.0	-8.788793143023884	3.0		0.0	-11.108568615791073	2.0	-3.8236684788003057	1.0		0.0	-1.5428809192602244	1.0		0.0	-4.960635547660451	1.0	-4.76713275607133	2.0		0.0		0.0		0.0		0.0		0.0	-12.223333170687047	3.0		0.0	-11.13043594853022	1.0	-4.869041423687232	1.0	-10.785620625990548	1.0	-5.942382663499307	2.0	-6.1536491722550934	1.0	-4.024551536133798	1.0	-5.450654949877152	3.0		0.0	-1.9630836814858397	1.0
samp_57	2.7468404491839014	-5.681799860829991	6.4608179896136	-4.389353626580074	1.0	-10.77539889796443	2.0	-8.697569291398748	1.0	-10.280928773233791	2.0		0.0		0.0	-7.9746878816517075	1.0		0.0	-11.42255187035209	1.0	-9.556501956976868	3.0		0.0	-9.953840174611342	1.0		0.0		0.0	-3.2050527304001974	2.0	-11.466098878204852	1.0		0.0		0.0		0.0	-8.414945316191202	2.0	-4.45561449129052	1.0	-10.744130788917294	2.0	-3.838790950580949	2.0	-8.018574073542286	1.0		0.0	-5.267386185954862	4.0		0.0	-4.771815225296129	1.0	-7.702579618866859	2.0	-4.5153713918472755	1.0		0.0	-3.7479991782620496	2.0	-10.991095649755268	2.0		0.0		0.0		0.0		0.0	-10.500911284296924	1.0	-5.89705125651656	2.0	-6.091978964251844	1.0	-4.043300023768763	1.0	-5.4318105291866745	1.0	-11.723968118114408	2.0	-1.9877164554963713	1.0
samp_58	2.735354232069432	-5.761288714753845	6.51834202275916	-4.376732614787508	1.0	-10.813209891438316	1.0	-8.712258052066048	1.0	-10.3130992015432	1.0	-5.837521564926432	1.0		0.0	-7.979109129938963	2.0		0.0	-11.461826935193265	1.0	-9.58138634717491	1.0	-10.790330465585669	1.0	-9.9821705551045	1.0		0.0		0.0	-3.1922803978920675	1.0	-11.505324176693653	1.0	-6.248234258095167	2.0		0.0	-10.592411839444347	1.0		0.0		0.0	-10.7787749103806	1.0	-3.826071089200683	1.0		0.0	-1.5529908205706011	1.0	-5.253201592794934	2.0	-4.943706742994807	1.0		0.0	-7.708147731816207	2.0	-4.5029138885277336	1.0	-5.587900533004749	1.0		0.0	-11.031010366515485	1.0		0.0	-5.943835934020606	2.0	-10.854831937281606	1.0	-4.854036716017415	1.0	-10.538818301694668	3.0	-5.885311573814205	1.0	-6.081021396717303	2.0	-4.029221473452933	4.0	-5.419338403750245	1.0	-11.763799572138353	2.0		0.0
samp_59	2.807012943234908	-5.612909687600322	6.471313429923368	-4.45750649435282	2.0	-10.851909870360261	2.0		0.0	-10.36542221539381	1.0	-5.932075192495922	1.0		0.0		0.0	-10.537801086607677	1.0	-11.499588195018195	1.0	-9.643751863782098	2.0	-10.833174395370822	2.0	-10.041593900237919	1.0	-7.818777988104564	3.0		0.0		0.0	-11.543430127282425	1.0		0.0		0.0	-10.642980613417784	2.0		0.0	-4.524123369396637	1.0		0.0	-3.904984992339005	2.0		0.0	-1.64012597922557	1.0		0.0	-5.027237211408459	2.0	-4.842981091402928	2.0	-7.788050227360945	1.0	-4.584050765800998	1.0		0.0	-3.813991989710095	1.0		0.0	-11.960666156962223	1.0	-6.037940653435881	2.0	-10.893238854252434	1.0	-4.936723516334987	2.0	-10.573991207315258	3.0	-5.977755360265859	1.0	-6.1743982825841055	1.0		0.0	-5.507840272759122	1.0	-11.799581887360777	1.0	-2.0572683755193406	1.0
samp_60	2.7903292441227645	-5.697960538395152	6.455112804395081	-4.437056626282101	1.0	-10.812519796763223	2.0	-8.73631100107585	2.0		0.0	-5.903035644308762	2.0		0.0	-8.016893484228092	2.0	-10.489028464316887	1.0	-11.459200266537696	1.0	-9.592799470676333	1.0	-10.790034781461683	1.0	-9.989178933193173	1.0	-7.769284158705305	1.0		0.0		0.0		0.0	-6.31066603904492	2.0		0.0		0.0	-8.454250697702756	2.0	-4.503465193256838	1.0		0.0	-3.8857760897446934	2.0	-8.060412746524886	2.0	-1.6198147662365343	4.0	-5.318768243984753	2.0		0.0		0.0	-7.745874004382206	2.0	-4.563215019141491	3.0	-5.653986735642199	1.0		0.0	-11.029158450159153	2.0	-11.918265650755497	1.0		0.0		0.0		0.0		0.0	-5.948684938156623	1.0	-6.143613649359119	1.0		0.0	-5.482408738572417	2.0		0.0	-2.038046085555039	1.0
samp_61	2.841557613650062	-5.328309684608569	6.486567438965497		0.0	-10.919198044925395	3.0		0.0	-10.455241489103194	1.0	-6.003064350488726	1.0	-3.749222869535463	3.0		0.0	-10.627226802825968	1.0		0.0	-9.741023623224313	2.0	-10.909528114658587	1.0	-10.140410861531135	2.0	-7.941986217718981	2.0		0.0	-3.309918084959997	2.0	-11.616647665802805	2.0	-6.424166623644847	1.0		0.0	-10.733346139554946	3.0		0.0	-4.569865126806993	3.0	-10.920846292300697	2.0	-3.9464912918165025	1.0		0.0	-1.6821567810567757	1.0	-5.401567850354363	1.0	-5.078437232195331	3.0	-4.8926611487669724	1.0		0.0	-4.630245854190344	1.0		0.0	-3.8550874975572693	2.0		0.0	-12.040491025840359	2.0	-6.110888170762568	1.0		0.0	-4.986641285920324	1.0	-10.62937494583717	1.0		0.0		0.0		0.0		0.0		0.0		0.0
samp_62	2.8196024429592415	-5.691647037921723	6.391516676798174	-4.468348657354744	1.0		0.0	-8.718574631245318	2.0	-10.282204267651274	1.0	-5.931789062411789	1.0	-3.7209013628275986	1.0	-8.010493069552385	1.0	-10.453699654064065	2.0	-11.425215774656095	1.0		0.0		0.0	-9.95578130576491	1.0	-7.767629324701571	1.0		0.0	-3.2837785891329676	2.0	-11.468395558508304	1.0		0.0	-6.828918887277285	3.0	-10.557587778901151	1.0	-8.439047356971091	2.0	-4.534777766901373	2.0	-10.741588888934245	1.0		0.0	-8.053425026507407	1.0		0.0	-5.351229448430681	1.0	-5.034862318201181	1.0	-4.853300315339999	1.0	-7.743848594020349	2.0	-4.594209038402481	1.0	-5.68488118257755	1.0	-3.826578368315101	2.0	-10.999398496278996	3.0		0.0		0.0		0.0		0.0		0.0	-5.975658024248928	1.0	-6.168594232957276	1.0	-4.125121887212055	1.0	-5.512108641549034	1.0	-11.727854440661728	3.0		0.0
samp_63	2.790440521721848	-5.538505933592848	6.369440832851009		0.0	-10.741745616588407	3.0		0.0		0.0	-5.903174813495916	1.0		0.0		0.0	-10.428077267949854	1.0	-11.38726213512176	1.0	-9.544134237568635	1.0	-10.72240651880486	2.0	-9.936414898906312	1.0	-7.754929003041431	1.0	-7.880682132573349	1.0	-3.2530850714679374	3.0		0.0	-6.307325249260162	1.0		0.0		0.0	-8.434749929737427	2.0		0.0	-10.71687569267634	1.0		0.0		0.0	-1.6201634190387155	4.0		0.0	-5.004647210568729	2.0	-4.82299325672895	2.0		0.0	-4.56392959946437	1.0	-5.6555102158926776	1.0		0.0		0.0	-11.848208519761322	1.0	-6.0069877338916795	1.0	-10.78288966377629	2.0	-4.9145274382584665	2.0		0.0	-5.947012211866843	1.0	-6.14074870337442	1.0	-4.094683322746721	4.0	-5.482284512603109	2.0	-11.68770979142974	1.0		0.0
samp_64	2.8504477655761624	-5.69150316249109	6.409118850951418	-4.503339983050707	2.0	-10.82908184753056	1.0	-8.76574538369924	1.0	-10.331872989386934	1.0	-5.972942026995278	2.0	-3.7544958575984073	1.0		0.0		0.0		0.0		0.0	-10.805299278149763	2.0		0.0		0.0		0.0	-3.3172045288301506	2.0		0.0	-6.376618030436081	2.0	-6.872542163526299	1.0	-10.60760423079114	3.0	-8.487220070383703	1.0		0.0	-10.791928097487132	1.0	-3.951287631073488	1.0		0.0	-1.6920923016356304	2.0	-5.389894047895024	1.0	-5.071575558305511	3.0		0.0	-7.7883294185837615	2.0	-4.629506811417213	1.0	-5.725033396124861	1.0	-3.860347579571906	2.0	-11.046980401125545	2.0		0.0	-6.076697907793586	1.0	-10.8704157471314	1.0	-4.98110691013506	3.0	-10.558321970157785	1.0		0.0	-6.21032131059198	1.0		0.0		0.0	-11.776302632797352	2.0		0.0
samp_65	2.7085725403628333	-5.415722757673396	6.693142620386818		0.0		0.0	-8.908974017454566	1.0	-10.516763556524824	2.0	-5.848174420032581	1.0		0.0		0.0	-10.691201314980551	3.0	-11.636869931058689	3.0	-9.78825591239625	1.0		0.0	-10.198204457503923	2.0		0.0		0.0		0.0		0.0		0.0		0.0	-10.798964543147896	2.0	-8.654829794339022	1.0		0.0	-10.988877752801807	2.0	-3.802708239443889	1.0	-8.190930818265839	1.0		0.0	-5.243828477056051	3.0	-4.932949513171835	1.0	-4.741936608841646	1.0		0.0	-4.48567167464607	1.0	-5.588198493131444	1.0	-3.7113532945160266	3.0	-11.178206922864268	2.0	-12.106459844754331	2.0		0.0	-11.021810962556074	1.0	-4.84208776432697	2.0	-10.684032988058119	1.0		0.0	-6.105714750591657	1.0	-4.003901937652143	2.0	-5.417527101239179	1.0	-11.932909227040938	1.0	-1.9428211289211172	1.0
samp_66	2.829543897345935	-5.609590230397184	6.402203950184454	-4.481213849925587	3.0	-10.807811960586806	2.0	-8.755594459081127	2.0	-10.318499094643967	1.0		0.0	-3.7325085043673045	1.0	-8.047008056429888	1.0		0.0	-11.453324266431517	3.0		0.0	-10.7869699456686	1.0	-9.99529779403955	1.0	-7.803866744913686	4.0	-7.930576713166552	1.0		0.0	-11.496895373280172	2.0		0.0		0.0	-10.594220809129544	1.0		0.0	-4.547796861155004	1.0	-10.778861811633472	1.0	-3.9292233170837507	1.0	-8.086570355370137	2.0	-1.667200001601847	1.0	-5.367494772794699	2.0		0.0	-4.867344270785372	3.0		0.0		0.0	-5.703032353274719	2.0		0.0	-11.021710083674774	1.0		0.0		0.0	-10.849044062360086	2.0		0.0		0.0	-5.995371302643159	3.0		0.0		0.0	-5.528967059986206	1.0	-11.75425257561098	1.0		0.0
samp_67	2.7863257380953	-5.288346779660775	6.700236731489696	-4.446006447333497	3.0		0.0	-9.023343458920777	1.0	-10.616177957855776	1.0	-5.960972334196995	1.0		0.0		0.0	-10.79031448690205	1.0	-11.731022996857059	2.0	-9.892327411926455	1.0	-11.067960281716408	1.0		0.0		0.0	-8.165107702592183	1.0	-3.250384350354794	2.0		0.0	-6.404015942023295	3.0		0.0		0.0	-8.787939562242057	3.0		0.0		0.0	-3.888096102012542	4.0	-8.313722061946612	2.0	-1.6158569025587124	4.0		0.0	-5.026349954064724	1.0	-4.834530893598082	2.0	-7.9688277675868315	1.0		0.0	-5.695613248157327	1.0	-3.7964788020105584	2.0		0.0	-12.204332093566382	2.0		0.0		0.0	-4.934277209391096	1.0		0.0	-6.011849285430225	1.0	-6.222105503562242	2.0		0.0	-5.51917445059804	1.0		0.0		0.0
samp_68	2.7098835680612887	-5.6854076886636555	6.568666773992012		0.0	-10.843007463298552	2.0	-8.74402063601343	2.0	-10.353398800589494	1.0	-5.816078226514686	1.0	-3.604730960219001	1.0	-8.001086376943555	2.0		0.0	-11.493374268466667	1.0	-9.620898118240012	1.0		0.0		0.0		0.0	-7.879036144905357	1.0		0.0	-11.537356141570783	1.0		0.0		0.0	-10.63378849989115	2.0	-8.458066275605805	1.0		0.0	-10.821260448995023	2.0		0.0		0.0	-1.5218647113784098	1.0	-5.2280264304440545	2.0	-4.919604736551771	1.0		0.0	-7.720190229596525	3.0		0.0	-5.5643686756080415	1.0	-3.708873875466708	1.0	-11.055031234413379	3.0	-11.95487343072615	1.0	-5.923852346835167	2.0	-10.884537757621782	1.0		0.0	-10.562448972619382	1.0	-5.865258863237743	2.0		0.0	-4.001827455584639	1.0	-5.396330898928754	2.0	-11.793220696037599	3.0	-1.9442822143995087	1.0
