run	log_tbg	log_alphap	log_betap	b2F3_log_P	b2F3_weight	b2F5_log_P	b2F5_weight	b2F6_log_P	b2F6_weight	b2F7_log_P	b2F7_weight	b2F8_log_P	b2F8_weight	b2F9_log_P	b2F9_weight	b2G2_log_P	b2G2_weight	b2G3_log_P	b2G3_weight	b2G4_log_P	b2G4_weight	b2G5_log_P	b2G5_weight	b2G6_log_P	b2G6_weight	b2G7_log_P	b2G7_weight	b2G8_log_P	b2G8_weight	b2H1_log_P	b2H1_weight	b2H3_log_P	b2H3_weight	b2H4_log_P	b2H4_weight	b2H5_log_P	b2H5_weight	b2H7_log_P	b2H7_weight	b2H8_log_P	b2H8_weight	b1I8_log_P	b1I8_weight	b2A1_log_P	b2A1_weight	b2A2_log_P	b2A2_weight	b2A4_log_P	b2A4_weight	b2A5_log_P	b2A5_weight	b2A6_log_P	b2A6_weight	b2A7_log_P	b2A7_weight	b2A8_log_P	b2A8_weight	b2A9_log_P	b2A9_weight	b2B1_log_P	b2B1_weight	b2B2_log_P	b2B2_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight	b2B6_log_P	b2B6_weight	b2B7_log_P	b2B7_weight	b2B9_log_P	b2B9_weight
samp_43	-5.870936211315035	4.705418092708772	-0.05976949728699573	-3.946288008704408	2.0	-2.0925859467055186	1.0		0.0	-5.035903109994473	1.0	-4.970828702335863	1.0	-11.621371968082368	3.0	-10.518108410329	1.0	-5.0380039673328785	1.0		0.0	-6.661752570495449	3.0	-5.101758307715779	3.0		0.0		0.0		0.0	-1.4762850573966453	1.0		0.0	-7.744489698710278	1.0	-6.865901489716765	1.0		0.0		0.0		0.0	-6.4257862622207575	3.0		0.0	-4.664930091135798	1.0	-7.919048855259264	2.0		0.0	-10.464228205990148	1.0	-7.284424516409484	1.0	-4.4981227501539545	2.0	-4.2921765094689	2.0	-0.3469520151351193	2.0	-5.313107362279672	1.0		0.0	-4.697203627708704	1.0		0.0
samp_44	-5.5747907040727	4.75355803709273	-0.10255756551857564		0.0	-2.089013585331799	2.0		0.0	-5.036196833843464	1.0	-4.970787704856921	1.0	-11.708984486958908	1.0	-10.58717147502053	1.0	-5.038560971910542	3.0	-0.5833130667228099	1.0	-6.687458656056114	2.0	-5.103065317801194	2.0	-4.432303817517109	1.0		0.0		0.0		0.0	-6.911866801025244	1.0	-7.790546521346031	3.0	-6.893755259233371	1.0	-4.69964131513399	1.0	-4.880365532583789	2.0	-7.400606506276856	2.0		0.0	-5.353436849272238	1.0		0.0	-7.978121847143511	1.0	-10.385002319579858	4.0	-10.532372617219936	1.0	-7.327637059860837	1.0		0.0	-4.288239339269604	1.0		0.0	-5.316617562646505	1.0		0.0		0.0		0.0
samp_45	-5.569772067387293	4.724856106083025	-0.07489655107829507		0.0	-2.091702329652019	1.0	-12.319148312039728	2.0	-5.041756834427156	2.0	-4.976113978162924	1.0		0.0		0.0	-5.04377607632312	2.0	-0.5842202841775277	2.0	-6.6895553550496905	1.0	-5.107948434181351	1.0		0.0	-4.754321108580901	1.0	-6.652863194942666	1.0	-1.4756829363265385	3.0		0.0		0.0		0.0	-4.703933535163891	2.0		0.0	-7.402713374004199	1.0	-6.446512464287894	2.0	-5.359346935895966	2.0	-4.66827318538974	1.0	-7.979117757784412	1.0		0.0	-10.53242649521882	3.0		0.0		0.0	-4.293825575945411	3.0	-0.3468334473680133	1.0	-5.3206807312587285	1.0		0.0	-4.700770303240893	1.0		0.0
samp_46	-5.406057897814376	4.673974250853814	-0.04480993051405702	-3.9549287337047883	1.0	-2.095536789468343	3.0		0.0		0.0		0.0		0.0		0.0		0.0	-0.5852986708847066	2.0		0.0	-5.11252973047404	2.0	-4.4456610250672925	1.0	-4.759382228489681	2.0		0.0		0.0		0.0	-7.803185918498979	1.0		0.0	-4.70707614427968	1.0		0.0	-7.428301395155923	1.0		0.0	-5.367066935066834	1.0	-4.674141681373437	1.0		0.0	-10.396506294131468	4.0	-10.543501074122778	2.0	-7.3438598104043145	2.0	-4.505874231713375	1.0	-4.299774065812525	1.0	-0.34768345006547735	2.0	-5.323931144033352	2.0	-5.003634613005187	1.0		0.0	-10.17413638467551	4.0
samp_47	-5.638976557059547	4.6699320328879175	-0.04273990625305737	-3.9520286018031747	2.0		0.0		0.0		0.0		0.0	-11.666170184137956	2.0	-10.550495408661368	3.0		0.0	-0.5851066594667449	2.0	-6.67332117673616	1.0	-5.105179525174122	1.0	-4.441208655732325	1.0		0.0	-6.6374452506313	2.0	-1.4779810182554705	1.0	-6.8960169697391205	1.0	-7.766430839439768	1.0	-6.877743861039263	1.0		0.0	-4.883864142849671	1.0	-7.374724823893746	2.0	-6.432880139052196	3.0	-5.356344548591023	1.0	-4.668871712837586	1.0		0.0		0.0	-10.49605174382181	2.0		0.0	-4.501457442623939	3.0		0.0		0.0	-5.315774743824218	1.0		0.0	-4.700162097055578	2.0	-10.120512763498429	1.0
samp_48	-5.6912824923532135	4.397431162432818	0.0743635687819263		0.0		0.0		0.0	-5.015229106903554	1.0	-4.94985228415836	4.0	-11.499493811191977	2.0	-10.383951269524614	2.0	-5.014577953663038	1.0	-0.5895557269222619	3.0		0.0	-5.0745414412230545	1.0	-4.438148262630687	2.0	-4.734729101215318	1.0	-6.560262710653212	1.0	-1.4901484051336507	1.0	-6.812357553724126	1.0	-7.6598004926216205	1.0		0.0		0.0	-4.8594046762296	2.0	-7.271329853579857	3.0		0.0		0.0		0.0		0.0		0.0	-10.330352229863822	1.0	-7.209416127661741	2.0	-4.48942473905587	1.0	-4.29231566427047	2.0	-0.350673118045202	1.0		0.0	-4.973247907903698	1.0		0.0	-9.949520425472116	1.0
samp_49	-5.43314333820395	4.8956160399059625	-0.1307396038893828	-3.940746097430934	1.0	-2.085869004505217	2.0	-12.519681749143986	1.0	-5.062820952686619	1.0	-4.996816491950696	1.0		0.0	-10.727564100685957	2.0	-5.066328802362826	1.0	-0.5835159404603697	1.0	-6.7615482484975225	1.0	-5.1330703341989885	1.0		0.0	-4.77083585330944	2.0		0.0	-1.471835993611521	2.0	-6.989191166151646	1.0	-7.892402276783041	1.0	-6.972234632635506	1.0	-4.72396638295738	2.0	-4.9056542870716635	1.0	-7.511837631566202	1.0		0.0		0.0		0.0	-8.092099261291006	2.0	-10.525157579747889	2.0	-10.671749731132017	1.0		0.0	-4.5124327076989905	2.0		0.0	-0.34667404293820997	1.0		0.0	-5.01740040756906	1.0		0.0	-10.304024075307087	3.0
samp_50	-5.602295430851065	4.609650091165868	0.04577147168792161		0.0	-2.1047008186009823	1.0	-12.306439152056639	1.0	-5.066823459143642	1.0	-5.000392646330257	2.0	-11.704878195275855	1.0	-10.58645393830062	1.0		0.0	-0.5886024315877761	2.0		0.0	-5.130320133869787	2.0	-4.467665536530351	2.0		0.0	-6.660981513871975	1.0		0.0	-6.919405132749848	2.0	-7.793377917854404	2.0	-6.901860364556816	2.0	-4.724542084179608	4.0		0.0	-7.406007851497339	2.0		0.0		0.0		0.0	-7.979862619118207	1.0	-10.384339708227381	1.0		0.0	-7.333040513802824	2.0	-4.525619102194695	1.0	-4.320227384719992	1.0	-0.35054168116665796	1.0	-5.339546922582812	1.0		0.0		0.0	-10.158292201333499	1.0
samp_51	-5.461478404569502	4.674336190234591	-0.015746513909271148	-3.9636222173116833	2.0	-2.0979942471213593	1.0		0.0	-5.059661250826468	2.0	-4.993235695445066	1.0		0.0		0.0	-5.060888537342212	2.0	-0.5863964837017223	3.0	-6.710002789542211	2.0	-5.1245920504061475	1.0		0.0	-4.770636032360391	2.0	-6.67140004633323	1.0		0.0	-6.932098593146404	2.0		0.0	-6.915423301630944	1.0	-4.717948403595271	1.0		0.0	-7.437047019045593	1.0	-6.463976029468751	2.0	-5.3796778918883215	1.0		0.0		0.0	-10.415075620134827	1.0	-10.56199139670845	3.0	-7.354965002484782	1.0	-4.516320089621568	2.0		0.0	-0.3487313999013267	1.0	-5.336238846031769	1.0		0.0		0.0	-10.192195468042973	1.0
samp_52	-5.54549236382628	5.009264929912938	-0.22132029504561176	-3.9197635738147776	1.0	-2.0787029545608067	2.0		0.0		0.0	-4.978896242979176	2.0	-11.85184492798835	1.0	-10.729006493400494	4.0		0.0		0.0		0.0		0.0	-4.424169224694856	1.0	-4.7537400665602645	1.0		0.0	-1.4671722294371667	2.0	-6.983124496866705	1.0	-7.886090943852023	2.0		0.0	-4.711265681838804	2.0	-4.889458021340842	1.0	-7.491830528213479	1.0	-6.502043433509138	1.0	-5.363688371061113	1.0	-4.662598822534522	3.0	-8.082143352095278	1.0		0.0	-10.673658303587795	1.0	-7.412370074238906	1.0		0.0	-4.2831433993744135	1.0		0.0	-5.340137725708564	1.0	-4.997881151488074	2.0	-4.701787084635118	1.0	-10.304014762847457	1.0
