run	log_tbg	log_alphap	log_betap	b3D3_log_P	b3D3_weight	b7G5_log_P	b7G5_weight	b7G6_log_P	b7G6_weight	b7G7_log_P	b7G7_weight	b7G8_log_P	b7G8_weight	b7G9_log_P	b7G9_weight	b7H1_log_P	b7H1_weight	b7H2_log_P	b7H2_weight	b7H3_log_P	b7H3_weight	b7H4_log_P	b7H4_weight	b7H5_log_P	b7H5_weight	b7H6_log_P	b7H6_weight	b7H7_log_P	b7H7_weight	b7H8_log_P	b7H8_weight	b7H9_log_P	b7H9_weight	b7I1_log_P	b7I1_weight	b7I2_log_P	b7I2_weight	b7I3_log_P	b7I3_weight	b7I4_log_P	b7I4_weight	b7I5_log_P	b7I5_weight	b7I7_log_P	b7I7_weight	b7I8_log_P	b7I8_weight	b7I9_log_P	b7I9_weight
samp_32	-6.3593686306710895	4.334297446030167	-0.14279753412999988		0.0		0.0	-9.400467254539848	2.0		0.0	-5.117625550807056	3.0		0.0	-3.064184347460329	2.0	-4.969818579351803	1.0		0.0	-4.1069445842299	1.0	-2.5531663240604874	3.0		0.0	-6.573802246241753	1.0	-5.932797575212238	1.0	-5.496537094123007	2.0	-11.7151883463339	1.0	-3.905402615042651	1.0	-1.5720440127014985	2.0	-8.211106511307957	1.0	-4.036743440841591	1.0	-8.82922528349677	1.0		0.0		0.0
samp_33	-6.597462841210519	3.4739927286819974	0.21687325550887465	-4.570051453974904	1.0	-9.844963357422811	1.0	-8.935240065862645	2.0	-5.09741377044075	1.0		0.0		0.0	-3.1344265149684065	1.0	-4.827806739424684	3.0	-0.08432708259274244	3.0	-4.043105899171584	1.0		0.0		0.0	-6.332449752786404	1.0	-5.725455145119924	2.0		0.0		0.0	-3.8294316199878167	2.0		0.0	-7.877231094193231	1.0	-3.988849050239321	1.0		0.0	-10.838331942767567	1.0	-7.471164330751029	2.0
samp_34	-6.561104294849919	4.0369425473953	0.02327178034818686	-4.662656735935066	1.0		0.0	-9.231949405950704	1.0	-5.226956876086232	2.0		0.0	-2.416735142687438	1.0	-3.1016600511146204	1.0	-4.948398704553632	3.0	-0.0659314858425645	1.0	-4.111493439999254	1.0		0.0	-4.101403862407118	2.0	-6.509786324059389	1.0		0.0		0.0	-11.531157852906144	1.0	-3.9019561459879544	2.0		0.0	-8.101862646793698	1.0	-4.047068390284453	3.0	-8.703894493146992	2.0		0.0		0.0
samp_35	-7.4848109093948025	3.4810430904337797	0.09181840674524899	-4.508553718412093	5.0		0.0		0.0		0.0	-4.902953349654246	1.0	-2.403982909742355	2.0		0.0		0.0	-0.06914127878925526	1.0		0.0	-2.5639066824563583	2.0	-3.988263801854167	1.0		0.0	-5.6584909017592935	1.0	-5.248665312974971	1.0	-10.729543397888982	1.0		0.0	-1.6038942294833785	2.0		0.0	-3.932436529145756	1.0	-8.313989262690793	1.0	-10.606159832552205	2.0	-7.3325423822608276	2.0
samp_36	-6.277836459728852	4.163135362476472	-0.04891775085735994	-4.66612834133974	2.0		0.0	-9.356104777677361	2.0	-5.241296025698212	1.0		0.0		0.0		0.0	-4.959875449683921	4.0	-0.062303220350525795	1.0	-4.11074680395583	3.0		0.0	-4.096864191612663	1.0	-6.54411023567248	3.0	-5.909304364494829	1.0	-5.477214770257929	1.0		0.0		0.0	-1.5809560020108542	1.0		0.0	-4.043845464960961	1.0	-8.787170679831092	2.0		0.0		0.0
samp_37	-4.9583818343441095	3.9722314841150403	0.02385815549016384	-4.673494872467822	1.0	-10.800942434591247	1.0	-9.50676176417958	1.0	-5.2460897281631285	1.0	-5.1038270484005555	2.0	-2.419605983067183	3.0	-3.109139266132277	1.0	-4.957079302543824	1.0	-0.06713866896053977	1.0	-4.113712895403644	2.0		0.0	-4.106830155425431	1.0	-6.5849276425925884	1.0	-5.923134189357699	1.0	-5.475134975772811	1.0		0.0	-3.899779214602091	1.0	-1.5927745664795363	1.0		0.0		0.0		0.0		0.0	-8.205321626687468	3.0
samp_38	-6.982983970161112	3.7439466213487855	0.0746496222725408	-4.5935161339584365	2.0		0.0	-8.946759558493829	2.0	-5.135168558387296	2.0		0.0	-2.4161353574912643	1.0		0.0	-4.863250314861417	3.0	-0.06854107986237583	1.0		0.0		0.0		0.0	-6.383834248163042	1.0	-5.773229995982053	1.0	-5.356623808925545	1.0	-11.167039346181864	1.0	-3.847723748133614	1.0	-1.5989939996217881	2.0	-7.92053401872305	1.0	-3.9993960901064676	2.0		0.0	-10.892454952502653	1.0	-7.498865059349441	1.0
samp_39	-5.7453630493938865	4.064895912215421	0.021341954715592085	-4.679898023615282	2.0	-10.61399139750061	2.0	-9.459395525074296	1.0		0.0	-5.113750106193456	2.0	-2.4186995774301483	2.0		0.0	-4.968117114110423	3.0		0.0	-4.1227241498773735	2.0		0.0	-4.112470241333227	2.0	-6.563009377798636	2.0		0.0		0.0		0.0	-3.9117895933652953	1.0		0.0		0.0		0.0	-8.84913881807838	3.0		0.0	-7.941118806664514	1.0
samp_40	-7.262887719039494	3.6554501747860066	0.10523557056821001	-4.577353247817645	1.0	-9.574272670332345	1.0	-8.858000533823652	1.0	-5.113136367271799	1.0	-4.981137950118159	1.0		0.0	-3.107575138357373	1.0		0.0	-0.0711725864323325	2.0		0.0		0.0	-4.0446088093577	1.0	-6.35263573713378	2.0	-5.746137441854275	1.0	-5.332145015092969	3.0	-11.008976318187948	1.0		0.0		0.0	-7.871749580626401	1.0		0.0	-8.43543205841708	2.0	-10.799135382067417	3.0	-7.445025787548715	1.0
samp_41	-6.7965442721380365	3.784216944504173	0.06586262067787123	-4.603466330295378	1.0	-9.907849554824793	2.0	-9.008872782082719	1.0		0.0		0.0	-2.416131508307498	2.0	-3.1036211718806674	1.0	-4.875227778572422	1.0	-0.067972110947164	2.0	-4.065927322595804	3.0	-2.576384497739768	2.0		0.0		0.0	-5.789096494030148	2.0		0.0		0.0		0.0		0.0	-7.952671464836171	1.0	-4.006357374841938	1.0	-8.534213613408587	2.0	-10.945467695270484	2.0		0.0
