run	log_F	b5B8_log_P	b5B8_weight	b5D1_log_P	b5D1_weight	b5F5_log_P	b5F5_weight	b5H1_log_P	b5H1_weight	b5H5_log_P	b5H5_weight	b5H7_log_P	b5H7_weight
samp_38	1.8332726919947944	-3.830203562818234	1.0	-7.544814723162555	2.0	-6.538937077544119	2.0	-2.5929464867252126	1.0		0.0		0.0
samp_39	2.2350539832161083		0.0	-7.544254952527953	1.0	-6.433440279971351	1.0	-2.405402450330044	1.0	-6.5143978202472175	2.0	-1.9918107050570284	1.0
samp_40	1.8489156909399203	-3.8236367809116154	1.0	-7.544243681938767	1.0	-6.534497048280744	1.0		0.0	-6.623163935272954	1.0	-2.1803100848623234	2.0
samp_41	1.6729579863810644	-3.896820015623309	3.0		0.0		0.0		0.0	-6.6772556464735615	1.0	-2.2614748123060844	2.0
samp_42	1.9888473245596594	-3.764365670532522	1.0	-7.541201875930376	2.0		0.0	-2.521775747136864	1.0	-6.581988256460191	2.0		0.0
samp_43	1.6934540812653711	-3.888379985127643	1.0	-7.551948880712946	1.0		0.0	-2.6552495147395803	2.0		0.0	-2.252177049473304	2.0
samp_44	1.5303310592168964	-3.9548670344793715	3.0	-7.564906291154195	2.0		0.0		0.0	-6.722591521484964	1.0		0.0
samp_45	2.092802086038112		0.0	-7.541246401559105	2.0	-6.468626673103558	1.0	-2.4731846742271415	2.0	-6.552631465734895	1.0		0.0
samp_46	1.4682578915976454	-3.979731864379156	1.0	-7.571103382705151	2.0		0.0		0.0		0.0	-2.3520033993692735	3.0
samp_47	1.737234061470583	-3.870274257158911	2.0	-7.54931582058466	2.0	-6.566622375316744	1.0		0.0	-6.657234710433957	1.0		0.0
samp_48	1.369828144424367	-4.018621203273509	2.0	-7.582283064556232	3.0		0.0	-2.7929568528634685	1.0		0.0		0.0
samp_49	1.8489156909399203	-3.8236367809116154	1.0	-7.544243681938767	1.0	-6.534497048280744	1.0		0.0	-6.623163935272954	1.0	-2.1803100848623234	2.0
samp_50	1.8652640109328291	-3.8167565309455447	1.0	-7.543700024209403	1.0	-6.5298959100675615	2.0	-2.5784671689237646	1.0		0.0	-2.172613061456346	1.0
samp_51	1.8490449036264862	-3.8235802101715826	2.0	-7.544238932040335	1.0		0.0		0.0	-6.623132241088883	2.0	-2.1802479384475317	1.0
samp_52	1.5889158768313727	-3.9311728540847666	1.0	-7.559689057698928	2.0	-6.610782698826589	1.0		0.0		0.0	-2.2991589555200247	2.0
samp_53	1.985035768608065	-3.7659923444434518	1.0		0.0		0.0	-2.5235416133252926	1.0	-6.583085967595473	2.0	-2.115465827371992	2.0
samp_54	2.246337389875821		0.0		0.0	-6.430764228067314	1.0	-2.39996237245536	2.0	-6.5114682807960005	2.0	-1.9860926296484853	1.0
samp_55	2.3883276049986364		0.0	-7.550860459483838	3.0	-6.39865354987702	1.0		0.0	-6.475997289023258	2.0		0.0
samp_56	2.115690299650746		0.0	-7.541506518527282	3.0		0.0	-2.462378107379551	1.0	-6.54632261775363	2.0		0.0
samp_57	1.8051744235577467	-3.841975998431095	2.0	-7.5459482667493285	1.0	-6.5469542052888325	2.0	-2.605594963911667	1.0		0.0		0.0
samp_58	1.7381929422951594	-3.8698753314522754	2.0	-7.549263243798498	1.0		0.0	-2.635491059371333	1.0	-6.6569383073384705	1.0	-2.2317374266858567	1.0
samp_59	3.1138933673297355		0.0	-7.6081744196692105	1.0	-6.286836612676531	1.0		0.0	-6.341175316323775	4.0		0.0
samp_60	2.3578886399043806		0.0		0.0	-6.40528875587466	2.0	-2.345705648699876	1.0	-6.4833800206180365	2.0	-1.9289141417922449	1.0
samp_61	1.777682897407779	-3.8534553219794305	2.0		0.0		0.0	-2.6179089606072394	1.0	-6.644786337888287	1.0	-2.213532202655395	2.0
samp_62	2.1151690093009536		0.0	-7.541500069963434	2.0	-6.462922220344345	2.0		0.0	-6.5464654757414475	1.0	-2.0518345216677116	1.0
samp_63	2.050397584681182		0.0	-7.540998388894226	1.0		0.0	-2.493103580350744	1.0	-6.564469727370891	2.0	-2.08370402922999	2.0
samp_64	2.4069591439909237		0.0	-7.551870889920546	1.0	-6.394663216796847	3.0	-2.3215619342073137	1.0	-6.471541742449468	1.0		0.0
samp_65	1.997963201700794		0.0	-7.5411284454169305	3.0	-6.4934739646714235	1.0	-2.5175471956750255	1.0	-6.579371673258589	1.0		0.0
samp_66	2.369963534865158	-3.5992852720894266	1.0	-7.549905626692344	1.0	-6.402637799206093	1.0		0.0	-6.480435274691214	3.0		0.0
samp_67	2.1205315728386442	-3.7078621631490067	1.0		0.0	-6.46156351823861	1.0	-2.460087306882727	1.0	-6.5449954022476575	2.0	-2.049178332180488	1.0
samp_68	1.4359825107421846	-3.992557229393475	3.0	-7.5745912113565925	2.0		0.0	-2.765586082620939	1.0		0.0		0.0
samp_69	2.013946034847617	-3.7536488144287485	1.0	-7.541035787172927	2.0	-6.489214702868986	2.0		0.0	-6.574798995669258	1.0		0.0
samp_70	2.1865813333011754	-3.6792895886898824	1.0		0.0	-6.445132960106281	1.0	-2.428663963879508	2.0	-6.527159580894403	2.0		0.0
samp_71	1.8338412293995978	-3.8299586137014394	1.0	-7.544785032373615	2.0		0.0	-2.5926865364438245	2.0	-6.62773554752549	1.0		0.0
samp_72	2.2354988119504324		0.0		0.0	-6.433334546999146	4.0	-2.4051870283843866	1.0		0.0	-1.991584874765075	1.0
samp_73	1.8234618399294398	-3.8343188741172316	1.0		0.0		0.0	-2.59736872306924	1.0	-6.630850796372381	1.0	-2.1922365397553913	3.0
samp_74	2.0501709154354475	-3.7381346400685223	2.0		0.0		0.0		0.0	-6.564533502977157	3.0	-2.0838156771863434	1.0
