run	log_F	b5H1_log_P	b5H1_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
fit	-17.223992998471438	-2.2998130357642514	1.0	-0.8569050986951059	1.0	-4.405836078925999	1.0	-5.080892199065369	1.0	-1.9350574903033506	1.0	-2.538185752336452	1.0	-0.9235826203564496	1.0	-4.848857070588919	1.0
samp_00	-18.26172972375705	-2.2998198476187626	1.0		0.0	-4.405845335071342	4.0		0.0	-1.9350624358017516	2.0		0.0		0.0	-4.848837048078642	1.0
samp_01	-1.3457804841822048	-2.1800170224454116	2.0	-0.7239770184534884	2.0		0.0	-4.963622425832215	2.0	-1.8119406061896741	1.0	-2.419454107416106	1.0		0.0		0.0
samp_02	-15.861831257492033	-2.299810617340665	1.0		0.0		0.0	-5.080781060584553	1.0	-1.9350720653309694	3.0		0.0	-0.9236881243031619	2.0	-4.8488861977353075	1.0
samp_03	-19.73457306158181	-2.2998175324710584	3.0		0.0		0.0	-5.0810244733324055	1.0	-1.9351182117714145	2.0		0.0	-0.9235935491314428	1.0	-4.848658237130633	1.0
samp_04	-17.00774872702123	-2.2998061058517387	2.0		0.0	-4.405863709358593	1.0	-5.080888969639679	1.0	-1.935096499992286	1.0	-2.5382233461089663	3.0		0.0		0.0
samp_05	-16.73789228910562	-2.2998178040941233	1.0	-0.8569059932943741	1.0		0.0	-5.080894328129021	1.0	-1.935067494564957	1.0	-2.5381979123184943	2.0	-0.9235974733249559	1.0	-4.848862179773294	1.0
samp_06	-18.340724541104674	-2.2998011238078577	3.0	-0.8569182306181184	3.0	-4.405847906460829	2.0		0.0		0.0		0.0		0.0		0.0
samp_07	-18.863269782915058	-2.299769987336878	1.0	-0.8569328082873712	1.0	-4.405929386464118	2.0		0.0	-1.9350699854206657	1.0	-2.538177531740921	1.0	-0.9235676109983809	2.0		0.0
samp_08	-19.02022782872961	-2.2997940186511645	4.0	-0.8569237662478535	1.0	-4.405878332991816	1.0		0.0		0.0	-2.5381034579132558	1.0		0.0	-4.84891478127577	1.0
samp_09	-18.14419836239233		0.0	-0.8568990464778341	1.0	-4.405838793326369	1.0	-5.080909986924576	1.0	-1.9350684391978334	2.0	-2.5381401938337627	1.0	-0.9235930460617361	1.0	-4.848887535035855	1.0
samp_10	-15.942231017979852		0.0	-0.856914946141835	1.0	-4.4058799496740795	1.0	-5.080907280500055	1.0	-1.935015672862017	1.0	-2.538176384958923	1.0	-0.9235944873582755	2.0	-4.848876126517266	1.0
samp_11	-18.345001411346676	-2.2998020826625005	1.0	-0.8568979152024075	1.0	-4.405849711640698	2.0		0.0	-1.935090921809642	2.0	-2.538173350271501	1.0		0.0	-4.84887676618745	1.0
samp_12	-1.2096504165509205	-2.1643863094530738	2.0	-0.7060302099473162	1.0	-4.275322989587688	1.0	-4.948629062681923	2.0		0.0		0.0	-0.7719718508230107	1.0	-4.718850428386611	1.0
samp_13	-18.0644376110199	-2.2998101026034306	1.0		0.0		0.0		0.0	-1.9350673296826966	1.0	-2.538190239493211	3.0	-0.9235988013435443	1.0	-4.84886816349656	2.0
samp_14	-22.472634546914072		0.0	-0.8569007554494473	2.0	-4.405847326606449	3.0		0.0	-1.9350642406594303	2.0	-2.5381783069475694	1.0		0.0		0.0
samp_15	-18.37099558221323	-2.299814341146858	1.0		0.0	-4.405846163897345	1.0	-5.080900541253342	1.0	-1.9350626679671266	1.0		0.0	-0.9235987256629071	2.0	-4.848879680620333	2.0
samp_16	-19.646699736121548	-2.2998122374428847	1.0	-0.8569028549450463	1.0	-4.405845778053602	1.0		0.0		0.0	-2.538180470921751	1.0	-0.9235972744693313	2.0	-4.848879826665695	2.0
samp_17	-1.2413437753908239	-2.1681803812925913	2.0		0.0	-4.278922954640829	2.0	-4.952263937891371	2.0		0.0		0.0	-0.7763648486480828	1.0	-4.72242767844577	1.0
samp_18	-1.0979126578568668		0.0	-0.6895949657679058	2.0	-4.261920283544963	1.0	-4.935103355352378	2.0		0.0	-2.390027511702793	1.0	-0.7555342332680415	1.0	-4.705538493791912	1.0
samp_19	-16.831162937332504	-2.2998227206480495	2.0	-0.8569278361078599	1.0		0.0	-5.0808837997697385	1.0		0.0	-2.5381809204532053	2.0	-0.9235882649109111	1.0	-4.848886175638322	1.0
samp_20	-0.30147193988467813		0.0	-0.5167647429827664	1.0		0.0	-4.8013865045892725	3.0	-1.6313905206455974	2.0	-2.2490638141617696	1.0	-0.5826271688566469	1.0		0.0
samp_21	-18.634591100993376		0.0	-0.856897699109637	4.0		0.0		0.0	-1.9350848190054342	1.0	-2.538206752497375	1.0		0.0	-4.848865597937248	2.0
samp_22	-18.184946026831348	-2.299825749131228	2.0	-0.8569082332869558	1.0		0.0		0.0	-1.935058360130072	3.0	-2.538165578086421	1.0	-0.9236045051022842	1.0		0.0
samp_23	-15.597721262529314	-2.299807393560241	1.0	-0.8569113290780057	2.0	-4.405854061835502	2.0	-5.080895102488556	1.0		0.0		0.0	-0.9235981442601936	1.0	-4.848886811009343	1.0
samp_24	-0.08677583878131179	-1.9531840709576749	1.0		0.0		0.0	-4.752834226649363	3.0		0.0		0.0	-0.5148978012019018	4.0		0.0
samp_25	-21.422597459268854	-2.2998146429359596	1.0		0.0	-4.405892148288219	1.0		0.0	-1.9350779751117735	2.0		0.0	-0.9235817627173183	1.0	-4.848892889023637	3.0
samp_26	-1.623577197121963	-2.206947878856296	1.0	-0.7546028198267475	1.0	-4.315854076930413	1.0	-4.989608599627884	2.0	-1.8397425309289293	3.0		0.0		0.0		0.0
samp_27	-16.86265031527955	-2.2998489667282804	2.0		0.0	-4.405881078191895	1.0	-5.080911255274731	1.0	-1.9350969357946985	2.0	-2.5381743124604945	1.0	-0.9235133222096016	1.0		0.0
samp_28	-18.20497367834979		0.0		0.0	-4.405843660578556	1.0		0.0	-1.9350658733527861	1.0	-2.5381720682981097	4.0	-0.9236004867591164	1.0	-4.848896147309636	1.0
samp_29	-16.808544818142373	-2.2998313253855285	1.0	-0.856921845976604	2.0		0.0	-5.080890336388824	1.0	-1.935060315171724	1.0	-2.5381882144993355	1.0	-0.9236123984438874	1.0	-4.848887659496856	1.0
samp_30	-19.96836711323039	-2.299852674762658	1.0	-0.8568852441035538	1.0	-4.4058533695048325	1.0		0.0	-1.935067719565029	3.0	-2.5380419030147627	1.0		0.0	-4.848890472479798	1.0
samp_31	-1.4520626305296005	-2.191060357006256	1.0	-0.7366185215210428	1.0	-4.30067790793542	1.0	-4.974272988252796	2.0	-1.823352389816302	2.0		0.0	-0.8026736590827119	1.0		0.0
samp_32	-16.340758216672473		0.0	-0.8569128759648291	1.0	-4.405829292502848	2.0	-5.0809095316035755	1.0	-1.9350620497652744	2.0	-2.5381625624084516	1.0		0.0	-4.848865301379574	1.0
samp_33	-19.60570037328112	-2.299813508266959	1.0	-0.8569072230577328	3.0	-4.405845281790224	1.0		0.0		0.0	-2.5381818669710707	2.0		0.0	-4.848879116849216	1.0
samp_34	-15.648212496458386	-2.2998071726601297	1.0	-0.8569228429856274	4.0	-4.405861683735956	1.0	-5.08090829660848	1.0		0.0		0.0	-0.9235984675183075	1.0		0.0
samp_35	-19.08050072250713	-2.2998123493008538	1.0		0.0	-4.405845426698847	2.0	-5.080900804390201	1.0	-1.9350648772040941	2.0	-2.5381802680430945	2.0		0.0		0.0
samp_36	-17.799795071958087	-2.2998126781714414	3.0	-0.8569149583429522	1.0		0.0		0.0		0.0		0.0	-0.923600135123542	1.0	-4.848880054217122	3.0
samp_37	-1.3179532592805554		0.0	-0.7204856400503318	1.0		0.0	-4.960691110760036	2.0	-1.8087812469039868	1.0	-2.4164306186014066	1.0	-0.786481165766256	1.0	-4.730718604592072	2.0
samp_38	-18.37542948917413	-2.2998093155334782	1.0	-0.8569219532744994	1.0	-4.405843730572879	1.0	-5.080886602385628	1.0	-1.935061702221069	3.0		0.0		0.0	-4.848881617428965	1.0
samp_39	-18.95619351422171	-2.2998116205265116	1.0		0.0	-4.40584662601565	2.0		0.0	-1.9350647479935503	1.0	-2.538181128774777	2.0		0.0	-4.8488792511895165	2.0
samp_40	-16.03983377930085		0.0		0.0	-4.405842534063704	1.0	-5.080904792329127	1.0		0.0	-2.538186626647287	1.0	-0.9235885107521792	3.0	-4.848866080910808	2.0
samp_41	-19.621295624139236		0.0	-0.8569063830795043	3.0	-4.405844853052959	1.0		0.0	-1.9350630570378498	1.0		0.0	-0.9235971483442953	2.0	-4.8488804195245345	1.0
samp_42	-1.3843804002906577	-2.1841415638555666	1.0		0.0		0.0	-4.967590480347916	2.0	-1.8161989348866694	1.0		0.0	-0.79473322481571	2.0	-4.737509898447511	2.0
