run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight
fit	-2.7147009458461366	-5.0585342442251005	1.0	-2.42945145928784	1.0	-4.915884731413144	1.0	-4.640370341172059	1.0	-0.6082777452170546	1.0	-4.874218721201816	1.0	-4.807799525628832	1.0	-5.225270230772651	1.0	-1.7731089242107345	1.0	-4.131092053546981	1.0	-4.635767184574669	1.0	-7.607698583719626	1.0	-4.7227966205172525	1.0	-0.30153408389379716	1.0	-3.9973750416810994	1.0	-4.431595339433885	1.0	-5.02656234872414	1.0	-6.141494933204638	1.0
samp_00	-2.6365472940271664		0.0		0.0	-4.947049097576541	1.0		0.0	-0.6125151628822522	1.0	-4.905304757556577	2.0	-4.838674511950117	2.0		0.0	-1.7779414783653373	1.0		0.0	-4.666094187717853	4.0	-7.648183728336851	1.0		0.0		0.0	-4.026678196923572	1.0	-4.461979725012683	4.0	-5.05812031087142	1.0		0.0
samp_01	-2.709522786139444		0.0		0.0	-4.917945563671839	2.0		0.0	-0.6085867387459207	2.0	-4.876269235238867	2.0		0.0	-5.227376152661839	2.0		0.0	-4.132984960051993	1.0	-4.637775988188171	2.0	-7.610358052477023	1.0	-4.724844669295118	1.0	-0.30197969826988963	2.0		0.0	-4.433608229735517	1.0	-5.02865049633029	1.0	-6.143729683084393	1.0
samp_02	-2.5719335681187987	-5.116200777424477	1.0		0.0	-4.972873958413097	2.0		0.0		0.0	-4.9310652860093445	1.0	-4.864250557944861	3.0		0.0	-1.7809806512855773	1.0	-4.183175976759246	1.0		0.0	-7.682206450707907	2.0	-4.779339947726614	2.0	-0.31291164317815157	1.0	-4.050856910949	1.0	-4.487114474649145	1.0	-5.084288778109905	2.0		0.0
samp_03	-2.6684787577829483		0.0	-2.4376220405004756	2.0	-4.934301991307715	1.0		0.0	-0.6108712956293919	1.0		0.0	-4.826048567861943	2.0		0.0	-1.7761138886553396	1.0		0.0	-4.653694621163177	2.0		0.0	-4.741077408935488	1.0	-0.30544109537960884	3.0	-4.014713328810251	2.0	-4.449562560948125	1.0	-5.045211106041695	1.0	-6.161416581972526	1.0
samp_04	-2.3158842488257765		0.0		0.0		0.0		0.0	-0.6236072779260613	2.0		0.0	-4.965656900396532	1.0		0.0	-1.7844827615366452	2.0	-4.275416720020944	2.0		0.0		0.0	-4.880853955536027	3.0	-0.32860160486776946	1.0	-4.145779239456614	2.0		0.0	-5.188346178101677	4.0	-6.316355955255097	1.0
samp_05	-2.6766998345232826	-5.073845286691439	3.0	-2.4362014928492735	1.0	-4.931024078715104	2.0		0.0	-0.6104237238473063	1.0		0.0	-4.822802438368023	2.0		0.0		0.0	-4.144991716235207	1.0	-4.650498241335761	1.0	-7.627285491817656	2.0		0.0		0.0	-4.011630443313505	1.0	-4.446366451058407	2.0		0.0	-6.157869781360039	2.0
samp_06	-2.9197328018813495	-4.976574775890307	2.0	-2.389381577947566	2.0	-4.834768032384392	3.0	-4.560907060363032	1.0		0.0		0.0	-4.7273423392324005	3.0	-5.142333902236091	1.0		0.0	-4.056063411313132	1.0	-4.556596390372651	1.0	-7.505152364821476	1.0		0.0		0.0	-3.920437699064004	3.0		0.0		0.0		0.0
samp_07	-2.5279636727039905	-5.134018442601456	1.0	-2.4602088718363615	1.0		0.0	-4.713164210869533	1.0	-0.617332528256949	1.0		0.0	-4.881669801774313	2.0	-5.301803697502798	2.0		0.0		0.0		0.0	-7.7056511667495045	3.0		0.0	-0.3160082886547005	2.0	-4.067268131588865	3.0	-4.504211335187833	1.0	-5.102127029436221	1.0		0.0
samp_08	-2.3308309376054384	-5.214086672021047	1.0		0.0		0.0	-4.789919740979439	1.0	-0.6232823363083422	1.0		0.0		0.0		0.0	-1.7846659891660677	2.0	-4.2700923981704575	1.0		0.0	-7.813539660900078	2.0	-4.874941868380774	2.0	-0.32783053283587754	2.0	-4.140297100445934	1.0	-4.580650661907977	1.0	-5.182266662570132	1.0	-6.309702020033095	3.0
