run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight
samp_16	-1.4576600334186218	-4.937314000476414	3.0		0.0		0.0		0.0	-0.631252975638828	1.0	-4.633216879658849	1.0	-4.749916407492086	1.0	-5.07453949064641	2.0		0.0	-4.115993036268834	2.0	-4.526279540901535	2.0	-7.324174005577263	2.0		0.0	-0.3507249905405651	1.0		0.0
samp_17	-1.5065149648510197	-4.920248097746581	1.0	-2.3211956282610657	1.0	-4.763322674262381	1.0	-4.555661030171073	1.0	-0.6320586157348839	1.0	-4.616729548080819	1.0	-4.73352561974291	2.0	-5.057110980940665	1.0	-1.6347248499295584	1.0	-4.10267250787263	2.0	-4.510746695929419	1.0		0.0	-4.630977685863322	1.0		0.0	-4.914149959637509	1.0
samp_18	-0.9739546230206785	-5.095047133755411	1.0		0.0	-4.932682066944228	1.0		0.0	-0.6230265632789002	2.0		0.0	-4.900147199539532	2.0	-5.236337386336198	1.0		0.0	-4.231605843875393	1.0		0.0	-7.545587974968069	1.0	-4.802121631809006	5.0		0.0	-5.0953410352298665	1.0
samp_19	-1.468776584560989	-4.933446401966638	1.0	-2.320419558265807	2.0		0.0	-4.567934763955356	1.0		0.0	-4.629476478773835	1.0		0.0	-5.070590157795182	1.0	-1.6324295612930457	3.0	-4.112960078343818	2.0		0.0	-7.319007642141227	1.0	-4.643946796687108	1.0	-0.3505544085389745	1.0	-4.9277518323797755	1.0
samp_20	-1.2072258361646977	-5.021669971524409	1.0		0.0		0.0		0.0	-0.6269535574210615	2.0	-4.714368816004451	2.0	-4.8305881917292846	3.0	-5.160892471243252	2.0	-1.6156327055040611	2.0		0.0		0.0		0.0	-4.730494171194194	2.0		0.0	-5.019032529788846	1.0
samp_21	-1.6524474110938274	-4.86826703715044	1.0	-2.322385632867642	1.0	-4.712590798090841	4.0	-4.507040799715191	1.0	-0.6343550446923252	2.0	-4.566353820393755	1.0	-4.683431790381192	1.0		0.0	-1.6429038972396672	1.0	-4.061291991275692	1.0	-4.4630825840988715	1.0		0.0		0.0	-0.3478197841687292	1.0		0.0
samp_22	-1.2444152781225186		0.0	-2.312055040318596	1.0	-4.8500432365156225	1.0		0.0	-0.627598079076618	2.0	-4.702691845484344	1.0	-4.8189803923000865	3.0		0.0	-1.6180902740661542	2.0		0.0	-4.591344225059635	1.0	-7.422731955942221	1.0		0.0	-0.35289417573712006	1.0	-5.006392342143847	2.0
samp_23	-1.5558545832053277		0.0	-2.321986660059158	1.0		0.0	-4.539422749268686	2.0	-0.6328674426485434	4.0	-4.5998839277076415	1.0	-4.716773846884442	2.0	-5.039357658241528	1.0	-1.6375935139690978	1.0	-4.088951862557029	1.0		0.0		0.0		0.0	-0.34938696292906857	1.0	-4.896206280753935	1.0
samp_24	-1.6517452310690297	-4.868501259739224	2.0	-2.322389042389386	1.0		0.0	-4.507286677148929	1.0		0.0	-4.566604657935777	1.0		0.0		0.0	-1.6428725801368282	4.0	-4.061496190588754	3.0	-4.463325867413875	1.0		0.0	-4.580018582261671	1.0		0.0	-4.860870940027786	1.0
samp_25	-1.0358146080166903	-5.076108631697845	1.0	-2.300123263725297	1.0		0.0	-4.698812016060981	1.0		0.0	-4.766370291069675	2.0	-4.8822596378096295	1.0	-5.2168386639442	3.0		0.0		0.0		0.0	-7.517776686421112	2.0	-4.783664477731566	2.0	-0.3542890906614507	1.0	-5.075602168151969	1.0
