run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight
fit	-5.781108700480195	-5.127546060395662	1.0	-2.3458130059002973	1.0	-4.915136079000125	1.0	-4.7374347633966485	1.0	-0.39309009625448743	1.0	-4.910371179744611	1.0	-4.877326341235018	1.0	-5.263988551296102	1.0	-1.7231763627867283	1.0	-4.134425227668413	1.0	-4.6002148670554055	1.0	-7.670340057276394	1.0	-4.668448020345975	1.0	-0.3187214033242504	1.0	-3.970264430240032	1.0	-4.449165353085309	1.0	-5.03628537035865	1.0	-6.081072366945136	1.0
samp_00	-6.782901664296097	-5.043505324340583	1.0	-2.2660552644025738	2.0	-4.831435958303104	1.0		0.0	-0.3070571382626664	1.0	-4.826728979881372	1.0	-4.793546950748971	1.0		0.0	-1.645831272631035	3.0	-4.051354013540078	1.0	-4.516719571389721	2.0		0.0		0.0	-0.2396832119238765	2.0		0.0	-4.365972619717645	2.0	-4.953442555854857	1.0		0.0
samp_01	-5.7137666977574995	-5.136016131295471	2.0		0.0	-4.923557029808366	1.0		0.0		0.0	-4.91878667159867	2.0	-4.88575373817872	1.0	-5.272479999960256	1.0	-1.7307359004549743	1.0	-4.142757265506793	2.0		0.0		0.0	-4.676803838252797	3.0	-0.3261403109339665	2.0	-3.9786223756423538	1.0	-4.457517603317511	1.0		0.0	-6.089332452214949	1.0
samp_02	-5.539102475565875	-5.160043854076678	1.0		0.0	-4.947458620357172	1.0	-4.769698123848357	1.0	-0.4238067112778287	3.0		0.0	-4.909672307969558	1.0		0.0	-1.75197655625007	2.0		0.0	-4.632399980879492	1.0	-7.7030228757216355	1.0	-4.700497088250024	1.0	-0.3466509467879903	3.0		0.0	-4.481207478988143	1.0	-5.06830039680522	2.0		0.0
samp_03	-5.544150499503408		0.0	-2.375280846761501	1.0	-4.946722236948267	3.0	-4.768963349929059	1.0		0.0	-4.94193262148237	2.0		0.0	-5.295857046770918	1.0	-1.7513322286854924	1.0		0.0		0.0	-7.7022672357152	1.0		0.0	-0.3460339440920048	3.0	-4.0015764446740745	2.0	-4.480475850795091	1.0	-5.067571737189059	1.0	-6.112130034417938	1.0
samp_04	-20.50523722740093	-4.987571455680003	2.0		0.0	-4.775637406364682	1.0	-4.597975935055006	2.0	-0.2443615267719084	1.0	-4.770967762742007	2.0	-4.737680176215018	2.0		0.0	-1.5920784617561936	1.0	-3.9956917408773194	1.0	-4.460935548824572	2.0	-7.53950874367817	1.0		0.0		0.0	-3.8309095910889517	1.0	-4.310337253902952	1.0		0.0	-5.946085613113261	1.0
samp_05	-5.54858566508312		0.0	-2.374649496160082	1.0	-4.946084805171593	1.0	-4.768326517762671	1.0		0.0		0.0	-4.908296095191372	1.0	-5.295206725137116	1.0	-1.7507581549416649	1.0	-4.165019411376578	2.0		0.0	-7.701602409722711	4.0	-4.69913383979653	3.0	-0.34552437749595477	1.0		0.0	-4.4798502294126505	1.0		0.0	-6.111502408528653	1.0
samp_06	-5.240997702325936		0.0	-2.4202371955615947	2.0		0.0	-4.817796582822972	1.0	-0.467087050162973	1.0	-4.990853527706236	3.0		0.0	-5.345329539763853	1.0	-1.7938165842514617	1.0		0.0		0.0	-7.753410808545081	1.0		0.0	-0.3856333941965423	1.0	-4.049948768098051	2.0	-4.528920996072551	2.0	-5.116083402513227	2.0	-6.160612094300918	1.0
samp_07	-5.153914372079361		0.0		0.0	-5.011660449347804	1.0	-4.8337326606910205	1.0		0.0	-5.00682101208284	2.0	-4.973909330335845	1.0	-5.361475392588651	1.0	-1.8074073027288984	1.0	-4.2295924028501375	1.0		0.0	-7.770518665233726	3.0	-4.7640851735596925	1.0		0.0		0.0		0.0	-5.131918475520553	3.0	-6.176525895887639	3.0
samp_08	-5.840244464121839		0.0		0.0	-4.908088297565725	1.0	-4.730396956136557	1.0	-0.38620827343979236	1.0	-4.9033242754314275	3.0	-4.870272611049323	1.0	-5.256882960544283	1.0		0.0	-4.1274458090053505	3.0	-4.593192196126432	1.0	-7.663326292328757	1.0	-4.661450030207524	3.0		0.0		0.0		0.0	-5.029308116481402	1.0	-6.074163367241683	1.0
