run	log_tbg	log_alphap	log_betap	b9D1_log_P	b9D1_weight	b9D2_log_P	b9D2_weight	b9D3_log_P	b9D3_weight	b9D4_log_P	b9D4_weight	b9D6_log_P	b9D6_weight	b9D8_log_P	b9D8_weight	b9D9_log_P	b9D9_weight	b9E1_log_P	b9E1_weight	b9E2_log_P	b9E2_weight	b9E3_log_P	b9E3_weight	b18A8_log_P	b18A8_weight	b18A9_log_P	b18A9_weight	b18B2_log_P	b18B2_weight	b18B5_log_P	b18B5_weight	b18B6_log_P	b18B6_weight	b18B7_log_P	b18B7_weight	b18B8_log_P	b18B8_weight	b18C1_log_P	b18C1_weight	b18C6_log_P	b18C6_weight	b18C7_log_P	b18C7_weight
samp_87	-21.99294134971841	2.7757055095712513	-1.220287585480863		0.0		0.0		0.0		0.0	-7.971568833622711	1.0		0.0	-9.460472795446012	1.0	-9.06046515515564	2.0	-8.405059035541239	2.0	-8.387458689621702	2.0	-2.0893575398186055	1.0	-3.149304108017116	1.0		0.0	-6.04514016993827	1.0	-7.207987165318076	3.0		0.0	-4.3528973807569775	2.0	-3.876970017968402	1.0	-6.374642700029655	2.0	-5.812945456719825	1.0
samp_88	-23.3132260414026	1.1806462912759963	0.29128351253948803		0.0	-7.004737512380985	1.0	-1.6060274704167599	4.0	-7.930938324021283	1.0	-7.932348779835646	1.0	-5.599212214161129	2.0	-9.41917332986512	1.0	-9.019435832176544	3.0	-8.364549820425196	1.0	-8.347013636273145	1.0		0.0		0.0		0.0	-6.022064983917793	1.0	-7.169101079660386	1.0	-4.577016836754082	1.0		0.0		0.0	-6.348125882707018	2.0		0.0
samp_89	-22.706206697239868	3.460561038276948	-1.8338289868515227		0.0		0.0		0.0		0.0	-8.004069867200517	1.0	-5.629049201975317	1.0	-9.495514922385738	2.0	-9.09521458355014	2.0	-8.439145054647534	1.0	-8.421462534462226	1.0		0.0	-3.023232974991791	2.0	-6.835908017299465	1.0	-6.058363056638889	1.0	-7.240099741293858	3.0	-4.505081208667882	1.0		0.0	-3.8050320099905237	1.0		0.0	-5.821938549562268	3.0
samp_90	-22.74895743803749	2.10182469713251	-0.59334907472416		0.0	-7.02092968468305	2.0	-1.4217476517095826	1.0		0.0	-7.949640226229813	1.0		0.0		0.0	-9.03741757625098	3.0		0.0	-8.36479151718354	1.0	-2.22153145621324	3.0	-3.2561057319508837	2.0	-6.791811031876512	1.0	-6.033085103344382	1.0	-7.186294825570697	2.0		0.0		0.0	-3.9220628092097067	3.0		0.0		0.0
samp_91	-22.291484026124085	1.2298874397512136	0.16080777687990433	-6.491198812805905	2.0	-6.964027139996014	2.0	-1.548989729220242	2.0	-7.89029477488998	2.0	-7.891675764324872	1.0		0.0		0.0		0.0	-8.323927097495261	1.0	-8.306386056758459	1.0	-2.3409278181642037	1.0		0.0		0.0	-5.981078525711608	1.0	-7.128447150310946	1.0	-4.534955946829688	1.0	-4.351121209849862	2.0		0.0	-6.307193228304786	1.0	-5.7524431464610934	2.0
samp_92	-22.427543192560297	1.4780098091956102	-0.09651196817977176		0.0	-6.958993322783317	2.0	-1.488741947082256	1.0	-7.885524508713703	2.0	-7.886858088678823	1.0	-5.55186851988182	1.0	-9.37391037768219	2.0	-8.974168383624162	1.0		0.0	-8.301683043750476	1.0		0.0	-3.2660441754148914	2.0	-6.730700990212707	2.0	-5.975012638867094	2.0		0.0		0.0	-4.339823430260423	2.0		0.0		0.0	-5.74606104370785	1.0
samp_93	-24.74030777215307	1.0811980492068207	0.2960478947141836	-6.484847094591359	2.0	-6.957488456626131	1.0	-1.5732850889800842	3.0	-7.883637219399829	1.0	-7.885046896595239	2.0	-5.5522438133688965	1.0	-9.371827774910072	2.0	-8.972100127081061	2.0		0.0	-8.299700710656317	1.0	-2.3559271840323404	1.0		0.0		0.0	-5.975048108794288	2.0		0.0	-4.5309554320649745	1.0		0.0		0.0	-6.301030400506424	1.0		0.0
samp_94	-22.458365497359612	1.2889393262455433	0.08215135019484983		0.0	-6.95411682896707	2.0	-1.5249732359292199	2.0		0.0		0.0	-5.547973702433336	1.0		0.0		0.0	-8.314087739142016	1.0	-8.296553999176643	2.0	-2.3206303189659243	1.0	-3.2767041971776036	1.0	-6.725990513980545	1.0	-5.970930434192423	1.0	-7.11860191474825	1.0	-4.523807383194434	1.0	-4.339731103702325	2.0	-3.8966605488171404	2.0	-6.2971032097070685	1.0	-5.742235839312173	1.0
samp_95	-24.0392771191434	1.7213663980813745	-0.16098457504239994	-6.5744820603732705	1.0	-7.048011922127489	2.0	-1.5250960630725074	2.0		0.0	-7.9761239341316825	1.0		0.0	-9.463304706874517	3.0		0.0	-8.408566615241892	1.0	-8.391015273129847	2.0	-2.3388021034652566	1.0	-3.334478866517342	1.0	-6.819487286435305	1.0	-6.062968026730933	1.0	-7.212822907015125	2.0		0.0		0.0	-3.973552112052176	1.0		0.0	-5.8337486414717965	1.0
samp_96	-23.309892630176503	2.4894186958701834	-1.0507813729071682		0.0	-6.984322445359303	3.0		0.0	-7.91293914849947	1.0	-7.913920264826124	1.0		0.0	-9.402220064371418	1.0	-9.002253993260387	1.0	-8.347072236350419	1.0	-8.329486169313373	1.0	-2.1008565273143054	2.0	-3.152299635195499	3.0		0.0	-5.992267686128282	1.0		0.0	-4.509978513181551	1.0	-4.318544942256617	1.0	-3.851897087469909	1.0		0.0	-5.761089164252413	2.0
samp_97	-22.166749701078373	2.917688084392025	-1.5220413445144005	-6.481905637023299	1.0		0.0		0.0	-7.89041350157251	2.0	-7.891131879639071	3.0	-5.5351779985641025	1.0		0.0		0.0	-8.324943927534894	1.0	-8.30732173541955	1.0		0.0	-3.0444618517667283	3.0		0.0		0.0	-7.127750721263069	1.0	-4.454324492626227	1.0	-4.258706410960166	2.0	-3.780504858945645	1.0	-6.291251543422011	3.0		0.0
samp_98	-21.58534133684021	1.2959545800421113	0.19935332941557132		0.0	-7.016268044503041	3.0	-1.5928358365418656	2.0	-7.942573468499524	1.0	-7.943962310705363	2.0	-5.610247914262045	1.0		0.0	-9.031100693323221	1.0	-8.376215085940835	3.0	-8.358666444879299	1.0		0.0		0.0		0.0		0.0	-7.180716721727592	1.0	-4.586522742996684	1.0		0.0	-3.9597976300448203	1.0	-6.359350559551527	1.0	-5.8045303041812115	2.0
samp_99	-22.634119043289196	1.439912488400388	-0.12656470098382605		0.0		0.0	-1.460604051503819	1.0	-7.851483191769886	1.0	-7.852806431683344	1.0	-5.517961034294982	1.0		0.0		0.0	-8.285161892093614	2.0	-8.267614414003708	1.0	-2.263155087443198	2.0	-3.2339535835952278	1.0	-6.696686443312432	4.0	-5.941081365178599	1.0		0.0		0.0	-4.306398409673819	2.0	-3.8612256290553995	1.0		0.0	-5.712203490076231	2.0
