run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight
samp_18	-2.154017504572931	-4.985832228069977	2.0	-2.4167550061397556	1.0		0.0	-4.606419997032739	1.0	-0.6556874192072688	2.0	-4.683343771544608	1.0	-4.7513687997733625	1.0	-5.0991183793027774	1.0	-1.7240728800207954	1.0	-4.125067457181336	1.0	-4.553460258642928	1.0	-7.469935685134732	1.0		0.0	-0.32914096139388643	3.0	-3.9542603435565358	1.0		0.0	-4.900685113105502	1.0		0.0
samp_19	-1.8008881555822895		0.0	-2.4309909536951833	1.0	-4.85620476499899	4.0	-4.736340182619106	2.0	-0.6500564944149516	2.0	-4.816240887470862	1.0	-4.884007204797532	1.0		0.0		0.0	-4.240928435434646	1.0		0.0		0.0		0.0		0.0	-4.076624157840349	4.0		0.0		0.0	-6.120258971447623	2.0
samp_20	-1.9277149167037333		0.0	-2.4289343092469737	1.0	-4.809028104610488	1.0		0.0		0.0	-4.7691431258125165	1.0	-4.836997331511399	1.0		0.0	-1.7150236945068411	1.0	-4.2004385362712515	2.0	-4.636348882328579	2.0		0.0	-4.734528418257695	1.0	-0.3376139233396052	4.0		0.0	-4.494557871797626	1.0	-4.989690515718982	3.0		0.0
samp_21	-2.1967428860449316	-4.969005024079427	2.0	-2.4132304731646412	2.0		0.0		0.0	-0.6560067214492472	2.0		0.0		0.0	-5.082091698954739	1.0		0.0	-4.110459738414104	4.0	-4.537557815380147	2.0		0.0	-4.631676166434228	2.0		0.0	-3.9389310279575236	1.0	-4.394145121674773	1.0	-4.8837226595668835	1.0		0.0
samp_22	-1.9763426706734069	-5.055277396994388	1.0		0.0		0.0		0.0	-0.6533893833216192	4.0	-4.750902779156359	1.0	-4.81879287781738	2.0		0.0		0.0	-4.184532621137645	3.0	-4.618761968288653	1.0	-7.561031590040718	1.0	-4.716168664430134	1.0	-0.33602559329081144	1.0		0.0	-4.476677954145061	1.0	-4.9707143724471905	2.0		0.0
samp_23	-2.0692563479447252		0.0	-2.422603008610313	1.0	-4.755535830161347	2.0	-4.638136726528022	1.0	-0.6547555601761327	2.0	-4.715723347974877	3.0		0.0		0.0	-1.721546806719302	1.0	-4.1537041452223455	2.0	-4.584793157756398	1.0	-7.513165570039564	1.0		0.0	-0.33265711555200994	2.0	-3.9843706518293183	1.0		0.0	-4.934209053324665	1.0		0.0
samp_24	-2.144775484005179	-4.989465872385899	1.0	-2.4174695452033714	1.0	-4.726666118887379	1.0	-4.609893035339148	1.0	-0.6555928944463312	1.0	-4.686886522091781	1.0	-4.754905141792076	3.0	-5.102797700615525	3.0		0.0		0.0	-4.556893613303318	2.0		0.0		0.0	-0.32954594521191516	2.0		0.0		0.0	-4.904350406195906	1.0	-5.974282473302751	1.0
samp_25	-2.0608680653872957	-5.0223586070633885	2.0	-2.4231045800294195	2.0	-4.758728132427608	1.0		0.0		0.0	-4.718914305987877	2.0	-4.786866026835499	2.0	-5.136099472874279	1.0	-1.7212282854288083	2.0		0.0	-4.5878772707378745	1.0	-7.517466499821227	2.0	-4.68397504485033	1.0		0.0		0.0	-4.445279256245551	1.0		0.0	-6.009991306412753	1.0
samp_26	-2.016631567598421	-5.039621194136032	1.0	-2.4254638552475725	2.0	-4.77552993740219	2.0	-4.657674130599377	1.0	-0.6540255798476758	1.0		0.0		0.0	-5.153589902214007	1.0	-1.7194346233191635	3.0		0.0	-4.604077455559839	1.0		0.0	-4.700860318688474	1.0	-0.3346242407345591	1.0	-4.002853880131869	1.0	-4.461753474237129	1.0	-4.954919294878441	1.0	-6.028795515257333	1.0
samp_27	-1.8981787927655942	-5.0854941780217375	1.0	-2.4297281567467284	1.0		0.0		0.0	-0.6520097424386826	2.0		0.0	-4.848039501824412	1.0	-5.200097564463007	2.0	-1.7133109190911344	2.0	-4.209966698258402	1.0		0.0		0.0	-4.745662831253696	3.0	-0.33849521751809075	2.0		0.0	-4.505394570376925	1.0	-5.001194458600642	1.0	-6.079101614975815	1.0
samp_28	-2.1739479619655646	-4.977987610243122	2.0		0.0	-4.715464098214753	2.0	-4.598922379239506	2.0	-0.6558472332159067	1.0		0.0	-4.743734394970104	2.0	-5.091179509583808	2.0	-1.7245038306736524	1.0	-4.118265906727607	1.0	-4.546049393335303	2.0		0.0	-4.640491039399953	1.0		0.0		0.0	-4.402774053599273	2.0		0.0		0.0
samp_29	-1.749679198350943		0.0		0.0		0.0	-4.754608576746625	1.0	-0.6489575206144987	1.0		0.0	-4.902733046600112	3.0		0.0	-1.703430855925791	1.0	-4.256892948712629	1.0	-4.6996260055332995	1.0	-7.6796380706836755	1.0	-4.8008460815492295	2.0	-0.34242361786375336	2.0	-4.093607343989029	2.0	-4.558976699473875	1.0	-5.058370468491715	2.0		0.0
samp_30	-1.9475171238382871		0.0	-2.4283092492736467	2.0	-4.801615914431361	2.0	-4.683144775133804	1.0		0.0	-4.761743819027543	2.0	-4.82961052237655	5.0		0.0	-1.7160766933292755	1.0		0.0		0.0	-7.5759796635869625	1.0		0.0		0.0	-4.026848719275927	1.0		0.0	-4.981981995263471	2.0	-6.05816782638967	1.0
samp_31	-1.8880555770408358		0.0		0.0		0.0	-4.704857906948948	2.0		0.0	-4.783979888441077	1.0	-4.85180215405943	2.0	-5.2040517305806215	1.0	-1.712705860851723	2.0		0.0	-4.650623769207642	2.0	-7.606946928447035	3.0	-4.749461234410881	3.0		0.0	-4.047224709601307	1.0	-4.509091003817557	1.0		0.0		0.0
samp_32	-2.0733228028071453	-5.01748894152948	3.0		0.0		0.0	-4.636621078564496	2.0	-0.6548137851106246	1.0	-4.714175327950017	2.0	-4.782138028245491	3.0		0.0	-1.7216948418539872	1.0	-4.152341415147546	1.0	-4.583298922985793	1.0		0.0		0.0	-0.33250641816103854	1.0	-3.982936315207856	1.0		0.0	-4.932605372511124	2.0		0.0
samp_33	-1.7804009892917985		0.0		0.0	-4.863741557817628	1.0	-4.7436629850071546	2.0	-0.6496269692131174	1.0	-4.823768336584335	2.0	-4.891520329466663	2.0		0.0	-1.7056141134675022	2.0	-4.247327493876979	1.0		0.0		0.0	-4.789528077144199	2.0		0.0	-4.08344207668122	2.0	-4.547995317611407	1.0	-5.04663091193087	1.0	-6.12890091046099	1.0
samp_34	-2.0675695407991856	-5.019736780878636	1.0	-2.422708896659979	1.0	-4.756178425410915	1.0		0.0	-0.6547411342772818	1.0	-4.716364842829194	3.0	-4.784325342683443	2.0		0.0		0.0	-4.154266864529892	3.0	-4.585414143876673	1.0	-7.514032877852619	1.0		0.0	-0.3327302788621482	1.0		0.0	-4.4427719125884	2.0	-4.934874267192515	1.0		0.0
samp_35	-1.6079814969111432		0.0		0.0	-4.926157046727219	2.0	-4.804250258825887	1.0	-0.6456890089222883	1.0		0.0	-4.953703416770354	1.0	-5.311589701153907	1.0	-1.692167168832181	1.0	-4.299737111112339	1.0		0.0	-7.754829766994672	2.0	-4.852278571310771	1.0	-0.34541717687533663	2.0		0.0		0.0	-5.111900212455117	4.0	-6.201217250586593	1.0
samp_36	-2.03137061627737	-5.033873964464068	1.0	-2.424725188297113	2.0		0.0	-4.652218957818109	2.0	-0.6542391730568371	3.0	-4.730110700065572	1.0	-4.79804031022339	1.0		0.0	-1.7200640824531743	3.0		0.0		0.0	-7.532626137092182	1.0	-4.695243088321679	1.0		0.0	-3.997691492589933	1.0		0.0	-4.949128981622833	1.0	-6.022535906814334	1.0
samp_37	-1.8486866893442437		0.0		0.0	-4.838535041385331	2.0	-4.719126245433548	1.0	-0.6510405737030269	2.0		0.0	-4.866404347750531	2.0	-5.219387138151088	1.0	-1.710275953586515	1.0		0.0	-4.664691469636519	2.0		0.0		0.0	-0.33992168777829235	2.0	-4.060566455601657	1.0	-4.523393508948157	1.0	-5.02036140558836	1.0	-6.100059818950614	2.0
samp_38	-1.6991877714425359	-5.16119316405973	1.0	-2.43024036606664	1.0		0.0	-4.772454362351171	1.0		0.0		0.0	-4.921045181603978	1.0	-5.276993722692831	1.0	-1.6995458846936198	1.0		0.0	-4.717178986569832	1.0	-7.706349337288285	2.0		0.0	-0.3436007687984413	3.0	-4.110139795526694	1.0	-4.576857137913555	2.0	-5.077576659665377	2.0	-6.163064504536106	1.0
samp_39	-1.9359969655379012	-5.0709029559320244	1.0		0.0	-4.805944599415973	1.0		0.0	-0.6526987349108353	2.0		0.0	-4.83392355477131	3.0	-5.185301175559165	1.0	-1.7154703553699437	1.0	-4.197727330198406	1.0	-4.633377991159999	1.0		0.0	-4.731427203671412	2.0	-0.3373362907231122	2.0		0.0	-4.491542810026325	1.0	-4.986477489384736	2.0		0.0
samp_40	-1.814258279517764		0.0	-2.430888468575243	1.0	-4.851279183643293	2.0		0.0		0.0	-4.811326317777215	2.0	-4.879092124603916	1.0		0.0	-1.7079578092296464	1.0	-4.236726727229617	2.0		0.0	-7.645607074895832	4.0	-4.776997741716376	2.0	-0.34084880212206403	1.0		0.0	-4.535842369553469	1.0		0.0	-6.114611778121118	1.0
samp_41	-2.2004269438314994		0.0	-2.412905696311812	1.0		0.0		0.0	-0.6560269652176389	3.0	-4.665515792388336	1.0		0.0		0.0	-1.7249682571450644	5.0	-4.109191437272916	1.0	-4.536181620500971	2.0		0.0	-4.630248637994392	2.0	-0.3270239658574532	1.0		0.0		0.0	-4.882255030914612	1.0	-5.950607225439737	1.0
samp_42	-1.9329098173888741		0.0	-2.42877650768095	1.0	-4.807103137648803	1.0		0.0	-0.652644887220611	1.0	-4.767222895391209	3.0	-4.835079257506855	1.0	-5.186512966743853	1.0	-1.7152855697334086	1.0	-4.198727972641894	1.0	-4.634491948140019	1.0	-7.583570870757848	1.0	-4.732592758164282	1.0	-0.3374364165881904	2.0	-4.03187940760258	2.0	-4.4926740394921	1.0		0.0		0.0
samp_43	-1.9129696314904707	-5.0797889050613	1.0	-2.4293544606523425	1.0	-4.81458029199288	1.0	-4.6957901993695375	2.0	-0.6522872229552705	1.0	-4.774686242327421	2.0		0.0		0.0	-1.7141631866364027	1.0	-4.20519188855418	1.0		0.0	-7.5939540604228215	2.0		0.0	-0.3380684554775707	3.0		0.0	-4.499986078546819	2.0	-4.995443248343614	1.0		0.0
samp_44	-1.6938301971332559		0.0		0.0		0.0		0.0	-0.6476788353010926	2.0	-4.855290878595703	2.0	-4.922978620359502	1.0	-5.279040284571788	1.0	-1.6991291540397973	2.0	-4.274011689375937	2.0		0.0	-7.709191078411769	1.0	-4.821270306574899	1.0		0.0	-4.11188873102463	1.0	-4.578749699567044	2.0	-5.079594398820332	2.0	-6.165317990834953	1.0
samp_45	-2.036369206478374	-5.031923400745222	1.0	-2.424457287155538	1.0	-4.768043233988233	1.0		0.0		0.0	-4.728215046315478	2.0	-4.79614784889626	2.0	-5.1457887174303325	1.0	-1.7202616320038502	1.0	-4.164687596632681	2.0	-4.596863464670017	1.0		0.0		0.0	-0.33394339735959394	2.0	-3.995940559868611	1.0	-4.454413088934717	1.0		0.0	-6.020409369629021	2.0
samp_46	-2.097514997312939	-5.0080152267682205	1.0		0.0	-4.744754360423286	1.0		0.0	-0.6550994052476393	1.0		0.0	-4.772935682500718	2.0		0.0		0.0		0.0	-4.57438099615804	7.0	-7.498705950987874	2.0	-4.6699315988922	2.0	-0.3315316463683675	1.0	-3.974380036260229	1.0		0.0		0.0		0.0
samp_47	-1.845341997014404	-5.105771711660041	2.0	-2.430646017169757	2.0	-4.8397707888198305	2.0	-4.720334896908668	1.0	-0.6509787790434115	1.0		0.0	-4.867634480166802	1.0		0.0		0.0	-4.226875121416084	1.0		0.0	-7.629295109943545	1.0		0.0	-0.34002662150596796	1.0	-4.06170407287238	2.0	-4.524608998438349	2.0		0.0	-6.101471003439592	2.0
samp_48	-1.998214518657087		0.0		0.0		0.0		0.0	-0.6537455800422768	2.0	-4.742656857217949	1.0	-4.810561791040057	3.0		0.0	-1.7186029853008198	2.0	-4.177333927836582	1.0	-4.610806204658836	3.0	-7.549718258226536	1.0		0.0	-0.3352742436298649	1.0	-4.009276218724745	2.0		0.0	-4.962149198783346	2.0		0.0
samp_49	-2.1435298677616137		0.0	-2.4175637132756385	3.0	-4.727143985766851	1.0		0.0	-0.6555832354175629	1.0	-4.687363765636912	1.0	-4.755380802974903	1.0	-5.103290332759772	2.0		0.0	-4.12863441908177	1.0	-4.55735226550607	3.0		0.0	-4.652230067865615	1.0	-0.3296032156144605	1.0		0.0	-4.414257911151644	1.0	-4.9048443832014135	1.0	-5.974814170626991	1.0
samp_50	-1.9945114718557015	-5.048223466275669	4.0		0.0	-4.783903627954916	1.0		0.0	-0.6536851418033657	1.0		0.0	-4.811954601234241	1.0	-5.162306517905553	1.0	-1.7184244508742248	3.0		0.0	-4.6121465802668915	1.0	-7.551636380610931	1.0		0.0	-0.33540671026031793	1.0	-4.0105675219891905	3.0		0.0		0.0	-6.038206975454999	1.0
samp_51	-1.5440196170994818	-5.218739989156466	1.0		0.0	-4.948809934353464	1.0		0.0		0.0		0.0		0.0	-5.335568743112824	2.0	-1.6867075705213213	2.0		0.0	-4.769963643152481	1.0	-7.7889694658099256	3.0	-4.875049964759446	2.0		0.0	-4.159531490889209	1.0	-4.630684394968724	1.0	-5.135682136520571	2.0	-6.227802971234492	2.0
