run	log_tbg	log_alphap	log_betap	b14D6_log_P	b14D6_weight	b14D7_log_P	b14D7_weight	b14D8_log_P	b14D8_weight	b15A2_log_P	b15A2_weight	b15A3_log_P	b15A3_weight	b15A5_log_P	b15A5_weight	b15A6_log_P	b15A6_weight	b15A7_log_P	b15A7_weight	b15A9_log_P	b15A9_weight	b15B1_log_P	b15B1_weight	b15B2_log_P	b15B2_weight	b15B3_log_P	b15B3_weight	b15B4_log_P	b15B4_weight	b15B5_log_P	b15B5_weight	b15B6_log_P	b15B6_weight	b15B7_log_P	b15B7_weight	b15B8_log_P	b15B8_weight	b15B9_log_P	b15B9_weight	b15C1_log_P	b15C1_weight	b15C2_log_P	b15C2_weight	b15C5_log_P	b15C5_weight
samp_51	-5.467848983826418	5.289574359714017	0.16104873465554606		0.0	-5.198933747895007	2.0	-5.236585920531488	1.0	-6.681685257655166	1.0		0.0	-4.1923616785296325	1.0	-3.237768533168289	1.0	-3.68681398517089	1.0	-6.563184062092893	1.0		0.0	-8.29807767098391	3.0	-7.0080790224592455	1.0		0.0		0.0	-10.462213143399532	1.0	-4.092779882145585	1.0	-6.949347670493026	3.0	-10.404212886413118	1.0	-5.738689950798984	1.0		0.0	-5.237713995852711	2.0
samp_52	-5.863822433542482	4.672237556063793	0.5319419938235712	-5.19694920862019	1.0		0.0	-5.231237065326531	1.0	-6.560940311125614	4.0	-5.647072570836212	2.0	-4.234623054481227	2.0		0.0		0.0	-6.451811815497812	1.0	-10.502243380355976	1.0	-8.046023115980507	1.0	-6.853330989118007	2.0		0.0		0.0	-10.122932125244548	1.0	-4.136751607300246	2.0		0.0		0.0	-5.712190482214935	1.0		0.0	-5.214343439375486	2.0
samp_53	-5.815675595857847	5.215682628147443	0.09350316460874983		0.0	-5.144151394062731	1.0		0.0		0.0		0.0		0.0		0.0	-3.6714584446685463	2.0	-6.462761557811314	2.0	-10.601741656040769	1.0	-8.115535679258237	1.0	-6.869634182662762	2.0	-2.545567410114068	1.0		0.0	-10.244287856674916	1.0		0.0		0.0	-10.220980403765179	6.0		0.0	-7.0817779402944785	1.0	-5.1822622452607465	3.0
samp_54	-5.293739404352977	5.506209217536078	0.00988967558355139		0.0		0.0	-5.226171319462395	2.0	-6.715549063958026	1.0		0.0		0.0	-3.2237571010501442	4.0	-3.661682694995472	2.0	-6.5926949042067395	2.0		0.0	-8.381765378213892	2.0		0.0	-2.542709799560249	1.0		0.0	-10.55340819039435	1.0	-4.079915345673657	2.0	-6.993919087918023	1.0		0.0	-5.730301476244761	3.0		0.0		0.0
samp_55	-5.5590880045685385	5.243792795953114	0.034811773446431125	-5.139797970914698	2.0		0.0	-5.170463295487292	1.0		0.0	-5.598860024175748	1.0		0.0	-3.220882114957592	1.0	-3.663030777728599	3.0	-6.461090809132104	1.0	-10.591666378161845	1.0		0.0	-6.882215158200543	2.0	-2.542169179659196	1.0		0.0	-10.26949313994835	3.0	-4.058852159826947	1.0	-6.8350129817913015	2.0	-10.227672624510621	1.0	-5.655051823078067	1.0		0.0		0.0
samp_56	-6.519412207763603	5.245578422958011	0.12704900358579893		0.0	-5.150804928825267	3.0	-5.187475395151976	1.0	-6.572036748339431	1.0	-5.61153745080222	1.0		0.0	-3.2283069724178985	1.0		0.0	-6.458115532670177	2.0	-10.576016143395712	4.0	-8.03466426626374	1.0		0.0	-2.546573393257491	2.0	-4.094100395379896	1.0		0.0	-4.071668460293225	1.0	-6.814063457473525	1.0		0.0	-5.6644086048456375	1.0		0.0	-5.191029851613394	1.0
samp_57	-5.5199332741081335	5.128150134280896	0.12389863328479737		0.0		0.0	-5.181374965749341	1.0		0.0		0.0		0.0	-3.2313206400345154	1.0	-3.680683362352504	2.0		0.0	-10.5701251549479	1.0	-8.1329061368799	2.0	-6.885014290200798	2.0	-2.548955976787221	1.0	-4.097481945461208	2.0	-10.250501188339808	3.0	-4.069020189481554	3.0	-6.833757033384246	1.0		0.0		0.0	-7.091319857824592	1.0	-5.179086828733893	1.0
samp_58	-5.7905949276081055	5.011881961154168	0.1947112223535836	-5.142679108962205	2.0		0.0	-5.174669525688712	3.0		0.0	-5.596229373154034	1.0	-4.16914964115454	2.0	-3.238948167078277	2.0	-3.6936075879345758	1.0		0.0		0.0	-8.051335928387122	1.0	-6.832474352878584	1.0		0.0	-4.1060654320747165	2.0		0.0	-4.072020575246001	1.0		0.0	-10.126200203085158	1.0	-5.655467493136232	2.0	-7.037696938807279	2.0		0.0
samp_59	-5.449452350141757	5.252741105327251	0.16869239847886117	-5.200399814737198	2.0		0.0		0.0		0.0	-5.673251209841564	1.0	-4.191416444722277	1.0	-3.23879120572564	2.0	-3.689104272617823	1.0	-6.5522698341810885	1.0		0.0	-8.279149981284297	1.0		0.0	-2.552429321116606	1.0		0.0	-10.435595656457226	1.0	-4.091995109707708	4.0		0.0	-10.378125512648431	1.0	-5.733598648253777	1.0	-7.2052763891635045	3.0	-5.232370722978835	1.0
samp_60	-6.531000070944701	4.8833647536343	0.310922405153314	-5.146338703198022	2.0	-5.144213710406976	2.0	-5.17854187315605	2.0		0.0	-5.59223038498238	2.0	-4.182142307373986	1.0	-3.2548402540748382	1.0		0.0	-6.401395654406361	2.0	-10.405990362967323	1.0	-7.932017935480789	1.0	-6.7754553268152975	1.0		0.0	-4.126010509986716	1.0		0.0		0.0	-6.74746225198419	2.0		0.0	-5.650708414200752	2.0		0.0	-5.170559678814974	1.0
