run	log_F	b5H1_log_P	b5H1_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
fit	-17.13305281299532	-2.3239938936327733	1.0	-0.9809627048474862	1.0	-4.302068853111568	1.0	-4.955465210022718	1.0	-1.9597049853851387	1.0	-2.546467958906465	1.0	-1.0222742477911708	1.0	-4.708717277038485	1.0
samp_00	-18.139035569704625	-2.3240105564390663	1.0	-0.9809043293768813	1.0		0.0		0.0	-1.9597299063437963	2.0	-2.546498810484318	1.0	-1.022263603494801	2.0	-4.708715193181671	1.0
samp_01	-16.414254902219636		0.0	-0.9809615541953672	3.0		0.0	-4.955465837170921	1.0	-1.9597072616895477	1.0	-2.5464556278129593	1.0	-1.0222761737114854	1.0	-4.708715460376958	1.0
samp_02	-18.984527312636114	-2.3239942764669013	1.0		0.0		0.0		0.0	-1.9597073411368757	2.0	-2.5464698636994574	2.0	-1.0222762941130046	2.0	-4.708715054012495	1.0
samp_03	-17.540569000347173	-2.3240014387915915	1.0	-0.9809616313524985	1.0	-4.302080563576615	1.0	-4.955473923210334	1.0	-1.9597260933317162	1.0		0.0	-1.0222676635058474	1.0	-4.708696582744978	2.0
samp_04	-18.22348517614432	-2.3239937031177345	1.0	-0.980961641059794	2.0	-4.302068104570745	1.0		0.0		0.0		0.0	-1.0222768817267345	3.0	-4.708720682415868	1.0
samp_05	-18.454621453418714	-2.3239985728472727	2.0		0.0	-4.302068762521169	2.0	-4.955464441825086	1.0		0.0	-2.546469907050452	1.0	-1.0222777859852092	2.0		0.0
samp_06	-0.5462745231662078	-2.084621627596598	1.0		0.0		0.0	-4.725470962526318	3.0		0.0	-2.3094031804571116	1.0	-0.7566478749303371	2.0	-4.481399211457224	1.0
samp_07	-20.01932786031395		0.0	-0.9809650037917697	2.0	-4.302068394985592	1.0		0.0	-1.9597072413269658	1.0	-2.5464692084032263	2.0		0.0	-4.708715355287441	2.0
samp_08	-19.399381522202283	-2.3239916081263816	2.0		0.0	-4.302066248737775	3.0		0.0		0.0	-2.5464686316725396	1.0	-1.022276357057842	1.0	-4.7087154379339315	1.0
samp_09	-19.128484857469743	-2.323993918566346	2.0	-0.9809660522486211	1.0	-4.302064384455468	2.0		0.0		0.0	-2.546473765837847	1.0		0.0	-4.708715816368631	2.0
samp_10	-18.31051415034008		0.0	-0.9809618639236684	2.0	-4.302067363025181	2.0	-4.955467746889475	1.0	-1.9597137508723395	2.0		0.0	-1.0222768165670444	1.0		0.0
samp_11	-18.038871254146166		0.0		0.0		0.0	-4.955469377373312	1.0	-1.9597233354714714	1.0	-2.546457931286105	1.0	-1.0222830245163423	2.0	-4.708725824818044	3.0
samp_12	-19.117919801175503	-2.324003531139493	1.0		0.0	-4.3020670858853345	3.0	-4.955467347154558	1.0	-1.9597146561737597	1.0	-2.546458976525366	1.0	-1.0222811130689657	1.0		0.0
samp_13	-19.343713190655986	-2.3239950712065403	1.0	-0.9809646195518349	1.0	-4.302067068725301	2.0		0.0	-1.959706231537345	1.0		0.0	-1.0222764668485975	1.0	-4.7087148895394035	2.0
samp_14	-18.282894560964806	-2.3239936647033326	1.0		0.0	-4.302067798318126	2.0		0.0		0.0	-2.546481799067106	2.0	-1.0222576024860714	2.0	-4.708719329778432	1.0
samp_15	-16.78303449609193		0.0	-0.9809644754225545	2.0		0.0	-4.955453125703202	1.0	-1.9597058635853095	1.0	-2.546471793651589	3.0		0.0	-4.70869504722915	1.0
samp_16	-17.86549539105902	-2.3239831961895803	1.0		0.0		0.0	-4.955482846741718	1.0	-1.9597066840355415	2.0	-2.5464676733685776	2.0	-1.0222611993604114	2.0		0.0
samp_17	-17.667339190746713	-2.3240381741079132	1.0	-0.981098856380878	1.0		0.0		0.0		0.0	-2.5464424954501075	1.0	-1.0223213876903023	2.0	-4.7087027271835105	3.0
samp_18	-16.892014725120056	-2.323958831000604	1.0		0.0	-4.302106383461588	2.0	-4.955443846698001	1.0		0.0		0.0	-1.0222530758370456	3.0	-4.70870750502042	1.0
samp_19	-17.1606460121806	-2.323988138830181	1.0		0.0	-4.30209324268576	1.0	-4.955481017313013	1.0	-1.9597056392784757	3.0	-2.5464655195167785	1.0		0.0	-4.708721195553147	1.0
samp_20	-19.095001560884818		0.0	-0.9810480127390455	1.0		0.0		0.0	-1.9597576955792588	1.0	-2.5464917290831877	4.0	-1.022306015246988	1.0	-4.708799874930122	1.0
samp_21	-16.19386843841969	-2.323952325417067	3.0	-0.9809372954677854	1.0	-4.3020319789894295	1.0	-4.955560921608232	1.0	-1.9597218755991705	1.0		0.0		0.0	-4.708753891511196	1.0
samp_22	-18.139035569704625	-2.3240105564390663	1.0	-0.9809043293768813	1.0		0.0		0.0	-1.9597299063437963	2.0	-2.546498810484318	1.0	-1.022263603494801	2.0	-4.708715193181671	1.0
samp_23	-17.740834056143633	-2.323995604266722	2.0	-0.9809747755002715	1.0	-4.302067719324226	2.0	-4.955489376068033	1.0		0.0		0.0	-1.0222981527655868	1.0	-4.708729249886329	1.0
samp_24	-18.701686712977324		0.0	-0.9809623433974132	1.0	-4.302066418064295	1.0		0.0	-1.9597085274836183	1.0	-2.5464737881213844	1.0		0.0	-4.708715648095714	4.0
samp_25	-19.37534861506739	-2.323993730952042	1.0	-0.9809660221649911	2.0	-4.302067467696138	1.0		0.0	-1.9597084589171212	1.0		0.0	-1.0222752955573562	1.0	-4.708715122683022	2.0
samp_26	-17.477353518786625		0.0		0.0	-4.3020689353790385	1.0		0.0	-1.9597071121452379	4.0		0.0	-1.0222756336120538	3.0		0.0
samp_27	-1.556160813502688	-2.225437910034965	1.0	-0.8765842615745202	1.0	-4.206282244706414	2.0	-4.858846261387451	2.0		0.0		0.0	-0.9163611398939292	2.0		0.0
samp_28	-20.2357446340394	-2.3239968241779714	1.0	-0.9809571225008612	1.0		0.0	-4.955460597795802	1.0	-1.959704045022116	3.0	-2.5464774441435	1.0		0.0	-4.708715623189823	1.0
samp_29	-16.57380725448331	-2.3239874624656043	1.0	-0.9809939578490424	1.0	-4.3020744261293045	2.0	-4.955443153700647	1.0	-1.9597420901881402	1.0		0.0	-1.0222532220203018	2.0		0.0
samp_30	-1.859922308308991	-2.2497136357413123	1.0		0.0		0.0	-4.882392682240167	2.0	-1.8836374777593583	1.0	-2.472622015222146	1.0	-0.9429015008588933	2.0	-4.636586410121245	1.0
samp_31	-0.5271158530925236		0.0	-0.7143471916959228	2.0		0.0	-4.721927968608652	3.0	-1.7086458897565497	1.0	-2.305643921425066	1.0		0.0	-4.477875130744649	1.0
samp_32	-18.17187334635282	-2.3239951286014997	3.0	-0.9809737861353647	2.0	-4.302077903343149	1.0		0.0	-1.9597246859685387	2.0		0.0		0.0		0.0
samp_33	-19.417627245832257	-2.3239942206246744	2.0	-0.9809645337775899	2.0		0.0		0.0		0.0	-2.5464692176724624	2.0	-1.022277641297316	2.0		0.0
samp_34	-2.242308048090961		0.0		0.0	-4.2515614209195745	1.0	-4.9044618892494976	2.0	-1.906849067822463	2.0		0.0	-0.9673511463755694	2.0	-4.6583821972716795	1.0
samp_35	-18.101765079980556	-2.3240002979858447	1.0	-0.9809616699680077	1.0	-4.302045962409673	1.0		0.0	-1.9596973900462331	2.0		0.0	-1.0222696146267714	2.0	-4.708700216323443	1.0
samp_36	-1.822515699271328	-2.2470598248572995	2.0		0.0	-4.22710008028927	2.0	-4.879805922127885	2.0		0.0	-2.4699867618506293	1.0	-0.9400131147931969	1.0		0.0
samp_37	-18.58160420830469		0.0	-0.9809604216892143	1.0	-4.302068156900874	3.0	-4.955456710234813	1.0	-1.9597144556667854	3.0		0.0		0.0		0.0
samp_38	-16.274045643419036		0.0	-0.9809562913171602	2.0		0.0	-4.955469487349467	1.0	-1.9597097883564094	1.0	-2.546484847665092	2.0	-1.0222816261347585	1.0	-4.708702116749379	1.0
samp_39	-17.204746920385656		0.0	-0.9809329887341384	3.0	-4.302076464107406	1.0	-4.955449613986998	1.0	-1.9597232857820306	2.0		0.0	-1.0222703194617457	1.0		0.0
samp_40	-18.400000142605055	-2.3239668627364747	1.0		0.0	-4.302035970249508	1.0		0.0		0.0	-2.546464959172569	2.0	-1.0222736126729874	1.0	-4.708731491946741	3.0
samp_41	-18.631844183591962		0.0	-0.9809646666490455	3.0	-4.30206670994068	1.0		0.0	-1.959711776630854	2.0		0.0	-1.0222764362630115	2.0		0.0
samp_42	-19.163731104692328	-2.3239940030865927	2.0	-0.980965209619077	1.0	-4.302068133054301	2.0		0.0	-1.9597076623860334	2.0		0.0	-1.022277034228761	1.0		0.0
samp_43	-1.6681785935640843		0.0	-0.8870717658242098	1.0		0.0	-4.8682368143474894	2.0	-1.8686481235456764	1.0	-2.458162897363439	1.0	-0.927007971235476	2.0	-4.622602421986425	1.0
samp_44	-0.48004475544831127		0.0	-0.7032097117348114	2.0	-4.060900366524642	1.0	-4.713045580292732	3.0	-1.6986230089610197	1.0	-2.296198934186622	1.0		0.0		0.0
