run	log_tbg	log_alphap	log_betap	b14A8_log_P	b14A8_weight	b14A9_log_P	b14A9_weight	b14B1_log_P	b14B1_weight	b14B2_log_P	b14B2_weight	b14B3_log_P	b14B3_weight	b14B4_log_P	b14B4_weight	b14B5_log_P	b14B5_weight	b14B6_log_P	b14B6_weight	b14B7_log_P	b14B7_weight	b14B8_log_P	b14B8_weight	b14B9_log_P	b14B9_weight	b14C1_log_P	b14C1_weight	b14C2_log_P	b14C2_weight	b14C3_log_P	b14C3_weight	b14C4_log_P	b14C4_weight	b14C5_log_P	b14C5_weight	b14C6_log_P	b14C6_weight	b14C7_log_P	b14C7_weight	b14C8_log_P	b14C8_weight	b3E5_log_P	b3E5_weight
samp_90	-5.8681519517433784	4.7618660065887575	-0.22667916362598978	-10.463647396382108	2.0	-12.410718870737325	1.0		0.0		0.0		0.0	-5.400708325472391	3.0	-11.24036592436294	2.0	-6.4301415451425195	2.0		0.0		0.0	-11.91546188246971	1.0	-10.082828755617921	2.0		0.0	-5.785217519691936	1.0	-9.259723131454013	1.0	-3.647671033449073	1.0	-5.396743126083547	2.0	-5.213822443986168	1.0	-5.129081540257697	1.0		0.0
samp_91	-5.876205754789518	4.573110357353051	-0.10581761865793014	-10.393259495153316	1.0	-12.338845743910591	1.0		0.0	-11.069350915429453	2.0	-10.206003912140334	1.0	-5.397206687638276	1.0		0.0	-6.407268696482317	3.0		0.0	-3.5224248208422035	1.0	-11.844095307056062	1.0	-10.01805421815704	1.0	-3.4570696949213775	1.0	-5.7753452937184315	2.0	-9.196797634492096	1.0		0.0	-5.391937338896011	1.0	-5.214565843581776	2.0	-5.128854391691708	1.0		0.0
samp_92	-5.8277478201037045	4.908282151548287	-0.2609557124845734		0.0	-12.544408560391181	2.0		0.0		0.0	-10.391912868203327	2.0		0.0		0.0	-6.481924143860158	1.0		0.0	-3.5016908213778475	2.0	-12.0433313192917	2.0	-10.19588789925881	2.0		0.0		0.0	-9.374388315723051	1.0	-3.6464881711305206	2.0	-5.427252144338757	2.0	-5.2390248672720245	1.0	-5.154247280847473	1.0	-4.511489584584654	2.0
samp_93	-5.757348686468515	4.517304378585941	-0.09261671861841046	-10.378793975767625	1.0		0.0		0.0		0.0	-10.18940373822408	3.0	-5.3875841576417445	3.0	-11.15759911175106	1.0		0.0	-7.235699038426837	1.0	-3.5236947920779564	2.0	-11.847358998615599	4.0		0.0		0.0	-5.764611018558667	1.0		0.0		0.0	-5.3819059730885925	1.0	-5.206042083590746	1.0		0.0	-4.502723356419132	2.0
samp_94	-5.9320416760555235	4.294332778295801	0.04175021190813356	-10.24631560560331	1.0	-12.179294791968422	3.0	-5.927299270279766	2.0	-10.92983861878999	2.0	-10.066233578028331	1.0	-5.368405376676665	1.0	-11.032899809592774	1.0	-6.3505018219372005	1.0	-7.166327283877174	2.0		0.0		0.0		0.0		0.0		0.0	-9.066124309091043	2.0	-3.6965786489976566	1.0		0.0	-5.1921811497159815	1.0	-5.10625409780355	1.0	-4.504304054322163	1.0
samp_95	-5.872243113051903	4.628079072229164	-0.12703823113824408	-10.428362539428717	1.0	-12.374562232161798	2.0	-5.987107639884556	1.0	-11.103064451429347	1.0		0.0		0.0		0.0	-6.422034677543894	1.0		0.0		0.0	-11.879592113535194	1.0	-10.050372612166298	1.0	-3.455735644905321	2.0	-5.78601294967407	3.0		0.0	-3.6669605733602215	2.0	-5.400629268493524	1.0	-5.221533816739957	1.0	-5.135845835305992	1.0	-4.51064314434263	2.0
samp_96	-5.862253058987319	4.09072127169974	0.15020990738295545		0.0	-12.121277378461501	2.0	-5.893590457081695	1.0		0.0	-9.990899193275398	1.0	-5.345219075329744	2.0		0.0		0.0	-7.122591487477128	3.0		0.0		0.0		0.0		0.0	-5.707830606335535	4.0	-9.001843296946722	4.0	-3.7166996189070507	1.0		0.0		0.0		0.0	-4.498369932957398	2.0
samp_97	-5.715091759567631	4.6380286983824615	-0.2145000924509493	-10.386931677669164	1.0	-12.390885661584756	1.0	-5.951921089503958	1.0		0.0		0.0	-5.370393396391632	2.0		0.0	-6.387766202336189	1.0	-7.235245176669028	2.0	-3.4995834010784597	1.0	-11.863807569377366	1.0		0.0		0.0		0.0	-9.196835402273104	1.0	-3.6447863854650215	6.0		0.0	-5.18668152635682	2.0		0.0	-4.4806176062430865	1.0
samp_98	-5.971577448879423	4.24840905566241	0.05705873510347125		0.0		0.0	-5.913429508177273	1.0		0.0	-10.027183328049393	3.0	-5.357702056487008	1.0	-10.994413389349177	2.0		0.0	-7.144779796038134	3.0		0.0	-11.646044610037986	1.0	-9.849637836586831	3.0		0.0	-5.723832975444471	1.0		0.0	-3.697585915075167	1.0	-5.350947229933596	1.0	-5.18260262715956	1.0	-5.096851776035129	2.0		0.0
samp_99	-5.740092823051197	4.4811329959010475	-0.06950112795588256	-10.36978539133732	1.0		0.0	-5.959044425115904	2.0	-11.04442191184423	1.0		0.0		0.0		0.0	-6.3909999507862985	1.0	-7.231356372873068	2.0	-3.528081128463047	1.0	-11.841435453890478	1.0		0.0	-3.460321755312138	1.0	-5.762775329138821	2.0	-9.181357909230792	3.0	-3.675957559122589	1.0		0.0	-5.205906549867736	1.0	-5.119755240780891	2.0	-4.5044025288298535	1.0
