run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight	b2B9_log_P	b2B9_weight	b2H4_log_P	b2H4_weight	b2H1_log_P	b2H1_weight	b2H5_log_P	b2H5_weight	b2H7_log_P	b2H7_weight	b2F8_log_P	b2F8_weight	b2F6_log_P	b2F6_weight	b2G5_log_P	b2G5_weight	b2F9_log_P	b2F9_weight	b2F7_log_P	b2F7_weight	b2G2_log_P	b2G2_weight	b2G6_log_P	b2G6_weight	b2A7_log_P	b2A7_weight	b2A1_log_P	b2A1_weight	b2A9_log_P	b2A9_weight	b2A4_log_P	b2A4_weight	b2A8_log_P	b2A8_weight
samp_09	14.101383336806677	-4.899604389216304	2.0		0.0		0.0	-4.51591949478621	1.0		0.0	-4.716619983242418	1.0	-4.684388286706728	1.0	-5.058313143112484	2.0	-1.4807746654840652	1.0	-3.965390248156256	1.0		0.0	-7.975550195662784	1.0	-5.013290591526032	1.0	-0.3490569262802672	1.0	-4.30987240632391	3.0	-4.715176653588885	1.0		0.0	-6.4514985393619755	1.0	-10.15436905922238	1.0	-6.915649351914147	2.0	-6.656648909171747	1.0	-7.789737265254615	1.0	-6.897753280343691	2.0		0.0	-12.297554243344507	1.0		0.0	-11.699940645046468	1.0		0.0	-10.583110293113274	1.0	-5.121682884771916	2.0	-10.380914225460966	2.0	-7.400024105842186	1.0		0.0	-5.374859584598571	1.0	-10.528506639696811	2.0
samp_10	2.7548694016386985	-4.883379911593024	2.0	-2.100520751589628	1.0		0.0	-4.503650603986966	1.0		0.0	-4.701117897954828	1.0		0.0	-5.040940891456295	2.0	-1.4816027807847176	1.0	-3.9611266151343973	3.0		0.0		0.0	-4.996843264254791	1.0		0.0		0.0	-4.700628284030568	2.0		0.0		0.0	-10.092317294360443	1.0	-6.88197015774791	1.0	-6.624883639053701	1.0	-7.748611948898153	2.0	-6.864058672490353	2.0	-4.974359267664878	2.0	-12.236656405337131	2.0		0.0	-11.640409184663524	2.0	-5.040145286304571	2.0	-10.522091741587317	1.0	-5.103418365265466	1.0		0.0	-7.359894394476742	2.0	-7.290694448412576	2.0		0.0		0.0
samp_11	2.6914534016667595	-4.882330787399683	2.0	-2.100595587011845	2.0	-4.7537239838638765	1.0		0.0	-0.5865527583987113	1.0		0.0		0.0		0.0	-1.4816751335158305	1.0		0.0		0.0		0.0		0.0	-0.3485579618743289	1.0	-4.299431682679896	2.0	-4.699682962557351	2.0	-5.310078300989587	1.0	-6.419409545128075	2.0	-10.088384156100883	2.0		0.0		0.0	-7.746022400715139	1.0	-6.861929113366977	1.0	-4.9732810440556685	3.0	-12.232823710489004	1.0	-6.659012486988102	2.0	-11.636637291931386	2.0	-5.039049118319199	1.0		0.0	-5.102242193744293	2.0	-10.315989071187015	1.0	-7.357367944595899	1.0	-7.288307409072824	1.0	-5.354312238139244	2.0		0.0
samp_12	17.44764392792999	-4.899614615157778	2.0		0.0	-4.769360438202289	1.0		0.0		0.0		0.0		0.0	-5.058299160740545	3.0	-1.4807760799179182	2.0		0.0	-4.456271339513227	1.0	-7.975576778629011	2.0		0.0		0.0		0.0	-4.715176816169573	1.0	-5.332256094490912	1.0	-6.451471120022144	2.0	-10.154365116198434	2.0	-6.91566126335224	3.0	-6.656619866282966	2.0		0.0		0.0	-4.991012499390397	2.0	-12.297537278212392	1.0	-6.693199207613424	1.0	-11.699930183416523	1.0		0.0	-10.583116451630444	2.0	-5.1216791390471315	1.0	-10.380915577898765	2.0	-7.400022105026393	1.0	-7.328551011903256	1.0		0.0	-10.52850922299103	1.0
samp_13	2.218173423230406		0.0		0.0		0.0		0.0	-0.586406500358338	1.0	-4.690308675601034	1.0	-4.661658956558987	2.0	-5.02888132820878	2.0	-1.482169950893115	2.0	-3.957861204306328	2.0		0.0	-7.902223768448099	1.0		0.0	-0.3483147851293398	2.0		0.0		0.0		0.0		0.0	-10.050544403083277	1.0	-6.859353234410603	1.0	-6.603500322168235	1.0	-7.721168687701257	2.0		0.0	-4.96277422949003	2.0	-12.195585181491978	2.0	-6.639416194027578	2.0		0.0	-5.028354566503979	1.0	-10.481009030495246	1.0	-5.09077898352123	2.0	-10.278731430528946	1.0	-7.333123705889459	2.0	-7.265376975251924	3.0		0.0	-10.42677272543492	1.0
samp_14	14.671481747629658		0.0	-2.0993509073267176	1.0	-4.769360499081855	1.0	-4.515920080245016	1.0	-0.5867797407996369	3.0	-4.716618895846812	1.0		0.0		0.0	-1.480773228051903	2.0	-3.965388269865443	4.0		0.0		0.0	-5.013291164072889	1.0		0.0	-4.309862973154428	3.0	-4.715176591025119	1.0		0.0	-6.451503051599393	2.0		0.0	-6.915642068518989	1.0	-6.656649253683086	2.0		0.0		0.0	-4.991002898055736	2.0	-12.297570608283221	4.0		0.0	-11.699946373979188	2.0	-5.05709691416426	1.0		0.0	-5.121681763068072	2.0		0.0		0.0	-7.3285543304257565	1.0		0.0		0.0
samp_15	17.02788773009728	-4.899600186700184	2.0	-2.099354460198307	1.0	-4.769360143567694	1.0	-4.515917525110338	2.0	-0.5867829594752296	2.0	-4.71661982647517	1.0		0.0	-5.05830782866023	1.0		0.0	-3.9653899706944125	1.0	-4.456271566453004	1.0		0.0	-5.013290455465421	1.0		0.0	-4.309863203702924	1.0	-4.715175952838288	2.0	-5.332258199753004	1.0	-6.451501753521941	2.0	-10.154371954638695	1.0	-6.915646103071901	2.0		0.0	-7.789739551018683	1.0	-6.897743641118874	3.0	-4.990999817828996	2.0	-12.297594016457055	1.0		0.0	-11.699942075824472	2.0		0.0		0.0		0.0	-10.38092109672747	1.0		0.0	-7.328557164384991	1.0	-5.374855648567666	2.0		0.0
samp_16	15.897765643708658	-4.899625009474773	2.0	-2.0993457063839536	1.0	-4.7693588946997645	1.0		0.0	-0.5867712162219988	2.0	-4.7166337815087145	2.0		0.0	-5.058302781755129	1.0		0.0		0.0	-4.456277565145747	2.0	-7.975506655399457	2.0	-5.013302707495219	2.0	-0.3490426381907655	1.0		0.0		0.0	-5.3322533587730785	1.0		0.0	-10.154356984747327	3.0	-6.915647052711455	1.0	-6.656594335769492	2.0		0.0	-6.897745491865251	1.0	-4.990998271065149	1.0		0.0	-6.693197980853659	1.0	-11.699962891805233	1.0		0.0	-10.583113972743712	2.0	-5.121674628720371	1.0	-10.380919731617025	1.0		0.0	-7.328565835258894	3.0		0.0	-10.52851782689563	1.0
samp_17	3.8629754582760145		0.0	-2.0997321756136134	1.0	-4.7644867341529675	1.0		0.0	-0.586711304997597	3.0	-4.711464554532097	1.0	-4.679972922646458	1.0	-5.052522875761611	1.0		0.0	-3.96402551665577	1.0	-4.452897503050053	2.0		0.0	-5.007819574622929	1.0		0.0		0.0		0.0	-5.325286514048444	2.0	-6.441329127361224	1.0		0.0	-6.904277088132282	3.0	-6.6459337596305454	1.0	-7.775816730777535	1.0	-6.886372099301894	1.0		0.0	-12.27704867969018	2.0	-6.682352553098295	1.0	-11.67988470190831	1.0	-5.051455721949451	2.0	-10.562537125031087	1.0	-5.115591165412863	3.0		0.0	-7.386437482513159	1.0		0.0	-5.368415789420377	2.0	-10.507988223983475	1.0
samp_18	3.5947062096729203		0.0	-2.0998630300454155	2.0	-4.7629937000844285	1.0	-4.510616105954352	1.0	-0.586680534467272	2.0	-4.709885976791952	1.0		0.0	-5.050753721541065	1.0		0.0	-3.9636008925390684	1.0	-4.451855613348284	1.0	-7.956136329677717	1.0	-5.006144151391471	2.0		0.0	-4.30565116854453	2.0	-4.708867613996274	1.0		0.0		0.0	-10.127082217476751	2.0	-6.90082695414933	1.0	-6.6426822545414215	2.0	-7.771602828639024	1.0	-6.882922045909165	1.0	-4.983769443674617	1.0	-12.270796472148467	2.0		0.0	-11.673776690966061	1.0	-5.049728087013247	1.0	-10.55629384807091	4.0		0.0	-10.354069566855795	1.0		0.0	-7.311869869458293	1.0	-5.366448544354881	1.0		0.0
samp_19	3.5761634228395103	-4.8924213265434595	2.0		0.0		0.0	-4.510515890239402	1.0	-0.58669453174322	1.0	-4.709759712237336	1.0	-4.678505657002862	2.0	-5.050612683097842	1.0		0.0	-3.963566707836128	1.0	-4.451771678929778	1.0	-7.955778254516361	1.0	-5.006012572114488	2.0	-0.34884849025128645	2.0	-4.305570913814063	2.0	-4.70874902129894	1.0	-5.3229891088867785	1.0		0.0	-10.126577469367334	1.0	-6.900556023758354	1.0	-6.642425691196193	2.0	-7.771270514517067	2.0		0.0		0.0	-12.270297753577152	2.0	-6.678805175826044	2.0		0.0	-5.049590357358766	1.0	-10.55579459119042	1.0	-5.113579859126406	1.0	-10.353567676094482	1.0	-7.382003441898171	1.0		0.0	-5.3662925279252525	1.0		0.0
samp_20	2.029643207948333		0.0	-2.1016998434487997	1.0	-4.739302976190164	4.0		0.0		0.0	-4.684975773146744	1.0		0.0	-5.0229466438948025	2.0	-1.4824520918084003	2.0		0.0	-4.4349608540703835	1.0		0.0	-4.979727792808232	5.0	-0.3481577631455566	1.0	-4.289558972938216	1.0	-4.6853976825257915	1.0	-5.290088192966574	1.0		0.0		0.0	-6.848426628073022	1.0		0.0	-7.7079541091288295	1.0	-6.830504507245359	1.0	-4.957065091100558	1.0	-12.175710018302214	1.0		0.0		0.0	-5.022544132888691	1.0	-10.461123233680642	1.0		0.0	-10.258844297791033	1.0	-7.320234637132869	3.0	-7.253173763624232	2.0		0.0	-10.406966826080252	2.0
samp_21	2.8033603424273164	-4.88413937765116	1.0	-2.1004669769270996	3.0	-4.755367170407436	1.0		0.0	-0.5865639849464223	1.0	-4.701843535929295	1.0		0.0	-5.041753639855793	3.0	-1.4815616089730002	2.0		0.0	-4.4464932398107075	2.0		0.0	-4.997612199156349	3.0	-0.34857778008145524	1.0	-4.30054201248889	2.0		0.0		0.0		0.0	-10.095162861825113	2.0		0.0	-6.626342172553486	1.0		0.0	-6.86560212621375	2.0		0.0	-12.23949052634676	1.0		0.0	-11.64314222929428	3.0		0.0		0.0		0.0	-10.322650052980546	2.0		0.0	-7.292428462334792	3.0		0.0	-10.470489502623824	1.0
samp_22	1.7786878906582642	-4.8573566540204896	1.0	-2.1023257408302674	1.0	-4.730928139910902	1.0		0.0	-0.5861945478527021	2.0		0.0	-4.64929189851274	1.0	-5.0132098379979295	2.0	-1.4829130476305243	2.0	-3.9532573030034706	2.0	-4.4288368189414955	2.0	-7.865474470953167	2.0		0.0		0.0		0.0	-4.677102880203385	4.0	-5.278657515260814	1.0		0.0	-9.997730199523584	2.0	-6.830798950723158	2.0		0.0	-7.686705079183332	1.0		0.0		0.0		0.0	-6.612056593716833	1.0		0.0	-5.013013477017677	1.0		0.0	-5.074395592935918	1.0	-10.226729238256997	1.0	-7.299512122299642	4.0		0.0		0.0	-10.374977033575275	1.0
samp_23	15.673321920408858	-4.899604310971538	1.0	-2.099352457717098	1.0		0.0		0.0	-0.5867784798002874	2.0	-4.716620441491473	1.0	-4.684387075577265	3.0		0.0	-1.480768062680109	1.0		0.0	-4.456271523073113	2.0	-7.975549321226977	3.0	-5.013290152911211	3.0		0.0		0.0		0.0	-5.3322583834100685	2.0	-6.451499060834111	1.0	-10.154371050001112	1.0	-6.9156477740291455	3.0	-6.656649501749717	1.0	-7.789736830243754	1.0	-6.897749575122771	3.0		0.0		0.0		0.0		0.0	-5.057095998258562	1.0	-10.583118461354301	3.0		0.0		0.0	-7.400020313926404	1.0	-7.328552935185433	1.0		0.0		0.0
samp_24	2.553697176836939		0.0		0.0		0.0	-4.500923792991642	2.0	-0.5865007721107344	1.0		0.0		0.0		0.0		0.0		0.0	-4.443701863620397	1.0	-7.922181884500726	1.0	-4.993224021070665	2.0		0.0		0.0	-4.6974204145531795	1.0	-5.306878087969301	2.0	-6.414847899350123	1.0	-10.079020667681474	1.0	-6.874766023993433	1.0	-6.618073245322213	3.0	-7.73984808915102	2.0	-6.856853461063634	1.0	-4.970705395789875	1.0	-12.223598226186999	1.0		0.0		0.0	-5.036421010765343	2.0	-10.509016065588318	2.0	-5.09942057827557	2.0		0.0	-7.351347122193442	2.0		0.0	-5.351339782761028	3.0	-10.4546799864572	3.0
samp_25	18.510869127041076	-4.899608873698306	2.0	-2.0993493722216274	2.0	-4.769357140695429	2.0	-4.515918841450504	1.0	-0.5867098336481612	1.0	-4.716618965259876	1.0	-4.684387479875391	1.0	-5.058310358422731	2.0	-1.4807777429951376	1.0		0.0	-4.456268421678793	2.0	-7.975547450657528	1.0	-5.0132895386765925	1.0	-0.3489934545765936	1.0		0.0	-4.715175712562614	1.0	-5.332250145503386	2.0	-6.451511044027268	2.0	-10.154386958810491	2.0		0.0	-6.656653448069768	1.0		0.0	-6.8977529163651266	2.0	-4.991001506549775	1.0	-12.297550891459734	2.0	-6.6932041653657945	1.0	-11.699913747961949	1.0	-5.057095342461429	1.0		0.0		0.0		0.0		0.0	-7.32855471754109	1.0		0.0		0.0
samp_26	5.57996906380714		0.0	-2.099423383706349	3.0	-4.768483128311316	1.0	-4.515190226107407	1.0	-0.5867288357911672	1.0	-4.715692125852141	2.0		0.0	-5.057263989104314	2.0		0.0	-3.9651493682573666	1.0	-4.455666982812362	1.0	-7.972843468867442	1.0	-5.012304422263052	2.0		0.0	-4.309286561132782	1.0		0.0		0.0		0.0	-10.150579231660942	1.0	-6.91358751124668	1.0	-6.654708550005927	2.0	-7.787207480034601	2.0	-6.8956870590700285	1.0	-4.99000458932672	1.0		0.0	-6.691233312149728	3.0	-11.696306413852483	2.0		0.0	-10.579391917293375	1.0		0.0		0.0		0.0	-7.326231214174235	1.0	-5.373697131302316	1.0	-10.524795663905369	3.0
samp_27	18.067168289641433	-4.899596472691696	3.0		0.0	-4.769361846856205	4.0	-4.5159178510983775	1.0		0.0	-4.716623909180473	2.0		0.0		0.0	-1.4807697369911794	1.0		0.0	-4.456270043564276	1.0		0.0	-5.0132892665375355	1.0	-0.3490094799432344	2.0		0.0	-4.715176339270012	1.0	-5.332259154451235	1.0	-6.451501823781235	1.0	-10.154367089203449	1.0	-6.915649700334636	1.0	-6.656648963366258	2.0	-7.789741660954638	4.0		0.0	-4.991001971626013	1.0	-12.297537234656872	1.0	-6.693202742029155	1.0		0.0	-5.057095210950139	1.0		0.0		0.0	-10.38092616027561	1.0	-7.400012454410395	1.0	-7.328563006540102	2.0		0.0	-10.528544624669046	1.0
samp_28	3.2123966995110744	-4.88929429397244	1.0		0.0	-4.760042244753755	2.0	-4.508148196011989	1.0		0.0	-4.706777097367044	3.0		0.0		0.0	-1.481300720070336	2.0		0.0	-4.449789173040537	2.0	-7.947309535236742	1.0	-5.002839487810611	1.0	-0.3487687993931328	2.0	-4.3036820663698805	1.0		0.0	-5.318973089317389	1.0		0.0	-10.114627102078634	1.0	-6.8940743847705805	1.0	-6.6363105895362295	3.0		0.0		0.0		0.0	-12.258593683305104	1.0	-6.672612779598838	2.0	-11.661821617416344	1.0	-5.04632120940579	1.0	-10.544053591051398	2.0	-5.110059205254179	1.0	-10.341815711207204	2.0	-7.374278680410934	1.0		0.0	-5.362567631155018	2.0		0.0
samp_29	2.234732578904858	-4.872522225148761	2.0		0.0		0.0	-4.495319466247924	1.0	-0.5863991232974872	1.0		0.0	-4.662027671293817	1.0	-5.029354944842759	1.0		0.0	-3.9579928278747896	1.0	-4.438939474127393	1.0	-7.90335289584533	1.0	-4.985831422345304	2.0	-0.3483243191311378	4.0	-4.293347632508836	1.0	-4.690839509251353	1.0	-5.29765428369049	1.0	-6.4017541513393255	2.0	-10.052162993504696	2.0	-6.860227894699597	1.0	-6.604327043303438	2.0		0.0	-6.842309542283231	1.0	-4.963229644251921	1.0		0.0		0.0	-11.601867630303804	1.0		0.0	-10.482598891952795	2.0		0.0		0.0	-7.334154340630837	3.0	-7.26635385316811	1.0		0.0	-10.428354051041143	1.0
samp_30	4.779495524118671	-4.897441204357594	1.0	-2.099508032691471	1.0		0.0		0.0	-0.5867546192376053	2.0	-4.714553908752241	1.0	-4.682621927449779	1.0		0.0	-1.4808868544753475	1.0		0.0	-4.45492419459092	1.0	-7.96954183735012	2.0	-5.0110984366782905	1.0	-0.34897898511603803	2.0	-4.308578003113764	1.0	-4.71324417111893	4.0	-5.329458826629307	2.0	-6.447408078904252	1.0		0.0	-6.911070072149648	1.0		0.0		0.0	-6.8931686530007985	1.0		0.0	-12.289281530040766	1.0	-6.688835359028652	1.0	-11.691845732428337	1.0		0.0	-10.574835671131197	2.0	-5.119238662687133	2.0	-10.372630017702885	1.0		0.0		0.0	-5.372274902327454	3.0	-10.520261405094635	1.0
samp_31	4.203232738903621	-4.895758643452225	1.0		0.0	-4.765889744120998	1.0	-4.513031423579978	1.0	-0.5867330304775642	2.0	-4.712944707662696	1.0		0.0	-5.054182389465142	3.0		0.0	-3.964426021770393	1.0	-4.453872473586963	1.0		0.0		0.0	-0.3489341760504082	1.0		0.0		0.0	-5.327287514941222	1.0		0.0	-10.139425615337107	4.0	-6.90753474222192	1.0	-6.649002819966813	2.0	-7.7797963665584	1.0	-6.889627724269393	4.0		0.0	-12.282904980458767	1.0	-6.685459181607022	2.0	-11.685607882351158	3.0		0.0		0.0	-5.117339712624178	1.0		0.0	-7.390330057830423	1.0		0.0	-5.370270248833087	1.0	-10.513874540913037	1.0
samp_32	1.3889536746027111	-4.838158556188024	1.0	-2.1035925320344226	1.0	-4.713271481252874	2.0		0.0	-0.585901145347337	1.0	-4.657814258797284	1.0		0.0	-4.992859181673106	1.0	-1.483872154994524	1.0	-3.9466932174156817	2.0	-4.415670955207645	1.0		0.0	-4.950971453751285	1.0	-0.34737389216100595	1.0	-4.271192873306811	1.0	-4.659611634151818	1.0	-5.254944028155201	1.0		0.0		0.0		0.0	-6.542374056276525	2.0		0.0		0.0		0.0		0.0	-6.5776262179810026	1.0	-11.4857343169545	2.0		0.0	-10.363530782477703	1.0	-5.053170040494226	1.0	-10.161284352818315	4.0	-7.257582017958745	3.0		0.0	-5.302665080253994	3.0	-10.309787856634006	2.0
samp_33	3.556793041670604	-4.892282578937552	3.0	-2.099882963762351	4.0		0.0		0.0		0.0	-4.70963058532319	1.0	-4.678395483081476	2.0	-5.050464604048905	1.0	-1.4811533957894703	1.0		0.0		0.0	-7.955393495231036	1.0		0.0		0.0	-4.305492012928297	1.0	-4.708623725109505	2.0		0.0	-6.437736494147037	1.0		0.0	-6.900264044231033	1.0	-6.642150768337844	1.0	-7.7709134009250755	3.0	-6.882359069965233	1.0	-4.983492638586371	1.0		0.0	-6.678523485901304	1.0		0.0		0.0		0.0		0.0	-10.353042970113432	3.0	-7.381652918668198	2.0	-7.311235696145758	3.0		0.0	-10.500762463780957	2.0
