run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight	b2B9_log_P	b2B9_weight	b2H4_log_P	b2H4_weight	b2H1_log_P	b2H1_weight	b2H5_log_P	b2H5_weight	b2H7_log_P	b2H7_weight	b2F8_log_P	b2F8_weight	b2F6_log_P	b2F6_weight	b2G5_log_P	b2G5_weight	b2F9_log_P	b2F9_weight	b2F7_log_P	b2F7_weight	b2G2_log_P	b2G2_weight	b2G6_log_P	b2G6_weight	b2A7_log_P	b2A7_weight	b2A1_log_P	b2A1_weight	b2A9_log_P	b2A9_weight	b2A4_log_P	b2A4_weight	b2A8_log_P	b2A8_weight
fit	3.277968283238134	-4.889944298035139	1.0	-2.100051383606447	1.0	-4.760630581212943	1.0	-4.508640968178209	1.0	-0.5866473014097514	1.0	-4.707391535220905	1.0	-4.67647272656676	1.0	-5.047959637036579	1.0	-1.4812678418934984	1.0	-3.9629138426915267	1.0	-4.450202107157333	1.0	-7.949063144407978	1.0	-5.003498889568487	1.0	-0.34880342862679087	1.0	-4.304076092302545	1.0	-4.706526225802324	1.0	-5.319806612125832	1.0	-6.433391800829485	1.0	-10.117108874408954	1.0	-6.895416069353395	1.0	-6.637577305943758	1.0	-7.764994760893583	1.0	-6.877509612494378	1.0	-4.981091451981777	1.0	-12.261012169719717	1.0	-6.6738949963777205	1.0	-11.664190059211784	1.0	-5.047000612736452	1.0	-10.546484537026686	1.0	-5.1107903572766515	1.0	-10.344249135082062	1.0	-7.375879154770858	1.0	-7.305787358259477	1.0	-5.363343366869346	1.0	-10.49200667289823	1.0
samp_00	22.387986869649176	-4.899605632585737	2.0		0.0		0.0	-4.515917863129236	1.0	-0.5867765699568024	3.0		0.0	-4.68438717104525	1.0		0.0		0.0		0.0		0.0		0.0		0.0	-0.3490629658639433	1.0	-4.309863240243949	2.0		0.0	-5.332259794785368	4.0		0.0	-10.154367527075589	1.0	-6.915647785521042	3.0	-6.656652864609345	1.0		0.0	-6.8977480304257845	3.0		0.0	-12.29759524954648	1.0	-6.693203950088768	1.0	-11.699938295188284	1.0	-5.057095866679107	2.0	-10.583120878127033	1.0	-5.121680557728581	2.0		0.0	-7.4000233214262545	1.0		0.0	-5.374858963676097	1.0	-10.528514106034082	3.0
samp_01	15.70913859648872	-4.8996043678345	3.0		0.0	-4.769364344847782	2.0		0.0		0.0	-4.716620955561816	1.0	-4.684390307841301	2.0	-5.058306608692078	1.0	-1.4807810549681364	2.0		0.0	-4.4562733691822976	1.0		0.0		0.0		0.0		0.0	-4.715176294204237	1.0	-5.332259369598725	1.0	-6.451489517587433	2.0		0.0		0.0		0.0	-7.789741167089195	2.0	-6.897748088679627	3.0	-4.9910013951692145	1.0	-12.297573350824644	1.0	-6.69319693146502	1.0	-11.699941863519378	1.0	-5.0571036712148905	3.0	-10.583114810982286	1.0	-5.121682704472758	2.0	-10.380907732574242	1.0		0.0	-7.328544719737466	1.0	-5.374846800586016	2.0		0.0
samp_02	2.280560997232115	-4.873713106058183	1.0	-2.1011997328636047	1.0	-4.745882734702612	1.0		0.0	-0.586437438783473	2.0		0.0		0.0	-5.030623653110037	1.0	-1.4820714734399338	1.0		0.0	-4.4397232067457235	1.0	-7.906399778329183	4.0	-4.987038202180717	1.0	-0.34835590169046354	1.0	-4.294093838007504	1.0		0.0	-5.299156460603727	1.0	-6.4038783547794775	1.0		0.0	-6.862582715398467	2.0	-6.6065553900873795	1.0	-7.7250763027144815	2.0	-6.844664166619423	1.0		0.0	-12.20146172708164	1.0		0.0	-11.606058271668957	1.0		0.0		0.0	-5.092599930645328	1.0		0.0	-7.336935817931162	3.0	-7.268986798938122	2.0	-5.344140400295503	2.0	-10.432622282369545	2.0
samp_03	4.2988205369399415	-4.896108293724784	2.0		0.0		0.0	-4.513293950189875	2.0		0.0	-4.713281778677235	1.0	-4.681531752778111	2.0		0.0		0.0	-3.9645150961490176	2.0	-4.454091071581468	1.0	-7.965865406961877	1.0		0.0	-0.3489420994835723	1.0	-4.307784324618052	3.0	-4.712052057677929	3.0	-5.327738125977648	1.0	-6.444904303645823	2.0		0.0		0.0	-6.649693912973404	2.0	-7.7806907328271935	2.0	-6.890361498090872	1.0	-4.9874160584487655	1.0	-12.284238218132883	1.0		0.0		0.0	-5.053442357174692	2.0	-10.569759260255884	2.0		0.0		0.0	-7.391200216525432	2.0		0.0		0.0	-10.515193066642128	1.0
samp_04	2.8434870052081243	-4.884740324017485	1.0	-2.1004235984857265	1.0	-4.755911683798881	2.0	-4.504687328741977	2.0	-0.586583542499497	4.0		0.0	-4.672179977408219	2.0		0.0	-1.4815212649464333	1.0		0.0	-4.446880904187563	2.0	-7.935150007175677	1.0		0.0		0.0		0.0	-4.701851373293875	1.0	-5.3131529903319095	2.0	-6.423811816654899	1.0	-10.097424925728896	3.0	-6.884739205395534	1.0	-6.62749877496042	1.0	-7.751980002938953	1.0		0.0		0.0		0.0	-6.663700162780485	2.0	-11.645316255403	1.0	-5.0415623976142525	2.0		0.0		0.0		0.0	-7.363183502286482	1.0	-7.293798078102115	2.0	-5.357167747572074	1.0		0.0
samp_05	2.2401742411283037	-4.872665033741835	2.0	-2.101274977025572	3.0	-4.744928207957206	1.0		0.0	-0.5864150822664822	2.0		0.0	-4.662145260304802	2.0	-5.029508033118391	1.0	-1.4821384318707829	1.0		0.0		0.0		0.0	-4.985975159012611	2.0		0.0	-4.2934391849097695	1.0		0.0	-5.297833747823667	1.0		0.0	-10.052684612978872	1.0		0.0	-6.60459359823231	1.0		0.0		0.0	-4.963379681680905	4.0	-12.197699202284932	2.0	-6.640521971907671	1.0	-11.602379015166166	3.0		0.0	-10.48311140970553	2.0	-5.09143750771532	2.0	-10.280837237046622	1.0	-7.33449065482452	1.0		0.0	-5.342907890117101	1.0		0.0
samp_06	2.22288932866638	-4.872205901723895	1.0	-2.101306346577883	2.0		0.0		0.0		0.0	-4.69043226583283	2.0	-4.661763965871928	1.0	-5.029017742798492	1.0	-1.482167676816404	1.0		0.0	-4.438731496983919	2.0	-7.902544379892028	1.0	-4.985510238550219	1.0		0.0		0.0	-4.69055417988363	1.0	-5.297257383252017	2.0	-6.401193288067667	2.0	-10.05100257491983	3.0	-6.8596046452790445	1.0		0.0	-7.72146694152774	1.0	-6.841685810655883	1.0	-4.962905633899815	2.0	-12.196059546981617	1.0		0.0	-11.600768434573075	1.0	-5.028486702628952	1.0	-10.481456428757047	2.0		0.0		0.0	-7.333410417087221	3.0	-7.265655268151294	1.0	-5.342365327582743	1.0		0.0
samp_07	2.617775377685165	-4.881026783574556	1.0	-2.100688246302217	4.0		0.0		0.0	-0.586530345234477	3.0	-4.698867568353927	1.0		0.0		0.0		0.0	-3.960467018185224	2.0		0.0	-7.925354101462264	1.0	-4.994456708888708	1.0	-0.3485506582180844	2.0		0.0		0.0	-5.308420931164481	1.0		0.0	-10.083518124275043	1.0	-6.877207042218703	2.0		0.0	-7.74282274510534	3.0	-6.859293867767068	1.0		0.0	-12.228015310428953	1.0		0.0	-11.631974344629166	2.0		0.0	-10.51345217050435	1.0	-5.100781919310245	2.0		0.0	-7.354245080225263	1.0	-7.285355087452612	1.0	-5.352768650795399	3.0	-10.459092618146444	1.0
samp_08	3.0751535376755874		0.0	-2.1002090430134523	1.0	-4.758679323017803	1.0	-4.507007683553442	1.0	-0.5866008107519989	1.0		0.0	-4.674698504897136	1.0	-5.045655167065017	2.0	-1.4813754818795255	2.0	-3.9623334084025137	1.0	-4.448830750649092	3.0	-7.943275660995054	1.0	-5.0013153394687	1.0	-0.34869655910817604	1.0	-4.302769758665523	1.0	-4.704592935080221	1.0	-5.317046622594123	1.0	-6.429411156499869	1.0	-10.108930189533863	3.0		0.0	-6.633388625808283	1.0	-7.759577722686481	3.0	-6.8730692178245585	1.0	-4.978882430577385	1.0		0.0	-6.669657819571496	2.0		0.0		0.0	-10.538440134199684	1.0	-5.108368912950223	1.0		0.0	-7.370600529883244	1.0	-7.300802629145404	1.0		0.0		0.0
