name	loc	bas_0.0	ind_250.0	ind_125.0	ind_50.0	ind_25.0	ind_10.0	ind_5.0	ind_2.5	inlier
oc0.35L24	b5H7	2.20281935003	0.0872023541471	0.24934043451	0.566418924448	1.22423953935	1.75448184768	2.57604844476	2.4674242711	True
c71r18.10L01	b2F3	0.199277750289	5.79158242591	4.99210011112	2.88922007251	1.87869690757	1.26673841181	0.385174966896	0.251289536046	True
oc0.35L02	b5F3	4.10125108711	0.175349396597	0.554625175613	nan	nan	nan	nan	nan	True
c61r18.35L23	b1E1	0.00925050263035	0.137600019625	0.144533591131	nan	nan	nan	nan	nan	True
c61r18.35L24	b1E2	0.297019149637	13.6647941926	11.8612033244	8.46162366249	5.82070416283	4.65599867749	0.839737423195	0.383866713344	True
oc0.35L23	b5H6	4.47955894094	0.182664603887	0.426560492377	1.34081244334	2.62093078114	4.45640950442	5.61254848166	4.86402839396	True
c61r18.10L09	b2D5	0.243878002179	15.9752426963	11.5382312569	9.51412154812	6.65314936474	5.11364979426	1.17840103923	0.473916150184	True
c71r18.35L16	b2B2	0.271332681355	9.48568450321	8.35737168776	6.54285966296	4.1172693521	3.23530070736	1.756726855	0.519242552453	True
c61r16	b1A5	0.0918120316459	17.170708709	15.6948845237	7.17009103243	4.04461495389	2.66466748728	0.439947893979	0.164787456779	True
c71r18.10L14	b2G7	0.130694456383	5.9470235268	4.32354908187	2.44730237414	1.45743222837	0.824934165744	0.254948570989	0.169456591518	True
